搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
會計學系、會計,逢甲大學會計學系(01501),35,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01501.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1409?t=2
國際經營與貿易學系,逢甲大學國際經營與貿易學系(01502),30,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01502.htm?v=1.0,https://www.unews.com.tw/School/Info/55
國際企業管理全英語學士學位學程、企管,逢甲大學國際企業管理全英語學士學位學程(01503),2,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01503.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1411?t=2
財稅學系,逢甲大學財稅學系(01504),20,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01504.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1416?t=2
合作經濟暨社會事業經營學系,逢甲大學合作經濟暨社會事業經營學系(01505),17,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01505.htm?v=1.0,https://www.unews.com.tw/School/Info/55
統計學系商業大數據組,逢甲大學統計學系商業大數據組(01506),9,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01506.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1421?t=2
統計學系大數據分析與市場決策組,逢甲大學統計學系大數據分析與市場決策組(01507),8,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01507.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1421?t=2
經濟學系,逢甲大學經濟學系(01508),18,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01508.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1407?t=2
企業管理學系、企管,逢甲大學企業管理學系(01509),21,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01509.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1410?t=2
行銷學系,逢甲大學行銷學系(01510),16,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01510.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1417?t=2
中國文學系、中文,逢甲大學中國文學系(01511),7,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01511.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1405?t=2
外國語文學系、外文,逢甲大學外國語文學系(01512),12,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01512.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1406?t=2
都市計畫與空間資訊學系,逢甲大學都市計畫與空間資訊學系(01513),15,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01513.htm?v=1.0,https://www.unews.com.tw/School/Department/55/3414?t=2
運輸與物流學系,逢甲大學運輸與物流學系(01514),17,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01514.htm?v=1.0,https://www.unews.com.tw/School/Info/55
土地管理學系,逢甲大學土地管理學系(01515),17,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01515.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1442?t=2
財務金融學系、財金,逢甲大學財務金融學系(01516),23,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01516.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1413?t=2
風險管理與保險學系,逢甲大學風險管理與保險學系(01517),15,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01517.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1415?t=2
財務工程與精算學士學位學程,逢甲大學財務工程與精算學士學位學程(01518),6,1,第一類學群,21,18,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01518.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1414?t=2
澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,逢甲大學澳洲墨爾本皇家理工大學商學與創新雙學士學位學程(01519),3,無,第一類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01519.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1446?t=2
澳洲昆士蘭大學商學雙學士學位學程,逢甲大學澳洲昆士蘭大學商學雙學士學位學程(01520),3,無,第一類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01520.htm?v=1.0,https://www.unews.com.tw/School/Department/55/3752?t=2
美國加州聖荷西州立大學商學大數據分析雙學士學位學程,逢甲大學美國加州聖荷西州立大學商學大數據分析雙學士學位學程(01521),3,無,第一類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01521.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1448?t=2
機械與電腦輔助工程學系,逢甲大學機械與電腦輔助工程學系(01522),16,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01522.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1430?t=2
纖維與複合材料學系,逢甲大學纖維與複合材料學系(01523),9,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01523.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1438?t=2
工業工程與系統管理學系A組、工工,逢甲大學工業工程與系統管理學系A組(01524),7,無,第二類學群,26,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01524.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1435?t=2
工業工程與系統管理學系B組、工工,逢甲大學工業工程與系統管理學系B組(01525),8,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01525.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1435?t=2
化學工程學系、化工,逢甲大學化學工程學系(01526),22,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01526.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1433?t=2
航太與系統工程學系,逢甲大學航太與系統工程學系(01527),16,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01527.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1429?t=2
精密系統設計學士學位學程,逢甲大學精密系統設計學士學位學程(01528),7,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01528.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1431?t=2
應用數學系A組、應數,逢甲大學應用數學系A組(01529),9,無,第二類學群,26,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01529.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1418?t=2
應用數學系B組、應數,逢甲大學應用數學系B組(01530),3,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01530.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1418?t=2
材料科學與工程學系,逢甲大學材料科學與工程學系(01531),18,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01531.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1434?t=2
環境工程與科學學系、環工,逢甲大學環境工程與科學學系(01532),16,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01532.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1439?t=2
光電科學與工程學系,逢甲大學光電科學與工程學系(01533),15,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01533.htm?v=1.0,https://www.unews.com.tw/School/Info/55
資訊工程學系、資工,逢甲大學資訊工程學系(01534),25,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01534.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1425?t=2
電子工程學系,逢甲大學電子工程學系(01535),17,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01535.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1423?t=2
電機工程學系、電機,逢甲大學電機工程學系(01536),18,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01536.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1422?t=2
自動控制工程學系,逢甲大學自動控制工程學系(01537),17,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01537.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1427?t=2
資訊電機學院學士班,逢甲大學資訊電機學院學士班(01538),14,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01538.htm?v=1.0,https://www.unews.com.tw/School/Info/55
通訊工程學系,逢甲大學通訊工程學系(01539),18,1,第二類學群,26,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01539.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1426?t=2
