搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
文化資產與創意學系,佛光大學文化資產與創意學系(13001),2,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13001.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2579?t=2
傳播學系,佛光大學傳播學系(數位媒體組)(13002),3,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13002.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3604?t=2
傳播學系,佛光大學傳播學系(廣告公關組)(13003),3,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13003.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3604?t=2
傳播學系,佛光大學傳播學系(流行音樂傳播組)(13004),4,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13004.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3604?t=2
產品與媒體設計學系,佛光大學產品與媒體設計學系(創意產品設計組)(13005),2,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13005.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2580?t=2
產品與媒體設計學系,佛光大學產品與媒體設計學系(商業媒體設計組)(13006),2,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13006.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2580?t=2
資訊應用學系,佛光大學資訊應用學系(資訊系統與智慧應用組)(13007),1,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13007.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3420?t=2
資訊應用學系,佛光大學資訊應用學系(動畫與數位內容組)(13008),1,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13008.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3420?t=2
資訊應用學系,佛光大學資訊應用學系(數位遊戲開發組)(13009),1,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13009.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3420?t=2
中國文學與應用學系、中文,佛光大學中國文學與應用學系(13010),5,無,第一類學群,24,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13010.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2575?t=2
