搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系、中文,輔仁大學中國文學系(02001),18,2,第一類學群,17,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02001.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1164?t=2
歷史學系,輔仁大學歷史學系(02002),15,1,第一類學群,17,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02002.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1172?t=2
哲學系,輔仁大學哲學系(02003),10,1,第一類學群,17,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02003.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1173?t=2
景觀設計學系,輔仁大學景觀設計學系(02004),9,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02004.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1200?t=2
影像傳播學系,輔仁大學影像傳播學系(02005),9,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02005.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1179?t=2
新聞傳播學系,輔仁大學新聞傳播學系(02006),9,1,第一類學群,17,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02006.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1178?t=2
廣告傳播學系,輔仁大學廣告傳播學系(02007),9,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02007.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1181?t=2
圖書資訊學系,輔仁大學圖書資訊學系(02008),8,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02008.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1180?t=2
教育領導與科技發展學士學位學程,輔仁大學教育領導與科技發展學士學位學程(02009),5,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02009.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1159?t=2
體育學系體育學組,輔仁大學體育學系體育學組(02010),2,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02010.htm?v=1.0,https://www.unews.com.tw/School/Department/50/3542?t=2
體育學系運動健康管理組,輔仁大學體育學系運動健康管理組(02011),4,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02011.htm?v=1.0,https://www.unews.com.tw/School/Department/50/3542?t=2
英國語文學系,輔仁大學英國語文學系(02012),9,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02012.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1165?t=2
法國語文學系,輔仁大學法國語文學系(02013),9,1,第一類學群,17,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02013.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1166?t=2
西班牙語文學系,輔仁大學西班牙語文學系(02014),9,1,第一類學群,17,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02014.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1168?t=2
日本語文學系,輔仁大學日本語文學系(02015),30,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02015.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1169?t=2
義大利語文學系,輔仁大學義大利語文學系(02016),9,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02016.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1170?t=2
德語語文學系,輔仁大學德語語文學系(02017),9,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02017.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1167?t=2
織品服裝學系織品設計組,輔仁大學織品服裝學系織品設計組(02018),4,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02018.htm?v=1.0,https://www.unews.com.tw/School/Department/50/3545?t=2
織品服裝學系服飾設計組,輔仁大學織品服裝學系服飾設計組(02019),4,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02019.htm?v=1.0,https://www.unews.com.tw/School/Department/50/3545?t=2
織品服裝學系織品服飾行銷組,輔仁大學織品服裝學系織品服飾行銷組(02020),12,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02020.htm?v=1.0,https://www.unews.com.tw/School/Department/50/3545?t=2
餐旅管理學系,輔仁大學餐旅管理學系(02021),12,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02021.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1210?t=2
兒童與家庭學系,輔仁大學兒童與家庭學系(02022),9,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02022.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1209?t=2
