搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
工業管理學系,義守大學工業管理學系(04501),1,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04501.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1637?t=2
資訊管理學系、資管,義守大學資訊管理學系(04502),5,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04502.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1640?t=2
企業管理學系、企管,義守大學企業管理學系(04503),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04503.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1629?t=2
財務金融管理學系、財金,義守大學財務金融管理學系(04504),9,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04504.htm?v=1.0,https://www.unews.com.tw/School/Info/62
會計學系、會計,義守大學會計學系(04505),6,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04505.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1628?t=2
國際商務學系,義守大學國際商務學系(04506),4,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04506.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1631?t=2
公共政策與管理學系,義守大學公共政策與管理學系(04507),4,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04507.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1626?t=2
醫務管理學系,義守大學醫務管理學系(04508),13,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04508.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1636?t=2
健康管理學系,義守大學健康管理學系(04509),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04509.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1654?t=2
餐旅管理學系,義守大學餐旅管理學系(04510),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04510.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1660?t=2
運動科技與休閒管理學系,義守大學運動科技與休閒管理學系(04511),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04511.htm?v=1.0,https://www.unews.com.tw/School/Info/62
觀光智慧服務與科技學系,義守大學觀光智慧服務與科技學系(04512),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04512.htm?v=1.0,https://www.unews.com.tw/School/Info/62
廚藝暨美食學學系,義守大學廚藝暨美食學學系(04513),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04513.htm?v=1.0,https://www.unews.com.tw/School/Info/62
國際企業經營英語學士學位學程、國企,義守大學國際企業經營英語學士學位學程(國際學院)(04514),1,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04514.htm?v=1.0,https://www.unews.com.tw/School/Info/62
財務與商業分析英語學士學位學程、英文,義守大學財務與商業分析英語學士學位學程(國際學院)(04515),1,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04515.htm?v=1.0,https://www.unews.com.tw/School/Info/62
智慧觀光餐旅管理英語學士學位學程、英文,義守大學智慧觀光餐旅管理英語學士學位學程(國際學院)(04516),1,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04516.htm?v=1.0,https://www.unews.com.tw/School/Info/62
國際傳媒與娛樂管理學系（國際學院）,義守大學國際傳媒與娛樂管理學系（國際學院）(04517),1,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04517.htm?v=1.0,https://www.unews.com.tw/School/Info/62
國際溝通暨應用英語學系、英文,義守大學國際溝通暨應用英語學系(04518),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04518.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1622?t=2
應用日語學系、日文,義守大學應用日語學系(04519),6,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04519.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1623?t=2
大眾傳播學系、大傳,義守大學大眾傳播學系(04520),6,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04520.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1627?t=2
創意整合設計學系,義守大學創意整合設計學系(04521),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04521.htm?v=1.0,https://www.unews.com.tw/School/Info/62
電影與電視學系,義守大學電影與電視學系(04522),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04522.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1621?t=2
新媒體設計學系,義守大學新媒體設計學系(04523),3,1,第一類學群,23,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04523.htm?v=1.0,https://www.unews.com.tw/School/Info/62
電機工程學系、電機,義守大學電機工程學系(04524),24,1,第二類學群,11,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04524.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1641?t=2
電子工程學系,義守大學電子工程學系(04525),4,1,第二類學群,11,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04525.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1642?t=2
資訊工程學系、資工,義守大學資訊工程學系(04526),20,1,第二類學群,11,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04526.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1645?t=2
智慧網路科技學系,義守大學智慧網路科技學系(04527),1,1,第二類學群,11,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04527.htm?v=1.0,https://www.unews.com.tw/School/Info/62
機械與自動化工程學系,義守大學機械與自動化工程學系(04528),3,1,第二類學群,11,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04528.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1647?t=2
化學工程學系、化工,義守大學化學工程學系(04529),5,1,第二類學群,11,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04529.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1651?t=2
土木工程學系、土木,義守大學土木工程學系(04530),1,1,第二類學群,11,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04530.htm?v=1.0,https://www.unews.com.tw/School/Info/62
材料科學與工程學系,義守大學材料科學與工程學系(04531),9,1,第二類學群,11,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04531.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1652?t=2
資料科學與大數據分析學系,義守大學資料科學與大數據分析學系(04532),2,1,第二類學群,11,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04532.htm?v=1.0,https://www.unews.com.tw/School/Info/62
