搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
大學心理學系,高雄醫學大學心理學系(00701),9,1,第一類學群,2,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00701.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1801?t=2
大學醫學社會學與社會工作學系、社工,高雄醫學大學醫學社會學與社會工作學系(00702),6,無,第一類學群,2,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00702.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1820?t=2
大學醫務管理暨醫療資訊學系,高雄醫學大學醫務管理暨醫療資訊學系(00703),14,2,第二類學群,4,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00703.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1802?t=2
大學醫藥暨應用化學系醫藥化學組,高雄醫學大學醫藥暨應用化學系醫藥化學組(00704),12,1,第二類學群,4,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00704.htm?v=1.0,https://www.unews.com.tw/School/Department/67/3572?t=2
大學醫藥暨應用化學系應用化學組,高雄醫學大學醫藥暨應用化學系應用化學組(00705),12,無,第二類學群,4,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00705.htm?v=1.0,https://www.unews.com.tw/School/Department/67/3572?t=2
大學生物科技學系,高雄醫學大學生物科技學系(00706),10,1,第二類學群,4,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00706.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1803?t=2
大學運動醫學系,高雄醫學大學運動醫學系(00707),5,無,第三類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00707.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1805?t=2
大學呼吸治療學系,高雄醫學大學呼吸治療學系(00708),8,2,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00708.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1815?t=2
大學口腔衛生學系,高雄醫學大學口腔衛生學系(00709),9,2,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00709.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1819?t=2
大學藥學系,高雄醫學大學藥學系(00710),12,3,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00710.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1807?t=2
大學香粧品學系,高雄醫學大學香粧品學系(00711),9,1,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00711.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1810?t=2
大學護理學系,高雄醫學大學護理學系(00712),8,1,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00712.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1814?t=2
大學醫學檢驗生物技術學系,高雄醫學大學醫學檢驗生物技術學系(00713),6,1,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00713.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1816?t=2
大學醫學影像暨放射科學系、醫影,高雄醫學大學醫學影像暨放射科學系(00714),7,2,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00714.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1817?t=2
大學公共衛生學系、公衛,高雄醫學大學公共衛生學系(00715),10,1,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00715.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1806?t=2
大學職能治療學系、職治,高雄醫學大學職能治療學系(00716),9,2,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00716.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1812?t=2
大學物理治療學系,高雄醫學大學物理治療學系(00717),7,無,第三類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00717.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1811?t=2
大學生物醫學暨環境生物學系、生醫,高雄醫學大學生物醫學暨環境生物學系(00718),11,2,第三類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00718.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1804?t=2
大學醫學系,高雄醫學大學醫學系(00719),29,無,第八類學群,2,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00719.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1805?t=2
大學牙醫學系,高雄醫學大學牙醫學系(00720),12,無,第八類學群,2,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00720.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1805?t=2
