搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
企業與創業管理學系,開南大學企業與創業管理學系(11001),1,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11001.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2552?t=2
國際企業學系、國企,開南大學國際企業學系(11002),1,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11002.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2551?t=2
商學院國際榮譽學士學位學程,開南大學商學院國際榮譽學士學位學程(11003),1,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11003.htm?v=1.0,https://www.unews.com.tw/School/Department/97/3757?t=2
國際物流與運輸管理學系,開南大學國際物流與運輸管理學系(11004),2,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11004.htm?v=1.0,https://www.unews.com.tw/School/Info/97
空運管理學系,開南大學空運管理學系(11005),5,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11005.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2574?t=2
觀光與餐飲旅館學系,開南大學觀光與餐飲旅館學系(11006),3,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11006.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2567?t=2
休閒事業管理學系,開南大學休閒事業管理學系(11007),3,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11007.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2570?t=2
資訊管理學系、資管,開南大學資訊管理學系(11008),1,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11008.htm?v=1.0,https://www.unews.com.tw/School/Department/97/3419?t=2
資訊傳播學系,開南大學資訊傳播學系(11009),1,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11009.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2549?t=2
電影與創意媒體學系,開南大學電影與創意媒體學系(11010),1,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11010.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2544?t=2
法律學系,開南大學法律學系(11011),5,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11011.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2560?t=2
應用日語學系、日文,開南大學應用日語學系(11012),3,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11012.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2546?t=2
應用英語學系、英文,開南大學應用英語學系(11013),3,1,第一類學群,13,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11013.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2545?t=2
保健營養學系,開南大學保健營養學系(11014),2,1,第三類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_11014.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2563?t=2
