搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
企業管理學系品牌行銷組（臺北校區）、企管,銘傳大學企業管理學系品牌行銷組（臺北校區）(04601),12,無,第一類學群,41,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04601.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1713?t=2
企業管理學系企業管理組（臺北校區）、企管,銘傳大學企業管理學系企業管理組（臺北校區）(04602),8,7,第一類學群,41,37,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04602.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1713?t=2
企業管理學系數位經營組（臺北校區）、企管,銘傳大學企業管理學系數位經營組（臺北校區）(04603),6,無,第一類學群,41,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04603.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1713?t=2
會計學系會計審計組（臺北校區）、會計,銘傳大學會計學系會計審計組（臺北校區）(04604),15,2,第一類學群,41,37,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04604.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1712?t=2
會計學系稅務規劃組（臺北校區）、會計,銘傳大學會計學系稅務規劃組（臺北校區）(04605),12,3,第一類學群,41,37,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04605.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1712?t=2
財務金融學系（臺北校區）、財金,銘傳大學財務金融學系（臺北校區）(04606),29,8,第一類學群,41,37,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04606.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1717?t=2
風險管理與保險學系保險金融與行銷組（臺北校區）,銘傳大學風險管理與保險學系保險金融與行銷組（臺北校區）(04607),10,3,第一類學群,41,37,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04607.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1720?t=2
風險管理與保險學系風險管理組（臺北校區）,銘傳大學風險管理與保險學系風險管理組（臺北校區）(04608),6,2,第一類學群,41,37,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04608.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1720?t=2
國際企業學系跨境電商經營組（臺北校區）、國企,銘傳大學國際企業學系跨境電商經營組（臺北校區）(04609),14,無,第一類學群,41,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04609.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1714?t=2
國際企業學系外貿行銷管理組（臺北校區）、國企,銘傳大學國際企業學系外貿行銷管理組（臺北校區）(04610),13,5,第一類學群,41,37,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04610.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1714?t=2
