搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系、中文,國立政治大學中國文學系(00601),14,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00601.htm?v=1.0,https://www.unews.com.tw/School/Department/1/2?t=2
歷史學系,國立政治大學歷史學系(00602),7,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00602.htm?v=1.0,https://www.unews.com.tw/School/Department/1/12?t=2
哲學系,國立政治大學哲學系(00603),8,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00603.htm?v=1.0,https://www.unews.com.tw/School/Department/1/13?t=2
教育學系,國立政治大學教育學系(00604),8,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00604.htm?v=1.0,https://www.unews.com.tw/School/Department/1/1?t=2
政治學系,國立政治大學政治學系(00605),7,3,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00605.htm?v=1.0,https://www.unews.com.tw/School/Department/1/15?t=2
社會學系,國立政治大學社會學系(00606),7,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00606.htm?v=1.0,https://www.unews.com.tw/School/Department/1/16?t=2
財政學系、財政,國立政治大學財政學系(00607),14,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00607.htm?v=1.0,https://www.unews.com.tw/School/Department/1/31?t=2
公共行政學系,國立政治大學公共行政學系(00608),7,3,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00608.htm?v=1.0,https://www.unews.com.tw/School/Department/1/19?t=2
地政學系土地資源規劃組,國立政治大學地政學系土地資源規劃組(00609),7,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00609.htm?v=1.0,https://www.unews.com.tw/School/Department/1/3498?t=2
地政學系土地管理組,國立政治大學地政學系土地管理組(00610),7,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00610.htm?v=1.0,https://www.unews.com.tw/School/Department/1/3498?t=2
經濟學系,國立政治大學經濟學系(社會組)(00611),6,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00611.htm?v=1.0,https://www.unews.com.tw/School/Department/1/14?t=2
民族學系,國立政治大學民族學系(00612),7,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00612.htm?v=1.0,https://www.unews.com.tw/School/Department/1/17?t=2
外交學系,國立政治大學外交學系(00613),9,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00613.htm?v=1.0,https://www.unews.com.tw/School/Department/1/23?t=2
國際經營與貿易學系,國立政治大學國際經營與貿易學系(00614),12,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00614.htm?v=1.0,https://www.unews.com.tw/School/Department/1/27?t=2
金融學系,國立政治大學金融學系(社會組)(00615),4,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00615.htm?v=1.0,https://www.unews.com.tw/School/Department/1/29?t=2
會計學系、會計,國立政治大學會計學系(00616),15,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00616.htm?v=1.0,https://www.unews.com.tw/School/Department/1/25?t=2
統計學系,國立政治大學統計學系(甲組)(00617),5,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00617.htm?v=1.0,https://www.unews.com.tw/School/Department/1/34?t=2
企業管理學系、企管,國立政治大學企業管理學系(00618),13,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00618.htm?v=1.0,https://www.unews.com.tw/School/Department/1/26?t=2
資訊管理學系、資管,國立政治大學資訊管理學系(社會組)(00619),8,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00619.htm?v=1.0,https://www.unews.com.tw/School/Department/1/35?t=2
財務管理學系,國立政治大學財務管理學系(00620),7,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00620.htm?v=1.0,https://www.unews.com.tw/School/Department/1/28?t=2
風險管理與保險學系,國立政治大學風險管理與保險學系(00621),8,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00621.htm?v=1.0,https://www.unews.com.tw/School/Department/1/30?t=2
傳播學院大一大二不分系,國立政治大學傳播學院大一大二不分系(社會組)(00622),26,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00622.htm?v=1.0,https://www.unews.com.tw/School/Department/1/24?t=2
英國語文學系,國立政治大學英國語文學系(00623),9,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00623.htm?v=1.0,https://www.unews.com.tw/School/Department/1/3?t=2
阿拉伯語文學系,國立政治大學阿拉伯語文學系(00624),7,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00624.htm?v=1.0,https://www.unews.com.tw/School/Department/1/5?t=2
斯拉夫語文學系,國立政治大學斯拉夫語文學系(00625),9,1,第一類學群,18,20,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00625.htm?v=1.0,https://www.unews.com.tw/School/Department/1/11?t=2
日本語文學系,國立政治大學日本語文學系(00626),5,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00626.htm?v=1.0,https://www.unews.com.tw/School/Department/1/4?t=2
韓國語文學系,國立政治大學韓國語文學系(00627),5,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00627.htm?v=1.0,https://www.unews.com.tw/School/Department/1/6?t=2
土耳其語文學系,國立政治大學土耳其語文學系(00628),5,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00628.htm?v=1.0,https://www.unews.com.tw/School/Department/1/7?t=2
歐洲語文學系法文組,國立政治大學歐洲語文學系法文組(00629),3,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00629.htm?v=1.0,https://www.unews.com.tw/School/Department/1/3497?t=2
歐洲語文學系德文組,國立政治大學歐洲語文學系德文組(00630),3,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00630.htm?v=1.0,https://www.unews.com.tw/School/Department/1/3497?t=2
歐洲語文學系西班牙文組,國立政治大學歐洲語文學系西班牙文組(00631),3,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00631.htm?v=1.0,https://www.unews.com.tw/School/Department/1/3497?t=2
