搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系、中文,國立中興大學中國文學系(00301),4,2,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00301.htm?v=1.0,https://www.unews.com.tw/School/Department/6/239?t=2
外國語文學系、外文,國立中興大學外國語文學系(00302),13,2,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00302.htm?v=1.0,https://www.unews.com.tw/School/Department/6/240?t=2
歷史學系,國立中興大學歷史學系(00303),10,2,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00303.htm?v=1.0,https://www.unews.com.tw/School/Department/6/241?t=2
台灣人文創新學士學位學程,國立中興大學台灣人文創新學士學位學程(00304),3,1,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00304.htm?v=1.0,https://www.unews.com.tw/School/Department/6/3617?t=2
財務金融學系、財金,國立中興大學財務金融學系(00305),10,2,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00305.htm?v=1.0,https://www.unews.com.tw/School/Department/6/245?t=2
企業管理學系、企管,國立中興大學企業管理學系(00306),16,2,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00306.htm?v=1.0,https://www.unews.com.tw/School/Department/6/244?t=2
會計學系、會計,國立中興大學會計學系(00307),10,2,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00307.htm?v=1.0,https://www.unews.com.tw/School/Department/6/243?t=2
行銷學系,國立中興大學行銷學系(00308),7,2,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00308.htm?v=1.0,https://www.unews.com.tw/School/Department/6/246?t=2
應用經濟學系,國立中興大學應用經濟學系(00309),8,2,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00309.htm?v=1.0,https://www.unews.com.tw/School/Department/6/242?t=2
法律學系,國立中興大學法律學系(00310),6,1,第一類學群,10,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00310.htm?v=1.0,https://www.unews.com.tw/School/Department/6/247?t=2
資訊管理學系、資管,國立中興大學資訊管理學系(00311),1,1,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00311.htm?v=1.0,https://www.unews.com.tw/School/Department/6/255?t=2
化學系,國立中興大學化學系(00312),8,2,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00312.htm?v=1.0,https://www.unews.com.tw/School/Department/6/251?t=2
物理學系一般物理組,國立中興大學物理學系一般物理組(00313),4,1,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00313.htm?v=1.0,https://www.unews.com.tw/School/Department/6/3506?t=2
物理學系光電物理組,國立中興大學物理學系光電物理組(00314),3,1,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00314.htm?v=1.0,https://www.unews.com.tw/School/Department/6/3506?t=2
應用數學系應用數學組、應數,國立中興大學應用數學系應用數學組(00315),4,2,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00315.htm?v=1.0,https://www.unews.com.tw/School/Department/6/254?t=2
應用數學系數據科學與計算組、應數,國立中興大學應用數學系數據科學與計算組(00316),4,2,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00316.htm?v=1.0,https://www.unews.com.tw/School/Department/6/254?t=2
機械工程學系、機械,國立中興大學機械工程學系(00317),14,2,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00317.htm?v=1.0,https://www.unews.com.tw/School/Department/6/258?t=2
土木工程學系、土木,國立中興大學土木工程學系(00318),19,2,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00318.htm?v=1.0,https://www.unews.com.tw/School/Department/6/260?t=2
環境工程學系、環工,國立中興大學環境工程學系(00319),20,2,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00319.htm?v=1.0,https://www.unews.com.tw/School/Department/6/263?t=2
化學工程學系、化工,國立中興大學化學工程學系(00320),8,1,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00320.htm?v=1.0,https://www.unews.com.tw/School/Department/6/261?t=2
材料科學與工程學系,國立中興大學材料科學與工程學系(00321),12,2,第二類學群,17,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00321.htm?v=1.0,https://www.unews.com.tw/School/Department/6/262?t=2
