搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系、中文,國立成功大學中國文學系(00401),8,無,第一類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00401.htm?v=1.0,https://www.unews.com.tw/School/Department/5/193?t=2
外國語文學系、外文,國立成功大學外國語文學系(00402),7,無,第一類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00402.htm?v=1.0,https://www.unews.com.tw/School/Department/5/194?t=2
歷史學系,國立成功大學歷史學系(00403),8,1,第一類學群,5,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00403.htm?v=1.0,https://www.unews.com.tw/School/Department/5/195?t=2
台灣文學系,國立成功大學台灣文學系(00404),8,無,第一類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00404.htm?v=1.0,https://www.unews.com.tw/School/Info/5
企業管理學系、企管,國立成功大學企業管理學系(00405),10,無,第一類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00405.htm?v=1.0,https://www.unews.com.tw/School/Department/5/201?t=2
會計學系、會計,國立成功大學會計學系(00406),8,1,第一類學群,5,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00406.htm?v=1.0,https://www.unews.com.tw/School/Department/5/200?t=2
政治學系,國立成功大學政治學系(00407),9,無,第一類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00407.htm?v=1.0,https://www.unews.com.tw/School/Department/5/198?t=2
經濟學系,國立成功大學經濟學系(00408),12,無,第一類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00408.htm?v=1.0,https://www.unews.com.tw/School/Department/5/197?t=2
法律學系,國立成功大學法律學系(00409),7,2,第一類學群,5,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00409.htm?v=1.0,https://www.unews.com.tw/School/Department/5/203?t=2
數學系,國立成功大學數學系(00410),8,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00410.htm?v=1.0,https://www.unews.com.tw/School/Department/5/211?t=2
物理學系,國立成功大學物理學系(00411),6,1,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00411.htm?v=1.0,https://www.unews.com.tw/School/Department/5/208?t=2
化學系,國立成功大學化學系(00412),8,1,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00412.htm?v=1.0,https://www.unews.com.tw/School/Department/5/206?t=2
地球科學系,國立成功大學地球科學系(00413),9,1,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00413.htm?v=1.0,https://www.unews.com.tw/School/Department/5/207?t=2
光電科學與工程學系,國立成功大學光電科學與工程學系(00414),10,2,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00414.htm?v=1.0,https://www.unews.com.tw/School/Department/5/214?t=2
機械工程學系、機械,國立成功大學機械工程學系(00415),24,1,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00415.htm?v=1.0,https://www.unews.com.tw/School/Department/5/216?t=2
化學工程學系、化工,國立成功大學化學工程學系(00416),19,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00416.htm?v=1.0,https://www.unews.com.tw/School/Department/5/220?t=2
材料科學及工程學系,國立成功大學材料科學及工程學系(00417),17,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00417.htm?v=1.0,https://www.unews.com.tw/School/Department/5/221?t=2
資源工程學系,國立成功大學資源工程學系(00418),8,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00418.htm?v=1.0,https://www.unews.com.tw/School/Department/5/222?t=2
土木工程學系、土木,國立成功大學土木工程學系(00419),13,1,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00419.htm?v=1.0,https://www.unews.com.tw/School/Department/5/219?t=2
水利及海洋工程學系,國立成功大學水利及海洋工程學系(00420),9,2,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00420.htm?v=1.0,https://www.unews.com.tw/School/Department/5/225?t=2
工程科學系、工科,國立成功大學工程科學系(00421),8,1,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00421.htm?v=1.0,https://www.unews.com.tw/School/Department/5/227?t=2
系統及船舶機電工程學系,國立成功大學系統及船舶機電工程學系(00422),6,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00422.htm?v=1.0,https://www.unews.com.tw/School/Department/5/218?t=2
航空太空工程學系,國立成功大學航空太空工程學系(00423),8,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00423.htm?v=1.0,https://www.unews.com.tw/School/Department/5/217?t=2
環境工程學系、環工,國立成功大學環境工程學系(00424),8,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00424.htm?v=1.0,https://www.unews.com.tw/School/Department/5/224?t=2
測量及空間資訊學系,國立成功大學測量及空間資訊學系(00425),10,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00425.htm?v=1.0,https://www.unews.com.tw/School/Department/5/223?t=2
生物醫學工程學系、生醫,國立成功大學生物醫學工程學系(00426),4,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00426.htm?v=1.0,https://www.unews.com.tw/School/Department/5/226?t=2
工業與資訊管理學系、資管,國立成功大學工業與資訊管理學系(00427),9,1,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00427.htm?v=1.0,https://www.unews.com.tw/School/Department/5/202?t=2
交通管理科學系,國立成功大學交通管理科學系(00428),8,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00428.htm?v=1.0,https://www.unews.com.tw/School/Department/5/237?t=2
統計學系,國立成功大學統計學系(00429),8,2,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00429.htm?v=1.0,https://www.unews.com.tw/School/Department/5/212?t=2
電機工程學系、電機,國立成功大學電機工程學系(00430),28,1,第二類學群,13,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00430.htm?v=1.0,https://www.unews.com.tw/School/Department/5/213?t=2
資訊工程學系、資工,國立成功大學資訊工程學系(00431),12,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00431.htm?v=1.0,https://www.unews.com.tw/School/Department/5/215?t=2
建築學系,國立成功大學建築學系(00432),8,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00432.htm?v=1.0,https://www.unews.com.tw/School/Department/5/229?t=2
都市計劃學系,國立成功大學都市計劃學系(00433),8,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00433.htm?v=1.0,https://www.unews.com.tw/School/Department/5/230?t=2
工業設計學系,國立成功大學工業設計學系(00434),7,無,第二類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00434.htm?v=1.0,https://www.unews.com.tw/School/Department/5/196?t=2
