搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國語文學系,國立暨南國際大學中國語文學系(05801),10,1,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05801.htm?v=1.0,https://www.unews.com.tw/School/Department/19/597?t=2
外國語文學系、外文,國立暨南國際大學外國語文學系(05802),7,3,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05802.htm?v=1.0,https://www.unews.com.tw/School/Department/19/598?t=2
社會政策與社會工作學系、社工,國立暨南國際大學社會政策與社會工作學系(05803),12,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05803.htm?v=1.0,https://www.unews.com.tw/School/Department/19/613?t=2
公共行政與政策學系,國立暨南國際大學公共行政與政策學系(05804),9,5,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05804.htm?v=1.0,https://www.unews.com.tw/School/Department/19/604?t=2
歷史學系,國立暨南國際大學歷史學系(05805),8,2,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05805.htm?v=1.0,https://www.unews.com.tw/School/Department/19/599?t=2
東南亞學系,國立暨南國際大學東南亞學系(05806),8,3,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05806.htm?v=1.0,https://www.unews.com.tw/School/Department/19/601?t=2
國際企業學系、國企,國立暨南國際大學國際企業學系(05807),10,3,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05807.htm?v=1.0,https://www.unews.com.tw/School/Department/19/605?t=2
經濟學系,國立暨南國際大學經濟學系(05808),10,3,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05808.htm?v=1.0,https://www.unews.com.tw/School/Department/19/600?t=2
資訊管理學系、資管,國立暨南國際大學資訊管理學系(05809),11,2,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05809.htm?v=1.0,https://www.unews.com.tw/School/Department/19/608?t=2
財務金融學系、財金,國立暨南國際大學財務金融學系(05810),12,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05810.htm?v=1.0,https://www.unews.com.tw/School/Department/19/606?t=2
觀光休閒與餐旅管理學系觀光休閒組,國立暨南國際大學觀光休閒與餐旅管理學系觀光休閒組(05811),4,2,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05811.htm?v=1.0,https://www.unews.com.tw/School/Department/19/3524?t=2
觀光休閒與餐旅管理學系餐旅管理組,國立暨南國際大學觀光休閒與餐旅管理學系餐旅管理組(05812),4,2,第一類學群,18,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05812.htm?v=1.0,https://www.unews.com.tw/School/Department/19/3524?t=2
管理學院學士班,國立暨南國際大學管理學院學士班(05813),5,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05813.htm?v=1.0,https://www.unews.com.tw/School/Department/19/3432?t=2
國際文教與比較教育學系,國立暨南國際大學國際文教與比較教育學系(05814),9,無,第一類學群,18,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05814.htm?v=1.0,https://www.unews.com.tw/School/Department/19/593?t=2
