搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系、中文,國立中央大學中國文學系(01601),8,2,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01601.htm?v=1.0,https://www.unews.com.tw/School/Department/8/306?t=2
英美語文學系,國立中央大學英美語文學系(01602),15,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01602.htm?v=1.0,https://www.unews.com.tw/School/Department/8/307?t=2
法國語文學系,國立中央大學法國語文學系(01603),9,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01603.htm?v=1.0,https://www.unews.com.tw/School/Department/8/308?t=2
文學院學士班,國立中央大學文學院學士班(01604),1,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01604.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3621?t=2
企業管理學系、企管,國立中央大學企業管理學系(01605),20,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01605.htm?v=1.0,https://www.unews.com.tw/School/Department/8/311?t=2
經濟學系,國立中央大學經濟學系(01606),15,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01606.htm?v=1.0,https://www.unews.com.tw/School/Department/8/309?t=2
財務金融學系、財金,國立中央大學財務金融學系(01607),14,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01607.htm?v=1.0,https://www.unews.com.tw/School/Department/8/312?t=2
客家語文暨社會科學學系客家語文及傳播組,國立中央大學客家語文暨社會科學學系客家語文及傳播組(01608),2,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01608.htm?v=1.0,https://www.unews.com.tw/School/Department/8/310?t=2
客家語文暨社會科學學系客家社會及政策組,國立中央大學客家語文暨社會科學學系客家社會及政策組(01609),2,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01609.htm?v=1.0,https://www.unews.com.tw/School/Department/8/310?t=2
數學系計算與資料科學組,國立中央大學數學系計算與資料科學組(01610),10,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01610.htm?v=1.0,https://www.unews.com.tw/School/Department/8/320?t=2
數學系數學科學組,國立中央大學數學系數學科學組(01611),10,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01611.htm?v=1.0,https://www.unews.com.tw/School/Department/8/320?t=2
物理學系,國立中央大學物理學系(01612),6,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01612.htm?v=1.0,https://www.unews.com.tw/School/Department/8/316?t=2
化學學系,國立中央大學化學學系(01613),10,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01613.htm?v=1.0,https://www.unews.com.tw/School/Department/8/314?t=2
光電科學與工程學系,國立中央大學光電科學與工程學系(01614),15,2,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01614.htm?v=1.0,https://www.unews.com.tw/School/Department/8/323?t=2
理學院學士班,國立中央大學理學院學士班(01615),12,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01615.htm?v=1.0,https://www.unews.com.tw/School/Department/8/319?t=2
土木工程學系、土木,國立中央大學土木工程學系(01616),22,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01616.htm?v=1.0,https://www.unews.com.tw/School/Department/8/329?t=2
機械工程學系先進材料與精密製造組、機械,國立中央大學機械工程學系先進材料與精密製造組(01617),14,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01617.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3510?t=2
機械工程學系光機電工程組、機械,國立中央大學機械工程學系光機電工程組(01618),14,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01618.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3510?t=2
機械工程學系設計與分析組、機械,國立中央大學機械工程學系設計與分析組(01619),14,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01619.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3510?t=2
化學工程與材料工程學系、化工,國立中央大學化學工程與材料工程學系(01620),9,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01620.htm?v=1.0,https://www.unews.com.tw/School/Department/8/330?t=2
工學院學士班,國立中央大學工學院學士班(01621),8,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01621.htm?v=1.0,https://www.unews.com.tw/School/Department/8/332?t=2
資訊管理學系、資管,國立中央大學資訊管理學系(01622),18,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01622.htm?v=1.0,https://www.unews.com.tw/School/Department/8/321?t=2
電機工程學系、電機,國立中央大學電機工程學系(01623),20,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01623.htm?v=1.0,https://www.unews.com.tw/School/Department/8/322?t=2
資訊工程學系、資工,國立中央大學資訊工程學系(01624),21,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01624.htm?v=1.0,https://www.unews.com.tw/School/Department/8/324?t=2
通訊工程學系,國立中央大學通訊工程學系(01625),10,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01625.htm?v=1.0,https://www.unews.com.tw/School/Department/8/325?t=2
資訊電機學院學士班,國立中央大學資訊電機學院學士班(01626),9,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01626.htm?v=1.0,https://www.unews.com.tw/School/Department/8/333?t=2
大氣科學學系,國立中央大學大氣科學學系(01627),5,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01627.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3469?t=2
太空科學與工程學系,國立中央大學太空科學與工程學系(01628),5,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01628.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3467?t=2
地球科學學系,國立中央大學地球科學學系(01629),9,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01629.htm?v=1.0,https://www.unews.com.tw/School/Department/8/315?t=2
地球科學學院學士班,國立中央大學地球科學學院學士班(01630),4,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01630.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3425?t=2
生醫科學與工程學系,國立中央大學生醫科學與工程學系(01631),7,1,第二類學群,22,22,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01631.htm?v=1.0,https://www.unews.com.tw/School/Department/8/331?t=2
生命科學系、生科,國立中央大學生命科學系(01632),15,1,第三類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01632.htm?v=1.0,https://www.unews.com.tw/School/Department/8/313?t=2
