搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
輔導與諮商學系學校輔導與諮商組,國立彰化師範大學輔導與諮商學系學校輔導與諮商組(02301),10,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02301.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3514?t=2
輔導與諮商學系社區輔導與諮商組,國立彰化師範大學輔導與諮商學系社區輔導與諮商組(02302),10,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02302.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3514?t=2
特殊教育學系,國立彰化師範大學特殊教育學系(02303),12,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02303.htm?v=1.0,https://www.unews.com.tw/School/Department/13/436?t=2
英語學系、英文,國立彰化師範大學英語學系(02304),9,3,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02304.htm?v=1.0,https://www.unews.com.tw/School/Department/13/439?t=2
國文學系,國立彰化師範大學國文學系(02305),13,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02305.htm?v=1.0,https://www.unews.com.tw/School/Department/13/438?t=2
地理學系,國立彰化師範大學地理學系(02306),6,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02306.htm?v=1.0,https://www.unews.com.tw/School/Department/13/442?t=2
企業管理學系、企管,國立彰化師範大學企業管理學系(02307),8,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02307.htm?v=1.0,https://www.unews.com.tw/School/Department/13/444?t=2
會計學系、會計,國立彰化師範大學會計學系(02308),13,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02308.htm?v=1.0,https://www.unews.com.tw/School/Department/13/443?t=2
資訊管理學系資訊管理組、資管,國立彰化師範大學資訊管理學系資訊管理組(02309),5,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02309.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3516?t=2
資訊管理學系數位內容科技與管理組、資管,國立彰化師範大學資訊管理學系數位內容科技與管理組(02310),3,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02310.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3516?t=2
公共事務與公民教育學系公民教育組,國立彰化師範大學公共事務與公民教育學系公民教育組(02311),2,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02311.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3513?t=2
公共事務與公民教育學系公共事務組,國立彰化師範大學公共事務與公民教育學系公共事務組(02312),2,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02312.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3513?t=2
數學系,國立彰化師範大學數學系(02313),13,2,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02313.htm?v=1.0,https://www.unews.com.tw/School/Department/13/450?t=2
物理學系物理組,國立彰化師範大學物理學系物理組(02314),6,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02314.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3515?t=2
物理學系光電組,國立彰化師範大學物理學系光電組(02315),6,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02315.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3515?t=2
化學系,國立彰化師範大學化學系(02316),11,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02316.htm?v=1.0,https://www.unews.com.tw/School/Department/13/447?t=2
機電工程學系,國立彰化師範大學機電工程學系(02317),9,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02317.htm?v=1.0,https://www.unews.com.tw/School/Department/13/456?t=2
電機工程學系、電機,國立彰化師範大學電機工程學系(02318),9,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02318.htm?v=1.0,https://www.unews.com.tw/School/Department/13/453?t=2
電子工程學系,國立彰化師範大學電子工程學系(02319),7,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02319.htm?v=1.0,https://www.unews.com.tw/School/Department/13/454?t=2
資訊工程學系、資工,國立彰化師範大學資訊工程學系(02320),8,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02320.htm?v=1.0,https://www.unews.com.tw/School/Department/13/455?t=2
生物學系,國立彰化師範大學生物學系(02321),6,1,第三類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02321.htm?v=1.0,https://www.unews.com.tw/School/Department/13/446?t=2
美術學系,國立彰化師範大學美術學系(02322),5,1,第五類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02322.htm?v=1.0,https://www.unews.com.tw/School/Department/13/437?t=2
