搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
教育學系,國立嘉義大學教育學系(10001),7,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10001.htm?v=1.0,https://www.unews.com.tw/School/Department/16/487?t=2
輔導與諮商學系,國立嘉義大學輔導與諮商學系(10002),8,3,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10002.htm?v=1.0,https://www.unews.com.tw/School/Department/16/498?t=2
特殊教育學系,國立嘉義大學特殊教育學系(10003),7,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10003.htm?v=1.0,https://www.unews.com.tw/School/Department/16/489?t=2
幼兒教育學系、幼教,國立嘉義大學幼兒教育學系(10004),5,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10004.htm?v=1.0,https://www.unews.com.tw/School/Department/16/488?t=2
數位學習設計與管理學系,國立嘉義大學數位學習設計與管理學系(10005),8,2,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10005.htm?v=1.0,https://www.unews.com.tw/School/Department/16/490?t=2
中國文學系、中文,國立嘉義大學中國文學系(10006),9,2,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10006.htm?v=1.0,https://www.unews.com.tw/School/Department/16/493?t=2
應用歷史學系,國立嘉義大學應用歷史學系(10007),10,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10007.htm?v=1.0,https://www.unews.com.tw/School/Department/16/496?t=2
外國語言學系英語教學組、英文,國立嘉義大學外國語言學系英語教學組(10008),8,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10008.htm?v=1.0,https://www.unews.com.tw/School/Department/16/3518?t=2
外國語言學系應用外語組、應外,國立嘉義大學外國語言學系應用外語組(10009),8,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10009.htm?v=1.0,https://www.unews.com.tw/School/Department/16/3518?t=2
企業管理學系、企管,國立嘉義大學企業管理學系(10010),8,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10010.htm?v=1.0,https://www.unews.com.tw/School/Department/16/499?t=2
應用經濟學系,國立嘉義大學應用經濟學系(10011),8,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10011.htm?v=1.0,https://www.unews.com.tw/School/Department/16/497?t=2
科技管理學系,國立嘉義大學科技管理學系(10012),12,2,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10012.htm?v=1.0,https://www.unews.com.tw/School/Info/16
行銷與觀光管理學系,國立嘉義大學行銷與觀光管理學系(10013),7,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10013.htm?v=1.0,https://www.unews.com.tw/School/Department/16/501?t=2
財務金融學系、財金,國立嘉義大學財務金融學系(10014),8,2,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10014.htm?v=1.0,https://www.unews.com.tw/School/Department/16/500?t=2
資訊管理學系、資管,國立嘉義大學資訊管理學系(10015),8,無,第二類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10015.htm?v=1.0,https://www.unews.com.tw/School/Department/16/510?t=2
電子物理學系,國立嘉義大學電子物理學系(10016),10,1,第二類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10016.htm?v=1.0,https://www.unews.com.tw/School/Department/16/508?t=2
應用化學系,國立嘉義大學應用化學系(10017),8,1,第二類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10017.htm?v=1.0,https://www.unews.com.tw/School/Department/16/507?t=2
應用數學系、應數,國立嘉義大學應用數學系(10018),10,1,第二類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10018.htm?v=1.0,https://www.unews.com.tw/School/Department/16/509?t=2
資訊工程學系、資工,國立嘉義大學資訊工程學系(10019),15,1,第二類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10019.htm?v=1.0,https://www.unews.com.tw/School/Department/16/512?t=2
生物機電工程學系,國立嘉義大學生物機電工程學系(10020),8,1,第二類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10020.htm?v=1.0,https://www.unews.com.tw/School/Department/16/513?t=2
土木與水資源工程學系,國立嘉義大學土木與水資源工程學系(10021),10,1,第二類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10021.htm?v=1.0,https://www.unews.com.tw/School/Department/16/515?t=2
電機工程學系、電機,國立嘉義大學電機工程學系(10022),8,1,第二類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10022.htm?v=1.0,https://www.unews.com.tw/School/Department/16/511?t=2
機械與能源工程學系,國立嘉義大學機械與能源工程學系(10023),8,1,第二類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10023.htm?v=1.0,https://www.unews.com.tw/School/Department/16/514?t=2
農藝學系,國立嘉義大學農藝學系(10024),8,1,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10024.htm?v=1.0,https://www.unews.com.tw/School/Department/16/517?t=2
園藝學系,國立嘉義大學園藝學系(10025),8,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10025.htm?v=1.0,https://www.unews.com.tw/School/Department/16/519?t=2
森林暨自然資源學系,國立嘉義大學森林暨自然資源學系(10026),7,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10026.htm?v=1.0,https://www.unews.com.tw/School/Department/16/523?t=2
木質材料與設計學系,國立嘉義大學木質材料與設計學系(10027),10,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10027.htm?v=1.0,https://www.unews.com.tw/School/Department/16/524?t=2
動物科學系、動科,國立嘉義大學動物科學系(10028),8,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10028.htm?v=1.0,https://www.unews.com.tw/School/Department/16/518?t=2
農業生物科技學系,國立嘉義大學農業生物科技學系(10029),12,1,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10029.htm?v=1.0,https://www.unews.com.tw/School/Info/16
景觀學系,國立嘉義大學景觀學系(10030),8,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10030.htm?v=1.0,https://www.unews.com.tw/School/Department/16/516?t=2
植物醫學系,國立嘉義大學植物醫學系(10031),8,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10031.htm?v=1.0,https://www.unews.com.tw/School/Department/16/520?t=2
食品科學系,國立嘉義大學食品科學系(10032),8,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10032.htm?v=1.0,https://www.unews.com.tw/School/Department/16/521?t=2
水生生物科學系,國立嘉義大學水生生物科學系(10033),8,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10033.htm?v=1.0,https://www.unews.com.tw/School/Department/16/503?t=2
生物資源學系,國立嘉義大學生物資源學系(10034),8,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10034.htm?v=1.0,https://www.unews.com.tw/School/Department/16/504?t=2
生化科技學系,國立嘉義大學生化科技學系(10035),8,2,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10035.htm?v=1.0,https://www.unews.com.tw/School/Department/16/505?t=2
微生物免疫與生物藥學系,國立嘉義大學微生物免疫與生物藥學系(10036),8,1,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10036.htm?v=1.0,https://www.unews.com.tw/School/Department/16/506?t=2
獸醫學系,國立嘉義大學獸醫學系(10037),8,3,第三類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10037.htm?v=1.0,https://www.unews.com.tw/School/Department/16/525?t=2
音樂學系,國立嘉義大學音樂學系(10038),1,1,第四類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10038.htm?v=1.0,https://www.unews.com.tw/School/Department/16/491?t=2
視覺藝術學系,國立嘉義大學視覺藝術學系(10039),5,無,第五類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10039.htm?v=1.0,https://www.unews.com.tw/School/Department/16/492?t=2
