搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
企業管理學系、企管,國立東華大學企業管理學系(03401),9,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03401.htm?v=1.0,https://www.unews.com.tw/School/Department/18/573?t=2
會計學系、會計,國立東華大學會計學系(03402),10,2,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03402.htm?v=1.0,https://www.unews.com.tw/School/Department/18/572?t=2
資訊管理學系人工智慧與大數據組、資管,國立東華大學資訊管理學系人工智慧與大數據組(03403),6,1,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03403.htm?v=1.0,https://www.unews.com.tw/School/Department/18/584?t=2
資訊管理學系智慧商務與知識管理組、資管,國立東華大學資訊管理學系智慧商務與知識管理組(03404),5,1,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03404.htm?v=1.0,https://www.unews.com.tw/School/Department/18/584?t=2
國際企業學系、國企,國立東華大學國際企業學系(03405),8,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03405.htm?v=1.0,https://www.unews.com.tw/School/Department/18/574?t=2
財務金融學系、財金,國立東華大學財務金融學系(03406),13,5,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03406.htm?v=1.0,https://www.unews.com.tw/School/Department/18/575?t=2
觀光暨休閒遊憩學系,國立東華大學觀光暨休閒遊憩學系(03407),8,1,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03407.htm?v=1.0,https://www.unews.com.tw/School/Department/18/591?t=2
管理學院管理科學與財金國際學士學位學程,國立東華大學管理學院管理科學與財金國際學士學位學程(03408),4,2,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03408.htm?v=1.0,https://www.unews.com.tw/School/Department/18/576?t=2
管理學院會計與資訊管理國際學士班智慧會計與風險管理組、資管,國立東華大學管理學院會計與資訊管理國際學士班智慧會計與風險管理組(03409),3,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03409.htm?v=1.0,https://www.unews.com.tw/School/Info/18
管理學院會計與資訊管理國際學士班會計資訊與電腦稽核組、資管,國立東華大學管理學院會計與資訊管理國際學士班會計資訊與電腦稽核組(03410),2,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03410.htm?v=1.0,https://www.unews.com.tw/School/Info/18
華文文學系,國立東華大學華文文學系(03411),7,2,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03411.htm?v=1.0,https://www.unews.com.tw/School/Department/18/561?t=2
中國語文學系,國立東華大學中國語文學系(03412),10,2,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03412.htm?v=1.0,https://www.unews.com.tw/School/Department/18/560?t=2
英美語文學系,國立東華大學英美語文學系(03413),6,1,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03413.htm?v=1.0,https://www.unews.com.tw/School/Department/18/562?t=2
臺灣文化學系,國立東華大學臺灣文化學系(03414),7,2,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03414.htm?v=1.0,https://www.unews.com.tw/School/Department/18/579?t=2
歷史學系,國立東華大學歷史學系(03415),12,1,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03415.htm?v=1.0,https://www.unews.com.tw/School/Department/18/564?t=2
經濟學系,國立東華大學經濟學系(03416),9,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03416.htm?v=1.0,https://www.unews.com.tw/School/Department/18/565?t=2
諮商與臨床心理學系,國立東華大學諮商與臨床心理學系(03417),10,2,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03417.htm?v=1.0,https://www.unews.com.tw/School/Department/18/569?t=2
社會學系,國立東華大學社會學系(03418),7,1,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03418.htm?v=1.0,https://www.unews.com.tw/School/Department/18/566?t=2
公共行政學系,國立東華大學公共行政學系(03419),6,2,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03419.htm?v=1.0,https://www.unews.com.tw/School/Department/18/571?t=2
法律學系,國立東華大學法律學系(03420),5,2,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03420.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3427?t=2
教育與潛能開發學系,國立東華大學教育與潛能開發學系(03421),8,2,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03421.htm?v=1.0,https://www.unews.com.tw/School/Info/18
教育行政與管理學系,國立東華大學教育行政與管理學系(03422),7,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03422.htm?v=1.0,https://www.unews.com.tw/School/Department/18/556?t=2
特殊教育學系,國立東華大學特殊教育學系(03423),6,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03423.htm?v=1.0,https://www.unews.com.tw/School/Department/18/555?t=2
幼兒教育學系、幼教,國立東華大學幼兒教育學系(03424),6,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03424.htm?v=1.0,https://www.unews.com.tw/School/Department/18/554?t=2
族群關係與文化學系,國立東華大學族群關係與文化學系(03425),4,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03425.htm?v=1.0,https://www.unews.com.tw/School/Department/18/579?t=2
民族語言與傳播學系,國立東華大學民族語言與傳播學系(03426),5,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03426.htm?v=1.0,https://www.unews.com.tw/School/Department/18/563?t=2
民族事務與發展學系,國立東華大學民族事務與發展學系(03427),3,1,第一類學群,29,19,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03427.htm?v=1.0,https://www.unews.com.tw/School/Department/18/567?t=2
