搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
財務金融學系、財金,南華大學財務金融學系(05901),10,2,第一類學群,27,23,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05901.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1836?t=2
企業管理學系經營管理組、企管,南華大學企業管理學系經營管理組(05902),3,1,第一類學群,27,23,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05902.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1834?t=2
企業管理學系數位行銷組、企管,南華大學企業管理學系數位行銷組(05903),4,1,第一類學群,27,23,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05903.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1834?t=2
文化創意事業管理學系,南華大學文化創意事業管理學系(05904),5,1,第一類學群,27,23,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05904.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1837?t=2
旅遊管理學系,南華大學旅遊管理學系(05905),3,1,第一類學群,27,23,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05905.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1848?t=2
管理學院國際企業學士學位學程、國企,南華大學管理學院國際企業學士學位學程(05906),1,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05906.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1835?t=2
管理學院國際企業學士學位學程國際數位行銷組、國企,南華大學管理學院國際企業學士學位學程國際數位行銷組(05907),1,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05907.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1835?t=2
管理學院國際企業學士學位學程人工智慧商務組、國企,南華大學管理學院國際企業學士學位學程人工智慧商務組(05908),1,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05908.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1835?t=2
生死學系社會工作組、社工,南華大學生死學系社會工作組(05909),8,1,第一類學群,27,23,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05909.htm?v=1.0,https://www.unews.com.tw/School/Department/68/3573?t=2
生死學系殯葬服務組,南華大學生死學系殯葬服務組(05910),9,2,第一類學群,27,23,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05910.htm?v=1.0,https://www.unews.com.tw/School/Department/68/3573?t=2
