搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
外國語文學系、外文,國立宜蘭大學外國語文學系(15001),18,2,第一類學群,3,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15001.htm?v=1.0,https://www.unews.com.tw/School/Department/29/803?t=2
應用經濟與管理學系,國立宜蘭大學應用經濟與管理學系(15002),15,6,第一類學群,3,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15002.htm?v=1.0,https://www.unews.com.tw/School/Department/29/804?t=2
休閒產業與健康促進學系,國立宜蘭大學休閒產業與健康促進學系(15003),17,2,第一類學群,3,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15003.htm?v=1.0,https://www.unews.com.tw/School/Department/29/817?t=2
土木工程學系、土木,國立宜蘭大學土木工程學系(15004),39,3,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15004.htm?v=1.0,https://www.unews.com.tw/School/Department/29/810?t=2
機械與機電工程學系,國立宜蘭大學機械與機電工程學系(15005),26,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15005.htm?v=1.0,https://www.unews.com.tw/School/Department/29/808?t=2
化學工程與材料工程學系、化工,國立宜蘭大學化學工程與材料工程學系(15006),32,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15006.htm?v=1.0,https://www.unews.com.tw/School/Department/29/811?t=2
環境工程學系、環工,國立宜蘭大學環境工程學系(15007),19,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15007.htm?v=1.0,https://www.unews.com.tw/School/Department/29/812?t=2
生物機電工程學系,國立宜蘭大學生物機電工程學系(15008),14,1,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15008.htm?v=1.0,https://www.unews.com.tw/School/Department/29/809?t=2
電機工程學系、電機,國立宜蘭大學電機工程學系(15009),22,4,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15009.htm?v=1.0,https://www.unews.com.tw/School/Department/29/805?t=2
電子工程學系,國立宜蘭大學電子工程學系(15010),25,4,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15010.htm?v=1.0,https://www.unews.com.tw/School/Department/29/806?t=2
資訊工程學系、資工,國立宜蘭大學資訊工程學系(15011),12,2,第二類學群,8,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15011.htm?v=1.0,https://www.unews.com.tw/School/Department/29/807?t=2
食品科學系,國立宜蘭大學食品科學系(15012),39,無,第三類學群,4,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15012.htm?v=1.0,https://www.unews.com.tw/School/Department/29/815?t=2
生物技術與動物科學系、動科,國立宜蘭大學生物技術與動物科學系(15013),30,3,第三類學群,4,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15013.htm?v=1.0,https://www.unews.com.tw/School/Department/29/813?t=2
森林暨自然資源學系,國立宜蘭大學森林暨自然資源學系(15014),15,2,第三類學群,4,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15014.htm?v=1.0,https://www.unews.com.tw/School/Department/29/816?t=2
園藝學系,國立宜蘭大學園藝學系(15015),15,1,第三類學群,4,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15015.htm?v=1.0,https://www.unews.com.tw/School/Department/29/814?t=2
