搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
國文學系,國立高雄師範大學國文學系(02201),18,2,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02201.htm?v=1.0,https://www.unews.com.tw/School/Department/12/412?t=2
英語學系、英文,國立高雄師範大學英語學系(02202),16,2,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02202.htm?v=1.0,https://www.unews.com.tw/School/Department/12/419?t=2
地理學系,國立高雄師範大學地理學系(02203),5,2,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02203.htm?v=1.0,https://www.unews.com.tw/School/Department/12/422?t=2
教育學系,國立高雄師範大學教育學系(02204),7,3,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02204.htm?v=1.0,https://www.unews.com.tw/School/Department/12/413?t=2
特殊教育學系,國立高雄師範大學特殊教育學系(02205),8,2,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02205.htm?v=1.0,https://www.unews.com.tw/School/Department/12/416?t=2
事業經營學系,國立高雄師範大學事業經營學系(02206),5,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02206.htm?v=1.0,https://www.unews.com.tw/School/Department/12/423?t=2
工業設計學系,國立高雄師範大學工業設計學系(02207),7,1,第一類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02207.htm?v=1.0,https://www.unews.com.tw/School/Department/12/421?t=2
數學系數學組,國立高雄師範大學數學系數學組(02208),7,2,第二類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02208.htm?v=1.0,https://www.unews.com.tw/School/Department/12/3463?t=2
數學系應用數學組、應數,國立高雄師範大學數學系應用數學組(02209),7,2,第二類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02209.htm?v=1.0,https://www.unews.com.tw/School/Department/12/3463?t=2
化學系,國立高雄師範大學化學系(02210),8,2,第二類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02210.htm?v=1.0,https://www.unews.com.tw/School/Department/12/425?t=2
物理學系,國立高雄師範大學物理學系(02211),9,1,第二類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02211.htm?v=1.0,https://www.unews.com.tw/School/Department/12/426?t=2
工業科技教育學系科技教育與訓練組,國立高雄師範大學工業科技教育學系科技教育與訓練組(02212),4,無,第二類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02212.htm?v=1.0,https://www.unews.com.tw/School/Department/12/414?t=2
工業科技教育學系能源與冷凍空調組,國立高雄師範大學工業科技教育學系能源與冷凍空調組(02213),4,1,第二類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02213.htm?v=1.0,https://www.unews.com.tw/School/Department/12/414?t=2
電機工程學系、電機,國立高雄師範大學電機工程學系(02214),10,2,第二類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02214.htm?v=1.0,https://www.unews.com.tw/School/Info/12
電子工程學系,國立高雄師範大學電子工程學系(02215),8,1,第二類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02215.htm?v=1.0,https://www.unews.com.tw/School/Department/12/430?t=2
軟體工程與管理學系,國立高雄師範大學軟體工程與管理學系(02216),5,2,第二類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02216.htm?v=1.0,https://www.unews.com.tw/School/Department/12/429?t=2
生物科技系,國立高雄師範大學生物科技系(02217),10,2,第三類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02217.htm?v=1.0,https://www.unews.com.tw/School/Department/12/424?t=2
美術學系,國立高雄師範大學美術學系(02218),7,1,第五類學群,2,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02218.htm?v=1.0,https://www.unews.com.tw/School/Department/12/417?t=2
視覺設計學系,國立高雄師範大學視覺設計學系(02219),5,2,第五類學群,2,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02219.htm?v=1.0,https://www.unews.com.tw/School/Department/12/420?t=2
體育學系,國立高雄師範大學體育學系(02220),7,1,第七類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02220.htm?v=1.0,https://www.unews.com.tw/School/Department/12/415?t=2
