搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
教育學系,國立屏東大學教育學系(03601),15,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03601.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1070?t=2
幼兒教育學系、幼教,國立屏東大學幼兒教育學系(03602),22,3,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03602.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1073?t=2
特殊教育學系,國立屏東大學特殊教育學系(03603),6,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03603.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1074?t=2
教育心理與輔導學系,國立屏東大學教育心理與輔導學系(03604),12,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03604.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1071?t=2
中國語文學系,國立屏東大學中國語文學系(03605),12,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03605.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1078?t=2
文化創意產業學系,國立屏東大學文化創意產業學系(03606),11,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03606.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1082?t=2
社會發展學系,國立屏東大學社會發展學系(03607),14,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03607.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1083?t=2
英語學系、英文,國立屏東大學英語學系(03608),11,1,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03608.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1079?t=2
應用英語學系、英文,國立屏東大學應用英語學系(03609),1,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03609.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1080?t=2
應用日語學系、日文,國立屏東大學應用日語學系(03610),2,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03610.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1081?t=2
視覺藝術學系數位媒體設計組,國立屏東大學視覺藝術學系數位媒體設計組(03611),5,1,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03611.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1077?t=2
商業自動化與管理學系,國立屏東大學商業自動化與管理學系(03612),2,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03612.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1086?t=2
行銷與流通管理學系,國立屏東大學行銷與流通管理學系(03613),2,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03613.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1089?t=2
不動產經營學系,國立屏東大學不動產經營學系(03614),3,3,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03614.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1090?t=2
企業管理學系、企管,國立屏東大學企業管理學系(03615),1,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03615.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1085?t=2
國際經營與貿易學系,國立屏東大學國際經營與貿易學系(03616),1,2,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03616.htm?v=1.0,https://www.unews.com.tw/School/Info/47
大數據商務應用學士學位學程,國立屏東大學大數據商務應用學士學位學程(03617),8,1,第一類學群,9,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03617.htm?v=1.0,https://www.unews.com.tw/School/Department/47/3753?t=2
應用化學系,國立屏東大學應用化學系(03618),7,2,第二類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03618.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1091?t=2
應用數學系、應數,國立屏東大學應用數學系(03619),7,1,第二類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03619.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1094?t=2
應用物理系半導體組,國立屏東大學應用物理系半導體組(03620),9,1,第二類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03620.htm?v=1.0,https://www.unews.com.tw/School/Info/47
應用物理系光電暨材料組,國立屏東大學應用物理系光電暨材料組(03621),9,2,第二類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03621.htm?v=1.0,https://www.unews.com.tw/School/Info/47
科學傳播學系,國立屏東大學科學傳播學系(03622),6,2,第二類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03622.htm?v=1.0,https://www.unews.com.tw/School/Info/47
電腦科學與人工智慧學系,國立屏東大學電腦科學與人工智慧學系(03623),8,無,第二類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03623.htm?v=1.0,https://www.unews.com.tw/School/Info/47
智慧機器人學系,國立屏東大學智慧機器人學系(03624),2,無,第二類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03624.htm?v=1.0,https://www.unews.com.tw/School/Info/47
電腦與通訊學系,國立屏東大學電腦與通訊學系(03625),3,5,第二類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03625.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1098?t=2
