搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
應用英語學系、英文,國立金門大學應用英語學系(15301),10,3,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15301.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1015?t=2
運動與休閒學系,國立金門大學運動與休閒學系(15302),9,2,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15302.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1030?t=2
企業管理學系、企管,國立金門大學企業管理學系(15303),10,4,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15303.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1017?t=2
觀光管理學系,國立金門大學觀光管理學系(15304),10,2,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15304.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1029?t=2
國際暨大陸事務學系,國立金門大學國際暨大陸事務學系(15305),10,2,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15305.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1016?t=2
華語文學系,國立金門大學華語文學系(15306),10,2,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15306.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1014?t=2
海洋與邊境管理學系,國立金門大學海洋與邊境管理學系(15307),10,2,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15307.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1018?t=2
工業工程與管理學系、工工,國立金門大學工業工程與管理學系(15308),11,2,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15308.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1022?t=2
長期照護學系,國立金門大學長期照護學系(15309),9,2,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15309.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1027?t=2
社會工作學系、社工,國立金門大學社會工作學系(15310),10,2,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15310.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1028?t=2
都市計畫與景觀學系,國立金門大學都市計畫與景觀學系(15311),10,2,第一類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15311.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1024?t=2
電機工程學系、電機,國立金門大學電機工程學系(15312),12,4,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15312.htm?v=1.0,https://www.unews.com.tw/School/Info/43
食品科學系,國立金門大學食品科學系(15313),10,2,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15313.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1025?t=2
土木與工程管理學系,國立金門大學土木與工程管理學系(15314),8,2,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15314.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1021?t=2
資訊工程學系、資工,國立金門大學資訊工程學系(15315),12,2,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15315.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1020?t=2
建築學系,國立金門大學建築學系(15316),10,2,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15316.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1023?t=2
護理學系,國立金門大學護理學系(15317),9,2,第三類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15317.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1026?t=2
