搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系、中文,國立中山大學中國文學系(02701),16,無,第一類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02701.htm?v=1.0,https://www.unews.com.tw/School/Department/9/337?t=2
外國語文學系、外文,國立中山大學外國語文學系(02702),7,無,第一類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02702.htm?v=1.0,https://www.unews.com.tw/School/Department/9/338?t=2
劇場藝術學系,國立中山大學劇場藝術學系(02703),1,無,第一類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02703.htm?v=1.0,https://www.unews.com.tw/School/Department/9/336?t=2
企業管理學系、企管,國立中山大學企業管理學系(02704),10,無,第一類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02704.htm?v=1.0,https://www.unews.com.tw/School/Department/9/341?t=2
資訊管理學系、資管,國立中山大學資訊管理學系(02705),5,無,第一類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02705.htm?v=1.0,https://www.unews.com.tw/School/Department/9/349?t=2
財務管理學系,國立中山大學財務管理學系(02706),7,2,第一類學群,10,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02706.htm?v=1.0,https://www.unews.com.tw/School/Department/9/342?t=2
國際經營管理全英語學士學位學程、英文,國立中山大學國際經營管理全英語學士學位學程(02707),5,無,第一類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02707.htm?v=1.0,https://www.unews.com.tw/School/Department/9/3762?t=2
政治經濟學系,國立中山大學政治經濟學系(02708),6,無,第一類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02708.htm?v=1.0,https://www.unews.com.tw/School/Department/9/339?t=2
社會學系,國立中山大學社會學系(02709),4,1,第一類學群,10,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02709.htm?v=1.0,https://www.unews.com.tw/School/Department/9/340?t=2
人文暨科技跨領域學士學位學程,國立中山大學人文暨科技跨領域學士學位學程(02710),1,1,第一類學群,10,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02710.htm?v=1.0,https://www.unews.com.tw/School/Department/9/3468?t=2
