搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
教育學系,國立臺中教育大學教育學系(03101),6,無,第一類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03101.htm?v=1.0,https://www.unews.com.tw/School/Department/37/936?t=2
特殊教育學系,國立臺中教育大學特殊教育學系(03102),5,1,第一類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03102.htm?v=1.0,https://www.unews.com.tw/School/Department/37/944?t=2
幼兒教育學系、幼教,國立臺中教育大學幼兒教育學系(03103),4,2,第一類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03103.htm?v=1.0,https://www.unews.com.tw/School/Department/37/943?t=2
體育學系,國立臺中教育大學體育學系(03104),8,1,第一類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03104.htm?v=1.0,https://www.unews.com.tw/School/Department/37/940?t=2
語文教育學系,國立臺中教育大學語文教育學系(03105),30,1,第一類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03105.htm?v=1.0,https://www.unews.com.tw/School/Department/37/937?t=2
區域與社會發展學系,國立臺中教育大學區域與社會發展學系(03106),6,1,第一類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03106.htm?v=1.0,https://www.unews.com.tw/School/Department/37/951?t=2
諮商與應用心理學系,國立臺中教育大學諮商與應用心理學系(03107),7,1,第一類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03107.htm?v=1.0,https://www.unews.com.tw/School/Department/37/950?t=2
臺灣語文學系,國立臺中教育大學臺灣語文學系(03108),6,無,第一類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03108.htm?v=1.0,https://www.unews.com.tw/School/Department/37/947?t=2
英語學系、英文,國立臺中教育大學英語學系(03109),6,1,第一類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03109.htm?v=1.0,https://www.unews.com.tw/School/Department/37/948?t=2
國際企業學系、國企,國立臺中教育大學國際企業學系(03110),7,2,第一類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03110.htm?v=1.0,https://www.unews.com.tw/School/Department/37/952?t=2
文化創意產業設計與營運學系,國立臺中教育大學文化創意產業設計與營運學系(03111),8,無,第一類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03111.htm?v=1.0,https://www.unews.com.tw/School/Department/37/949?t=2
數學教育學系,國立臺中教育大學數學教育學系(03112),26,2,第二類學群,4,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03112.htm?v=1.0,https://www.unews.com.tw/School/Department/37/939?t=2
科學教育與應用學系,國立臺中教育大學科學教育與應用學系(03113),7,1,第二類學群,4,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03113.htm?v=1.0,https://www.unews.com.tw/School/Department/37/938?t=2
資訊工程學系、資工,國立臺中教育大學資訊工程學系(03114),11,無,第二類學群,4,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03114.htm?v=1.0,https://www.unews.com.tw/School/Department/37/954?t=2
數位內容科技學系,國立臺中教育大學數位內容科技學系(03115),13,1,第二類學群,4,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03115.htm?v=1.0,https://www.unews.com.tw/School/Department/37/953?t=2
美術學系,國立臺中教育大學美術學系(03116),15,無,第五類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03116.htm?v=1.0,https://www.unews.com.tw/School/Department/37/945?t=2
