搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系甲組、中文,國立清華大學中國文學系甲組(一般組)(01101),5,1,第一類學群,13,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01101.htm?v=1.0,https://www.unews.com.tw/School/Department/2/50?t=2
中國文學系乙組、中文,國立清華大學中國文學系乙組(華語文教學組)(01102),3,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01102.htm?v=1.0,https://www.unews.com.tw/School/Department/2/50?t=2
外國語文學系、外文,國立清華大學外國語文學系(01103),8,1,第一類學群,13,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01103.htm?v=1.0,https://www.unews.com.tw/School/Department/2/51?t=2
人文社會學院學士班、人社,國立清華大學人文社會學院學士班(01104),12,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01104.htm?v=1.0,https://www.unews.com.tw/School/Department/2/52?t=2
教育與學習科技學系,國立清華大學教育與學習科技學系(01105),6,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01105.htm?v=1.0,https://www.unews.com.tw/School/Department/2/42?t=2
幼兒教育學系、幼教,國立清華大學幼兒教育學系(01106),6,1,第一類學群,13,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01106.htm?v=1.0,https://www.unews.com.tw/School/Department/2/45?t=2
教育心理與諮商學系,國立清華大學教育心理與諮商學系(01107),7,1,第一類學群,13,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01107.htm?v=1.0,https://www.unews.com.tw/School/Department/2/41?t=2
特殊教育學系,國立清華大學特殊教育學系(01108),5,1,第一類學群,13,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01108.htm?v=1.0,https://www.unews.com.tw/School/Department/2/46?t=2
英語教學系、英文,國立清華大學英語教學系(01109),4,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01109.htm?v=1.0,https://www.unews.com.tw/School/Department/2/43?t=2
竹師教育學院學士班甲組,國立清華大學竹師教育學院學士班甲組(雙專長組)(01110),4,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01110.htm?v=1.0,https://www.unews.com.tw/School/Department/2/83?t=2
竹師教育學院學士班乙組,國立清華大學竹師教育學院學士班乙組(永續發展教育組)(01111),3,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01111.htm?v=1.0,https://www.unews.com.tw/School/Department/2/83?t=2
經濟學系,國立清華大學經濟學系(01112),14,1,第一類學群,13,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01112.htm?v=1.0,https://www.unews.com.tw/School/Department/2/38?t=2
科技管理學院學士班,國立清華大學科技管理學院學士班(01113),7,1,第一類學群,13,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01113.htm?v=1.0,https://www.unews.com.tw/School/Department/2/61?t=2
計量財務金融學系、財金,國立清華大學計量財務金融學系(01114),8,2,第二類學群,21,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01114.htm?v=1.0,https://www.unews.com.tw/School/Department/2/39?t=2
數學系甲組,國立清華大學數學系甲組(數學組)(01115),5,1,第二類學群,21,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01115.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3402?t=2
數學系乙組、應數,國立清華大學數學系乙組(應用數學組)(01116),5,1,第二類學群,21,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01116.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3402?t=2
物理學系物理組,國立清華大學物理學系物理組(甲組一般組)(01117),5,1,第二類學群,21,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01117.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3500?t=2
物理學系物理組,國立清華大學物理學系物理組(乙組天文物理組)(01118),2,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01118.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3500?t=2
物理學系光電物理組,國立清華大學物理學系光電物理組(01119),4,1,第二類學群,21,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01119.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3500?t=2
化學系,國立清華大學化學系(01120),10,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01120.htm?v=1.0,https://www.unews.com.tw/School/Department/2/58?t=2
理學院學士班,國立清華大學理學院學士班(01121),7,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01121.htm?v=1.0,https://www.unews.com.tw/School/Department/2/61?t=2
生醫工程與環境科學系,國立清華大學生醫工程與環境科學系(01122),6,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01122.htm?v=1.0,https://www.unews.com.tw/School/Department/2/75?t=2
工程與系統科學系甲組,國立清華大學工程與系統科學系甲組(低碳綠能組)(01123),5,1,第二類學群,21,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01123.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3461?t=2
