搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
教育學系,國立臺灣師範大學教育學系(00201),8,2,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00201.htm?v=1.0,https://www.unews.com.tw/School/Department/4/147?t=2
教育心理與輔導學系,國立臺灣師範大學教育心理與輔導學系(00202),8,3,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00202.htm?v=1.0,https://www.unews.com.tw/School/Department/4/148?t=2
社會教育學系,國立臺灣師範大學社會教育學系(00203),6,2,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00203.htm?v=1.0,https://www.unews.com.tw/School/Department/4/153?t=2
幼兒與家庭科學學系家庭生活與教育組,國立臺灣師範大學幼兒與家庭科學學系家庭生活與教育組(00204),7,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00204.htm?v=1.0,https://www.unews.com.tw/School/Info/4
幼兒與家庭科學學系幼兒發展與教育組,國立臺灣師範大學幼兒與家庭科學學系幼兒發展與教育組(00205),7,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00205.htm?v=1.0,https://www.unews.com.tw/School/Info/4
公民教育與活動領導學系,國立臺灣師範大學公民教育與活動領導學系(00206),12,3,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00206.htm?v=1.0,https://www.unews.com.tw/School/Department/4/149?t=2
特殊教育學系,國立臺灣師範大學特殊教育學系(00207),6,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00207.htm?v=1.0,https://www.unews.com.tw/School/Department/4/159?t=2
教育學院學士班,國立臺灣師範大學教育學院學士班(00208),7,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00208.htm?v=1.0,https://www.unews.com.tw/School/Department/4/3422?t=2
國文學系,國立臺灣師範大學國文學系(00209),25,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00209.htm?v=1.0,https://www.unews.com.tw/School/Department/4/165?t=2
英語學系、英文,國立臺灣師範大學英語學系(00210),9,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00210.htm?v=1.0,https://www.unews.com.tw/School/Department/4/167?t=2
歷史學系,國立臺灣師範大學歷史學系(00211),7,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00211.htm?v=1.0,https://www.unews.com.tw/School/Department/4/168?t=2
地理學系,國立臺灣師範大學地理學系(00212),10,1,第一類學群,9,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00212.htm?v=1.0,https://www.unews.com.tw/School/Department/4/172?t=2
臺灣語文學系,國立臺灣師範大學臺灣語文學系(00213),3,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00213.htm?v=1.0,https://www.unews.com.tw/School/Department/4/164?t=2
