搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
航運管理學系,國立臺灣海洋大學航運管理學系(02101),20,3,第一類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02101.htm?v=1.0,https://www.unews.com.tw/School/Department/10/373?t=2
運輸科學系A組,國立臺灣海洋大學運輸科學系A組(02102),11,1,第一類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02102.htm?v=1.0,https://www.unews.com.tw/School/Department/10/374?t=2
海洋觀光管理學士學位學程,國立臺灣海洋大學海洋觀光管理學士學位學程(02103),6,1,第一類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02103.htm?v=1.0,https://www.unews.com.tw/School/Department/10/356?t=2
海洋法政學士學位學程,國立臺灣海洋大學海洋法政學士學位學程(02104),6,1,第一類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02104.htm?v=1.0,https://www.unews.com.tw/School/Department/10/357?t=2
海洋文創設計產業學士學位學程,國立臺灣海洋大學海洋文創設計產業學士學位學程(02105),7,1,第一類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02105.htm?v=1.0,https://www.unews.com.tw/School/Department/10/378?t=2
海洋經營管理學士學位學程,國立臺灣海洋大學海洋經營管理學士學位學程(02106),10,1,第一類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02106.htm?v=1.0,https://www.unews.com.tw/School/Department/10/379?t=2
商船學系,國立臺灣海洋大學商船學系(02107),19,4,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02107.htm?v=1.0,https://www.unews.com.tw/School/Department/10/377?t=2
運輸科學系B組,國立臺灣海洋大學運輸科學系B組(02108),10,2,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02108.htm?v=1.0,https://www.unews.com.tw/School/Department/10/374?t=2
輪機工程學系,國立臺灣海洋大學輪機工程學系(02109),20,3,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02109.htm?v=1.0,https://www.unews.com.tw/School/Department/10/3511?t=2
系統工程暨造船學系,國立臺灣海洋大學系統工程暨造船學系(02110),14,2,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02110.htm?v=1.0,https://www.unews.com.tw/School/Department/10/364?t=2
河海工程學系,國立臺灣海洋大學河海工程學系(02111),20,2,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02111.htm?v=1.0,https://www.unews.com.tw/School/Department/10/368?t=2
機械與機電工程學系,國立臺灣海洋大學機械與機電工程學系(02112),22,3,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02112.htm?v=1.0,https://www.unews.com.tw/School/Department/10/367?t=2
海洋環境資訊系,國立臺灣海洋大學海洋環境資訊系(02113),11,2,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02113.htm?v=1.0,https://www.unews.com.tw/School/Department/10/359?t=2
電機工程學系、電機,國立臺灣海洋大學電機工程學系(02114),17,3,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02114.htm?v=1.0,https://www.unews.com.tw/School/Department/10/360?t=2
資訊工程學系、資工,國立臺灣海洋大學資訊工程學系(02115),18,3,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02115.htm?v=1.0,https://www.unews.com.tw/School/Department/10/362?t=2
通訊與導航工程學系,國立臺灣海洋大學通訊與導航工程學系(02116),12,1,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02116.htm?v=1.0,https://www.unews.com.tw/School/Department/10/363?t=2
光電與材料科技學系,國立臺灣海洋大學光電與材料科技學系(02117),5,1,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02117.htm?v=1.0,https://www.unews.com.tw/School/Info/10
海洋工程科技學士學位學程,國立臺灣海洋大學海洋工程科技學士學位學程(02118),10,1,第二類學群,12,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02118.htm?v=1.0,https://www.unews.com.tw/School/Department/10/381?t=2
食品科學系,國立臺灣海洋大學食品科學系(02119),19,4,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02119.htm?v=1.0,https://www.unews.com.tw/School/Department/10/3398?t=2
水產養殖學系,國立臺灣海洋大學水產養殖學系(02120),21,3,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02120.htm?v=1.0,https://www.unews.com.tw/School/Department/10/372?t=2
生命科學暨生物科技學系、生科,國立臺灣海洋大學生命科學暨生物科技學系(02121),9,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02121.htm?v=1.0,https://www.unews.com.tw/School/Department/10/358?t=2
環境生物與漁業科學學系,國立臺灣海洋大學環境生物與漁業科學學系(02122),16,2,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02122.htm?v=1.0,https://www.unews.com.tw/School/Department/10/371?t=2
海洋生物科技學士學位學程,國立臺灣海洋大學海洋生物科技學士學位學程(02123),10,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02123.htm?v=1.0,https://www.unews.com.tw/School/Department/10/380?t=2
