搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
法律學系法學組,國立臺北大學法律學系法學組(09901),9,1,第一類學群,17,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09901.htm?v=1.0,https://www.unews.com.tw/School/Department/15/3517?t=2
法律學系司法組,國立臺北大學法律學系司法組(09902),9,1,第一類學群,17,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09902.htm?v=1.0,https://www.unews.com.tw/School/Department/15/3517?t=2
法律學系財經法組,國立臺北大學法律學系財經法組(09903),9,1,第一類學群,17,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09903.htm?v=1.0,https://www.unews.com.tw/School/Department/15/3517?t=2
企業管理學系、企管,國立臺北大學企業管理學系(09904),22,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09904.htm?v=1.0,https://www.unews.com.tw/School/Department/15/474?t=2
金融與合作經營學系,國立臺北大學金融與合作經營學系(09905),11,2,第一類學群,17,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09905.htm?v=1.0,https://www.unews.com.tw/School/Department/15/475?t=2
會計學系、會計,國立臺北大學會計學系(09906),20,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09906.htm?v=1.0,https://www.unews.com.tw/School/Department/15/473?t=2
統計學系,國立臺北大學統計學系(09907),10,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09907.htm?v=1.0,https://www.unews.com.tw/School/Department/15/481?t=2
休閒運動管理學系,國立臺北大學休閒運動管理學系(09908),7,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09908.htm?v=1.0,https://www.unews.com.tw/School/Department/15/486?t=2
公共行政暨政策學系,國立臺北大學公共行政暨政策學系(09909),18,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09909.htm?v=1.0,https://www.unews.com.tw/School/Department/15/472?t=2
財政學系、財政,國立臺北大學財政學系(09910),10,2,第一類學群,17,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09910.htm?v=1.0,https://www.unews.com.tw/School/Department/15/476?t=2
不動產與城鄉環境學系,國立臺北大學不動產與城鄉環境學系(09911),31,5,第一類學群,17,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09911.htm?v=1.0,https://www.unews.com.tw/School/Department/15/477?t=2
經濟學系,國立臺北大學經濟學系(09912),20,1,第一類學群,17,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09912.htm?v=1.0,https://www.unews.com.tw/School/Department/15/470?t=2
社會學系,國立臺北大學社會學系(09913),6,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09913.htm?v=1.0,https://www.unews.com.tw/School/Department/15/471?t=2
社會工作學系、社工,國立臺北大學社會工作學系(09914),6,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09914.htm?v=1.0,https://www.unews.com.tw/School/Department/15/485?t=2
中國文學系、中文,國立臺北大學中國文學系(09915),7,1,第一類學群,17,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09915.htm?v=1.0,https://www.unews.com.tw/School/Department/15/467?t=2
應用外語學系、應外,國立臺北大學應用外語學系(09916),15,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09916.htm?v=1.0,https://www.unews.com.tw/School/Department/15/468?t=2
歷史學系,國立臺北大學歷史學系(09917),12,1,第一類學群,17,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09917.htm?v=1.0,https://www.unews.com.tw/School/Department/15/469?t=2
資訊工程學系、資工,國立臺北大學資訊工程學系(09918),5,無,第二類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09918.htm?v=1.0,https://www.unews.com.tw/School/Department/15/483?t=2
通訊工程學系,國立臺北大學通訊工程學系(09919),5,無,第二類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09919.htm?v=1.0,https://www.unews.com.tw/School/Department/15/484?t=2
電機工程學系、電機,國立臺北大學電機工程學系(09920),7,無,第二類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_09920.htm?v=1.0,https://www.unews.com.tw/School/Department/15/482?t=2
