搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
全校不分系學士學位學程,國立臺東大學全校不分系學士學位學程(03801),2,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03801.htm?v=1.0,https://www.unews.com.tw/School/Department/28/3754?t=2
教育學系,國立臺東大學教育學系(03802),8,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03802.htm?v=1.0,https://www.unews.com.tw/School/Department/28/781?t=2
文化資源與休閒產業學系,國立臺東大學文化資源與休閒產業學系(03803),8,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03803.htm?v=1.0,https://www.unews.com.tw/School/Department/28/799?t=2
幼兒教育學系、幼教,國立臺東大學幼兒教育學系(03804),6,2,第一類學群,9,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03804.htm?v=1.0,https://www.unews.com.tw/School/Department/28/783?t=2
特殊教育學系,國立臺東大學特殊教育學系(03805),8,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03805.htm?v=1.0,https://www.unews.com.tw/School/Department/28/786?t=2
數位媒體與文教產業學系,國立臺東大學數位媒體與文教產業學系(03806),5,無,第一類學群,9,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03806.htm?v=1.0,https://www.unews.com.tw/School/Department/28/787?t=2
英美語文學系,國立臺東大學英美語文學系(03807),9,2,第一類學群,9,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03807.htm?v=1.0,https://www.unews.com.tw/School/Department/28/791?t=2
華語文學系,國立臺東大學華語文學系(03808),9,1,第一類學群,9,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03808.htm?v=1.0,https://www.unews.com.tw/School/Department/28/790?t=2
公共與文化事務學系,國立臺東大學公共與文化事務學系(03809),12,1,第一類學群,9,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03809.htm?v=1.0,https://www.unews.com.tw/School/Department/28/792?t=2
應用數學系、應數,國立臺東大學應用數學系(03810),13,2,第二類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03810.htm?v=1.0,https://www.unews.com.tw/School/Department/28/796?t=2
資訊管理學系、資管,國立臺東大學資訊管理學系(03811),12,2,第二類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03811.htm?v=1.0,https://www.unews.com.tw/School/Department/28/797?t=2
應用科學系化學及奈米科學組,國立臺東大學應用科學系化學及奈米科學組(03812),14,2,第二類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03812.htm?v=1.0,https://www.unews.com.tw/School/Department/28/3531?t=2
應用科學系應用物理組,國立臺東大學應用科學系應用物理組(03813),14,2,第二類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03813.htm?v=1.0,https://www.unews.com.tw/School/Department/28/3531?t=2
資訊工程學系、資工,國立臺東大學資訊工程學系(03814),30,5,第二類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03814.htm?v=1.0,https://www.unews.com.tw/School/Department/28/798?t=2
綠色與資訊科技學士學位學程,國立臺東大學綠色與資訊科技學士學位學程(03815),10,1,第二類學群,6,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03815.htm?v=1.0,https://www.unews.com.tw/School/Department/28/802?t=2
身心整合與運動休閒產業學系,國立臺東大學身心整合與運動休閒產業學系(03816),2,無,第三類學群,2,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03816.htm?v=1.0,https://www.unews.com.tw/School/Department/28/801?t=2
生命科學系、生科,國立臺東大學生命科學系(03817),14,2,第三類學群,2,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03817.htm?v=1.0,https://www.unews.com.tw/School/Department/28/793?t=2
音樂學系,國立臺東大學音樂學系(03818),3,無,第四類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03818.htm?v=1.0,https://www.unews.com.tw/School/Department/28/789?t=2
美術產業學系,國立臺東大學美術產業學系(03819),5,無,第五類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03819.htm?v=1.0,https://www.unews.com.tw/School/Department/28/788?t=2
體育學系,國立臺東大學體育學系(03820),3,無,第七類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03820.htm?v=1.0,https://www.unews.com.tw/School/Department/28/782?t=2
