搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中文系、中國文學系,國立臺灣大學中國文學系(00101),6,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00101.htm?v=1.0,https://www.unews.com.tw/School/Department/3/87?t=2
外文系、外國語文學系、英文系、外語系,國立臺灣大學外國語文學系(00102),10,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00102.htm?v=1.0,https://www.unews.com.tw/School/Department/3/88?t=2
歷史學系、歷史系,國立臺灣大學歷史學系(00103),5,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00103.htm?v=1.0,https://www.unews.com.tw/School/Department/3/90?t=2
哲學系,國立臺灣大學哲學系(00104),4,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00104.htm?v=1.0,https://www.unews.com.tw/School/Department/3/92?t=2
人類學系,國立臺灣大學人類學系(00105),6,1,第一類學群,12,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00105.htm?v=1.0,https://www.unews.com.tw/School/Department/3/91?t=2
圖資系、圖書資訊系,國立臺灣大學圖書資訊學系(00106),6,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00106.htm?v=1.0,https://www.unews.com.tw/School/Department/3/101?t=2
日本語文學系、日文系、日語系,國立臺灣大學日本語文學系(00107),5,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00107.htm?v=1.0,https://www.unews.com.tw/School/Department/3/89?t=2
戲劇學系、戲劇系,國立臺灣大學戲劇學系(00108),4,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00108.htm?v=1.0,https://www.unews.com.tw/School/Department/3/86?t=2
地理環境資源學系、地理系,國立臺灣大學地理環境資源學系(00109),3,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00109.htm?v=1.0,https://www.unews.com.tw/School/Department/3/85?t=2
政治學系政治理論組、政治學系、政治系,國立臺灣大學政治學系政治理論組(00110),8,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00110.htm?v=1.0,https://www.unews.com.tw/School/Department/3/3502?t=2
政治學系國際關係組、政治學系、政治系,國立臺灣大學政治學系國際關係組(00111),8,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00111.htm?v=1.0,https://www.unews.com.tw/School/Department/3/3502?t=2
