搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
圖文傳播藝術學系,國立臺灣藝術大學圖文傳播藝術學系(05601),7,2,第一類學群,4,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05601.htm?v=1.0,https://www.unews.com.tw/School/Department/27/780?t=2
廣播電視學系,國立臺灣藝術大學廣播電視學系(05602),7,1,第一類學群,4,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05602.htm?v=1.0,https://www.unews.com.tw/School/Department/27/779?t=2
電影學系,國立臺灣藝術大學電影學系(05603),6,1,第一類學群,4,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05603.htm?v=1.0,https://www.unews.com.tw/School/Department/27/775?t=2
戲劇學系,國立臺灣藝術大學戲劇學系(05604),4,1,第一類學群,4,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05604.htm?v=1.0,https://www.unews.com.tw/School/Department/27/773?t=2
音樂學系,國立臺灣藝術大學音樂學系(05605),4,1,第四類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05605.htm?v=1.0,https://www.unews.com.tw/School/Department/27/771?t=2
美術學系,國立臺灣藝術大學美術學系(05606),5,無,第五類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05606.htm?v=1.0,https://www.unews.com.tw/School/Department/27/767?t=2
書畫藝術學系,國立臺灣藝術大學書畫藝術學系(05607),5,1,第五類學群,8,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05607.htm?v=1.0,https://www.unews.com.tw/School/Department/27/768?t=2
雕塑學系,國立臺灣藝術大學雕塑學系(05608),6,1,第五類學群,8,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05608.htm?v=1.0,https://www.unews.com.tw/School/Department/27/769?t=2
古蹟藝術修護學系,國立臺灣藝術大學古蹟藝術修護學系(05609),5,1,第五類學群,8,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05609.htm?v=1.0,https://www.unews.com.tw/School/Department/27/776?t=2
視覺傳達設計學系、視傳,國立臺灣藝術大學視覺傳達設計學系(05610),6,無,第五類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05610.htm?v=1.0,https://www.unews.com.tw/School/Department/27/778?t=2
工藝設計學系,國立臺灣藝術大學工藝設計學系(05611),5,無,第五類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05611.htm?v=1.0,https://www.unews.com.tw/School/Department/27/770?t=2
多媒體動畫藝術學系,國立臺灣藝術大學多媒體動畫藝術學系(05612),5,無,第五類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05612.htm?v=1.0,https://www.unews.com.tw/School/Department/27/777?t=2
亞太建築空間與文物保存學士學位學程,國立臺灣藝術大學亞太建築空間與文物保存學士學位學程(05613),3,1,第五類學群,8,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05613.htm?v=1.0,https://www.unews.com.tw/School/Department/27/3764?t=2
