搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
教育學系,國立臺北教育大學教育學系(03201),6,1,第一類學群,11,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03201.htm?v=1.0,https://www.unews.com.tw/School/Department/35/900?t=2
教育經營與管理學系,國立臺北教育大學教育經營與管理學系(03202),8,1,第一類學群,11,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03202.htm?v=1.0,https://www.unews.com.tw/School/Department/35/908?t=2
幼兒與家庭教育學系,國立臺北教育大學幼兒與家庭教育學系(03203),6,1,第一類學群,11,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03203.htm?v=1.0,https://www.unews.com.tw/School/Department/35/906?t=2
特殊教育學系,國立臺北教育大學特殊教育學系(03204),6,2,第一類學群,11,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03204.htm?v=1.0,https://www.unews.com.tw/School/Department/35/907?t=2
心理與諮商學系,國立臺北教育大學心理與諮商學系(03205),6,1,第一類學群,11,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03205.htm?v=1.0,https://www.unews.com.tw/School/Department/35/916?t=2
社會與區域發展學系,國立臺北教育大學社會與區域發展學系(03206),8,1,第一類學群,11,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03206.htm?v=1.0,https://www.unews.com.tw/School/Department/35/919?t=2
兒童英語教育學系、英文,國立臺北教育大學兒童英語教育學系(03207),6,1,第一類學群,11,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03207.htm?v=1.0,https://www.unews.com.tw/School/Department/35/904?t=2
語文與創作學系語文師資組,國立臺北教育大學語文與創作學系語文師資組(03208),6,1,第一類學群,11,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03208.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3495?t=2
語文與創作學系文學創作組,國立臺北教育大學語文與創作學系文學創作組(03209),7,無,第一類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03209.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3495?t=2
文化創意產業經營學系,國立臺北教育大學文化創意產業經營學系(03210),7,1,第一類學群,11,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03210.htm?v=1.0,https://www.unews.com.tw/School/Department/35/912?t=2
藝術與造形設計學系設計組,國立臺北教育大學藝術與造形設計學系設計組(03211),6,無,第一類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03211.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3494?t=2
數學暨資訊教育學系數學組,國立臺北教育大學數學暨資訊教育學系數學組(03212),9,1,第二類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03212.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3493?t=2
數學暨資訊教育學系人工智慧與資訊教育組,國立臺北教育大學數學暨資訊教育學系人工智慧與資訊教育組(03213),9,1,第二類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03213.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3493?t=2
自然科學教育學系,國立臺北教育大學自然科學教育學系(03214),8,1,第二類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03214.htm?v=1.0,https://www.unews.com.tw/School/Department/35/901?t=2
資訊科學系、資科,國立臺北教育大學資訊科學系(03215),6,無,第二類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03215.htm?v=1.0,https://www.unews.com.tw/School/Department/35/920?t=2
數位科技設計學系,國立臺北教育大學數位科技設計學系(03216),6,無,第二類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03216.htm?v=1.0,https://www.unews.com.tw/School/Department/35/915?t=2
藝術與造形設計學系藝術組,國立臺北教育大學藝術與造形設計學系藝術組(03217),7,1,第五類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03217.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3494?t=2
體育學系,國立臺北教育大學體育學系(03218),7,1,第七類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03218.htm?v=1.0,https://www.unews.com.tw/School/Department/35/905?t=2
