搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
西洋語文學系,國立高雄大學西洋語文學系(10101),10,2,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10101.htm?v=1.0,https://www.unews.com.tw/School/Department/17/527?t=2
運動健康與休閒學系,國立高雄大學運動健康與休閒學系(10102),8,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10102.htm?v=1.0,https://www.unews.com.tw/School/Department/17/549?t=2
東亞語文學系日語組、日文,國立高雄大學東亞語文學系日語組(10103),2,1,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10103.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3519?t=2
東亞語文學系韓語組,國立高雄大學東亞語文學系韓語組(10104),2,1,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10104.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3519?t=2
東亞語文學系越語組,國立高雄大學東亞語文學系越語組(10105),2,1,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10105.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3519?t=2
法律學系,國立高雄大學法律學系(10106),8,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10106.htm?v=1.0,https://www.unews.com.tw/School/Department/17/536?t=2
政治法律學系,國立高雄大學政治法律學系(10107),10,2,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10107.htm?v=1.0,https://www.unews.com.tw/School/Department/17/538?t=2
財經法律學系,國立高雄大學財經法律學系(10108),8,1,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10108.htm?v=1.0,https://www.unews.com.tw/School/Department/17/536?t=2
應用經濟學系,國立高雄大學應用經濟學系(10109),9,1,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10109.htm?v=1.0,https://www.unews.com.tw/School/Department/17/532?t=2
亞太工商管理學系企業管理組、企管,國立高雄大學亞太工商管理學系企業管理組(10110),10,1,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10110.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3520?t=2
資訊管理學系、資管,國立高雄大學資訊管理學系(10111),8,3,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10111.htm?v=1.0,https://www.unews.com.tw/School/Department/17/543?t=2
金融管理學系,國立高雄大學金融管理學系(10112),7,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10112.htm?v=1.0,https://www.unews.com.tw/School/Department/17/535?t=2
工藝與創意設計學系,國立高雄大學工藝與創意設計學系(10113),6,1,第一類學群,13,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10113.htm?v=1.0,https://www.unews.com.tw/School/Department/17/550?t=2
亞太工商管理學系工業管理組、工管,國立高雄大學亞太工商管理學系工業管理組(10114),10,1,第二類學群,10,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10114.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3520?t=2
應用數學系、應數,國立高雄大學應用數學系(10115),9,無,第二類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10115.htm?v=1.0,https://www.unews.com.tw/School/Department/17/542?t=2
應用化學系,國立高雄大學應用化學系(10116),8,無,第二類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10116.htm?v=1.0,https://www.unews.com.tw/School/Department/17/540?t=2
應用物理學系,國立高雄大學應用物理學系(10117),10,2,第二類學群,10,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10117.htm?v=1.0,https://www.unews.com.tw/School/Department/17/541?t=2
電機工程學系、電機,國立高雄大學電機工程學系(10118),20,5,第二類學群,10,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10118.htm?v=1.0,https://www.unews.com.tw/School/Department/17/544?t=2
土木與環境工程學系土木工程組、土木,國立高雄大學土木與環境工程學系土木工程組(10119),5,無,第二類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10119.htm?v=1.0,https://www.unews.com.tw/School/Department/17/546?t=2
土木與環境工程學系環境工程組、環工,國立高雄大學土木與環境工程學系環境工程組(10120),5,1,第二類學群,10,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10120.htm?v=1.0,https://www.unews.com.tw/School/Department/17/546?t=2
化學工程及材料工程學系、化工,國立高雄大學化學工程及材料工程學系(10121),11,1,第二類學群,10,6,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10121.htm?v=1.0,https://www.unews.com.tw/School/Department/17/547?t=2
