搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
教育學系,國立臺南大學教育學系(03301),12,2,第一類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03301.htm?v=1.0,https://www.unews.com.tw/School/Department/34/879?t=2
諮商與輔導學系,國立臺南大學諮商與輔導學系(03302),7,無,第一類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03302.htm?v=1.0,https://www.unews.com.tw/School/Department/34/889?t=2
特殊教育學系,國立臺南大學特殊教育學系(03303),6,1,第一類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03303.htm?v=1.0,https://www.unews.com.tw/School/Department/34/882?t=2
幼兒教育學系、幼教,國立臺南大學幼兒教育學系(03304),6,2,第一類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03304.htm?v=1.0,https://www.unews.com.tw/School/Department/34/881?t=2
文化與自然資源學系,國立臺南大學文化與自然資源學系(03305),6,1,第一類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03305.htm?v=1.0,https://www.unews.com.tw/School/Department/34/890?t=2
國語文學系,國立臺南大學國語文學系(03306),12,1,第一類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03306.htm?v=1.0,https://www.unews.com.tw/School/Department/34/887?t=2
英語學系、英文,國立臺南大學英語學系(03307),6,2,第一類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03307.htm?v=1.0,https://www.unews.com.tw/School/Department/34/888?t=2
戲劇創作與應用學系,國立臺南大學戲劇創作與應用學系(03308),7,1,第一類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03308.htm?v=1.0,https://www.unews.com.tw/School/Department/34/885?t=2
行政管理學系,國立臺南大學行政管理學系(03309),6,1,第一類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03309.htm?v=1.0,https://www.unews.com.tw/School/Department/34/891?t=2
經營與管理學系,國立臺南大學經營與管理學系(03310),7,2,第一類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03310.htm?v=1.0,https://www.unews.com.tw/School/Department/34/892?t=2
應用數學系、應數,國立臺南大學應用數學系(03311),9,2,第二類學群,6,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03311.htm?v=1.0,https://www.unews.com.tw/School/Department/34/895?t=2
數位學習科技學系,國立臺南大學數位學習科技學系(03312),6,1,第二類學群,6,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03312.htm?v=1.0,https://www.unews.com.tw/School/Department/34/883?t=2
材料科學系,國立臺南大學材料科學系(03313),11,1,第二類學群,6,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03313.htm?v=1.0,https://www.unews.com.tw/School/Department/34/898?t=2
資訊工程學系、資工,國立臺南大學資訊工程學系(03314),10,無,第二類學群,6,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03314.htm?v=1.0,https://www.unews.com.tw/School/Department/34/897?t=2
電機工程學系、電機,國立臺南大學電機工程學系(03315),12,3,第二類學群,6,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03315.htm?v=1.0,https://www.unews.com.tw/School/Department/34/896?t=2
綠色能源科技學系,國立臺南大學綠色能源科技學系(03316),8,無,第二類學群,6,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03316.htm?v=1.0,https://www.unews.com.tw/School/Department/34/899?t=2
生物科技學系,國立臺南大學生物科技學系(03317),11,1,第三類學群,2,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03317.htm?v=1.0,https://www.unews.com.tw/School/Department/34/894?t=2
生態暨環境資源學系,國立臺南大學生態暨環境資源學系(03318),6,2,第三類學群,2,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03318.htm?v=1.0,https://www.unews.com.tw/School/Info/34
體育學系,國立臺南大學體育學系(03319),5,2,第七類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03319.htm?v=1.0,https://www.unews.com.tw/School/Department/34/880?t=2
