搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
工業設計學系,國立聯合大學工業設計學系(15101),12,2,第一類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15101.htm?v=1.0,https://www.unews.com.tw/School/Department/30/821?t=2
經營管理學系,國立聯合大學經營管理學系(15102),30,5,第一類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15102.htm?v=1.0,https://www.unews.com.tw/School/Department/30/822?t=2
資訊管理學系、資管,國立聯合大學資訊管理學系(15103),13,4,第一類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15103.htm?v=1.0,https://www.unews.com.tw/School/Department/30/824?t=2
財務金融學系、財金,國立聯合大學財務金融學系(15104),9,無,第一類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15104.htm?v=1.0,https://www.unews.com.tw/School/Department/30/823?t=2
臺灣語文與傳播學系,國立聯合大學臺灣語文與傳播學系(15105),10,2,第一類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15105.htm?v=1.0,https://www.unews.com.tw/School/Department/30/818?t=2
華語文學系,國立聯合大學華語文學系(15106),11,2,第一類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15106.htm?v=1.0,https://www.unews.com.tw/School/Department/30/819?t=2
文化觀光產業學系,國立聯合大學文化觀光產業學系(15107),4,1,第一類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15107.htm?v=1.0,https://www.unews.com.tw/School/Department/30/836?t=2
文化創意與數位行銷學系,國立聯合大學文化創意與數位行銷學系(15108),12,2,第一類學群,8,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15108.htm?v=1.0,https://www.unews.com.tw/School/Department/30/820?t=2
機械工程學系、機械,國立聯合大學機械工程學系(15109),40,8,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15109.htm?v=1.0,https://www.unews.com.tw/School/Department/30/829?t=2
化學工程學系、化工,國立聯合大學化學工程學系(15110),24,5,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15110.htm?v=1.0,https://www.unews.com.tw/School/Department/30/831?t=2
土木與防災工程學系,國立聯合大學土木與防災工程學系(15111),9,2,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15111.htm?v=1.0,https://www.unews.com.tw/School/Department/30/830?t=2
材料科學工程學系,國立聯合大學材料科學工程學系(15112),15,2,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15112.htm?v=1.0,https://www.unews.com.tw/School/Department/30/832?t=2
環境與安全衛生工程學系,國立聯合大學環境與安全衛生工程學系(15113),11,5,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15113.htm?v=1.0,https://www.unews.com.tw/School/Department/30/833?t=2
能源工程學系,國立聯合大學能源工程學系(15114),5,2,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15114.htm?v=1.0,https://www.unews.com.tw/School/Department/30/834?t=2
建築學系,國立聯合大學建築學系(15115),12,1,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15115.htm?v=1.0,https://www.unews.com.tw/School/Department/30/835?t=2
電機工程學系、電機,國立聯合大學電機工程學系(15116),29,1,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15116.htm?v=1.0,https://www.unews.com.tw/School/Department/30/825?t=2
電子工程學系,國立聯合大學電子工程學系(15117),24,9,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15117.htm?v=1.0,https://www.unews.com.tw/School/Department/30/826?t=2
光電工程學系,國立聯合大學光電工程學系(15118),11,2,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15118.htm?v=1.0,https://www.unews.com.tw/School/Department/30/827?t=2
資訊工程學系、資工,國立聯合大學資訊工程學系(15119),6,2,第二類學群,11,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_15119.htm?v=1.0,https://www.unews.com.tw/School/Department/30/828?t=2
