搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
哲學系,中國文化大學哲學系(01701),7,2,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01701.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1350?t=2
中國文學系中國文學組、中文,中國文化大學中國文學系中國文學組(01702),8,2,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01702.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3557?t=2
中國文學系文藝創作組、中文,中國文化大學中國文學系文藝創作組(01703),7,1,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01703.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3557?t=2
史學系,中國文化大學史學系(01704),7,2,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01704.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1349?t=2
日本語文學系,中國文化大學日本語文學系(01705),16,2,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01705.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1346?t=2
韓國語文學系,中國文化大學韓國語文學系(01706),18,無,第一類學群,35,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01706.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1348?t=2
俄國語文學系,中國文化大學俄國語文學系(01707),7,1,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01707.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1347?t=2
英國語文學系,中國文化大學英國語文學系(01708),8,無,第一類學群,35,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01708.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1343?t=2
法國語文學系,中國文化大學法國語文學系(01709),8,1,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01709.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1344?t=2
全球商務學士學位學程,中國文化大學全球商務學士學位學程(01710),8,1,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01710.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1364?t=2
法律學系法學組,中國文化大學法律學系法學組(01711),18,無,第一類學群,35,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01711.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3473?t=2
法律學系財經法律組,中國文化大學法律學系財經法律組(01712),18,無,第一類學群,35,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01712.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3473?t=2
法律學系企業金融法制組,中國文化大學法律學系企業金融法制組(01713),7,無,第一類學群,35,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01713.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3473?t=2
政治學系,中國文化大學政治學系(01714),8,1,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01714.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1352?t=2
經濟學系,中國文化大學經濟學系(01715),18,1,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01715.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1351?t=2
勞動暨人力資源學系,中國文化大學勞動暨人力資源學系(01716),9,2,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01716.htm?v=1.0,https://www.unews.com.tw/School/Info/54
社會福利學系,中國文化大學社會福利學系(01717),16,2,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01717.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1400?t=2
行政管理學系,中國文化大學行政管理學系(01718),9,無,第一類學群,35,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01718.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1357?t=2
生活應用科學系,中國文化大學生活應用科學系(01719),8,1,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01719.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1404?t=2
國際貿易學系,中國文化大學國際貿易學系(01720),18,5,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01720.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1367?t=2
國際企業管理學系、企管,中國文化大學國際企業管理學系(01721),24,2,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01721.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1366?t=2
會計學系、會計,中國文化大學會計學系(01722),19,6,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01722.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1365?t=2
觀光事業學系,中國文化大學觀光事業學系(01723),16,2,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01723.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1401?t=2
資訊管理學系、資管,中國文化大學資訊管理學系(智慧商務科技組)(01724),11,3,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01724.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1377?t=2
資訊管理學系、資管,中國文化大學資訊管理學系(雲端服務暨巨量資料組)(01725),10,2,第一類學群,35,24,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01725.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1377?t=2
財務金融學系金融行銷組、財金,中國文化大學財務金融學系金融行銷組(01726),9,無,第一類學群,35,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01726.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3558?t=2
