搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
英國語文學系,靜宜大學英國語文學系(01801),10,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01801.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1451?t=2
西班牙語文學系,靜宜大學西班牙語文學系(01802),20,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01802.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1452?t=2
日本語文學系,靜宜大學日本語文學系(01803),18,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01803.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1453?t=2
中國文學系、中文,靜宜大學中國文學系(01804),13,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01804.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1450?t=2
社會工作與兒童少年福利學系、社工,靜宜大學社會工作與兒童少年福利學系(01805),16,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01805.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1473?t=2
台灣文學系,靜宜大學台灣文學系(01806),9,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01806.htm?v=1.0,https://www.unews.com.tw/School/Info/56
法律學系,靜宜大學法律學系(01807),18,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01807.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1462?t=2
生態人文學系,靜宜大學生態人文學系(01808),3,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01808.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1463?t=2
大眾傳播學系、大傳,靜宜大學大眾傳播學系(01809),13,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01809.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1455?t=2
企業管理學系、企管,靜宜大學企業管理學系(01810),20,1,第一類學群,17,17,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01810.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1459?t=2
