搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系、中文,東吳大學中國文學系(00501),20,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00501.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1215?t=2
歷史學系,東吳大學歷史學系(00502),20,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00502.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1218?t=2
哲學系,東吳大學哲學系(00503),10,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00503.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1219?t=2
政治學系,東吳大學政治學系(00504),18,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00504.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1221?t=2
社會學系,東吳大學社會學系(00505),15,3,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00505.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1222?t=2
社會工作學系、社工,東吳大學社會工作學系(00506),20,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00506.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1237?t=2
英文學系,東吳大學英文學系(00507),42,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00507.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1216?t=2
日本語文學系,東吳大學日本語文學系(00508),30,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00508.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1217?t=2
德國文化學系,東吳大學德國文化學系(00509),20,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00509.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1232?t=2
法律學系,東吳大學法律學系(00510),40,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00510.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1229?t=2
經濟學系,東吳大學經濟學系(00511),25,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00511.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1220?t=2
會計學系、會計,東吳大學會計學系(00512),20,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00512.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1225?t=2
企業管理學系、企管,東吳大學企業管理學系(00513),60,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00513.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1226?t=2
國際經營與貿易學系,東吳大學國際經營與貿易學系(00514),15,3,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00514.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1227?t=2
財務工程與精算數學系,東吳大學財務工程與精算數學系(00515),9,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00515.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1234?t=2
資訊管理學系、資管,東吳大學資訊管理學系(00516),22,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00516.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1236?t=2
資料科學系,東吳大學資料科學系(00517),13,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00517.htm?v=1.0,https://www.unews.com.tw/School/Info/51
數學系,東吳大學數學系(00518),22,2,第二類學群,3,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00518.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1234?t=2
物理學系,東吳大學物理學系(00519),17,無,第二類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00519.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1233?t=2
化學系,東吳大學化學系(00520),24,2,第二類學群,3,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00520.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1232?t=2
微生物學系,東吳大學微生物學系(00521),14,2,第三類學群,2,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00521.htm?v=1.0,https://www.unews.com.tw/School/Department/51/3546?t=2
心理學系,東吳大學心理學系(00522),15,無,第三類學群,2,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00522.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1223?t=2
