搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
新聞學系,世新大學新聞學系(04701),20,5,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04701.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1679?t=2
廣播電視電影學系廣播組,世新大學廣播電視電影學系廣播組(04702),20,5,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04702.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3566?t=2
廣播電視電影學系電視組,世新大學廣播電視電影學系電視組(04703),27,16,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04703.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3566?t=2
廣播電視電影學系電影組,世新大學廣播電視電影學系電影組(04704),20,5,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04704.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3566?t=2
圖文傳播學系,世新大學圖文傳播學系(04705),24,8,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04705.htm?v=1.0,https://www.unews.com.tw/School/Info/63
公共關係暨廣告學系,世新大學公共關係暨廣告學系(04706),34,8,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04706.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1683?t=2
口語傳播暨社群媒體學系,世新大學口語傳播暨社群媒體學系(04707),14,5,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04707.htm?v=1.0,https://www.unews.com.tw/School/Info/63
資訊傳播學系,世新大學資訊傳播學系(04708),15,1,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04708.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1677?t=2
數位多媒體設計學系動畫設計組,世新大學數位多媒體設計學系動畫設計組(04709),12,2,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04709.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3565?t=2
數位多媒體設計學系遊戲設計組,世新大學數位多媒體設計學系遊戲設計組(04710),4,1,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04710.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3565?t=2
傳播管理學系,世新大學傳播管理學系(04711),28,15,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04711.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1687?t=2
資訊管理學系資訊管理組、資管,世新大學資訊管理學系資訊管理組(04712),8,2,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04712.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3567?t=2
資訊管理學系資訊科技組、資管,世新大學資訊管理學系資訊科技組(04713),4,1,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04713.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3567?t=2
資訊管理學系智慧網路應用組、資管,世新大學資訊管理學系智慧網路應用組(04714),4,1,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04714.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3567?t=2
財務金融學系、財金,世新大學財務金融學系(04715),9,3,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04715.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1686?t=2
行政管理學系,世新大學行政管理學系(04716),7,2,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04716.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1676?t=2
觀光學系餐旅經營管理組,世新大學觀光學系餐旅經營管理組(04717),3,1,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04717.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3568?t=2
觀光學系旅遊暨休閒事業管理組,世新大學觀光學系旅遊暨休閒事業管理組(04718),3,1,第一類學群,26,26,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04718.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3568?t=2
