搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
傳播學系,慈濟大學傳播學系(10801),3,1,第一類學群,8,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10801.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2005?t=2
兒童發展與家庭教育學系,慈濟大學兒童發展與家庭教育學系(10802),1,1,第一類學群,8,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10802.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2000?t=2
社會工作學系、社工,慈濟大學社會工作學系(10803),3,1,第一類學群,8,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10803.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2014?t=2
人類發展與心理學系,慈濟大學人類發展與心理學系(10804),3,無,第一類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10804.htm?v=1.0,https://www.unews.com.tw/School/Info/75
東方語文學系中文組,慈濟大學東方語文學系中文組(10805),1,無,第一類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10805.htm?v=1.0,https://www.unews.com.tw/School/Department/75/3581?t=2
東方語文學系日文組,慈濟大學東方語文學系日文組(10806),2,無,第一類學群,8,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10806.htm?v=1.0,https://www.unews.com.tw/School/Department/75/3581?t=2
外國語文學系、外文,慈濟大學外國語文學系(10807),1,1,第一類學群,8,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10807.htm?v=1.0,https://www.unews.com.tw/School/Info/75
國際服務產業管理學士學位學程,慈濟大學國際服務產業管理學士學位學程(10808),3,1,第一類學群,8,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10808.htm?v=1.0,https://www.unews.com.tw/School/Department/75/3481?t=2
醫學資訊學系,慈濟大學醫學資訊學系(10809),6,1,第二類學群,2,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10809.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2013?t=2
生物醫學暨工程學系、生醫,慈濟大學生物醫學暨工程學系(10810),5,1,第二類學群,2,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10810.htm?v=1.0,https://www.unews.com.tw/School/Department/75/3777?t=2
醫學檢驗生物技術學系,慈濟大學醫學檢驗生物技術學系(10811),12,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10811.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2012?t=2
公共衛生學系、公衛,慈濟大學公共衛生學系(10812),3,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10812.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2009?t=2
護理學系,慈濟大學護理學系(10813),19,4,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10813.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2011?t=2
物理治療學系,慈濟大學物理治療學系(10814),9,2,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10814.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2010?t=2
分子生物暨人類遺傳學系,慈濟大學分子生物暨人類遺傳學系(10815),3,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10815.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2007?t=2
醫學系,慈濟大學醫學系(10816),7,無,第八類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10816.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2008?t=2
