搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系、中文,東海大學中國文學系(00901),12,2,第一類學群,23,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00901.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1109?t=2
外國語文學系、外文,東海大學外國語文學系(00902),10,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00902.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1110?t=2
歷史學系,東海大學歷史學系(00903),7,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00903.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1112?t=2
日本語言文化學系,東海大學日本語言文化學系(00904),13,1,第一類學群,23,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00904.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3541?t=2
哲學系,東海大學哲學系(00905),3,1,第一類學群,23,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00905.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1113?t=2
工業工程與經營資訊學系、工工,東海大學工業工程與經營資訊學系(智慧經營與管理A組)(00906),4,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00906.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1147?t=2
企業管理學系、企管,東海大學企業管理學系(00907),28,3,第一類學群,23,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00907.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3539?t=2
國際經營與貿易學系,東海大學國際經營與貿易學系(00908),17,2,第一類學群,23,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00908.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1126?t=2
會計學系、會計,東海大學會計學系(00909),17,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00909.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1121?t=2
財務金融學系、財金,東海大學財務金融學系(00910),18,1,第一類學群,23,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00910.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1127?t=2
統計學系,東海大學統計學系(決策管理組)(00911),10,1,第一類學群,23,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00911.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1137?t=2
資訊管理學系、資管,東海大學資訊管理學系(00912),10,1,第一類學群,23,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00912.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1140?t=2
經濟學系一般經濟組,東海大學經濟學系一般經濟組(00913),13,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00913.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3537?t=2
