搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學學系、中文,淡江大學中國文學學系(01401),4,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01401.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1280?t=2
歷史學系,淡江大學歷史學系(01402),1,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01402.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1288?t=2
資訊與圖書館學系,淡江大學資訊與圖書館學系(01403),5,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01403.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1296?t=2
大眾傳播學系、大傳,淡江大學大眾傳播學系(01404),18,1,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01404.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1294?t=2
資訊傳播學系,淡江大學資訊傳播學系(01405),5,1,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01405.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1295?t=2
教育科技學系,淡江大學教育科技學系(01406),5,5,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01406.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1279?t=2
教育與未來設計學系,淡江大學教育與未來設計學系(01407),4,1,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01407.htm?v=1.0,https://www.unews.com.tw/School/Department/53/3696?t=2
英文學系,淡江大學英文學系(01408),25,3,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01408.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1281?t=2
英文學系全英語學士班、英文,淡江大學英文學系全英語學士班(01409),5,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01409.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1281?t=2
法國語文學系,淡江大學法國語文學系(01410),5,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01410.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1282?t=2
德國語文學系,淡江大學德國語文學系(01411),5,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01411.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1283?t=2
西班牙語文學系,淡江大學西班牙語文學系(01412),7,3,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01412.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1284?t=2
日本語文學系,淡江大學日本語文學系(01413),27,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01413.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1285?t=2
俄國語文學系,淡江大學俄國語文學系(01414),3,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01414.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1286?t=2
財務金融學系、財金,淡江大學財務金融學系(01415),40,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01415.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1302?t=2
財務金融學系全球財務管理全英語學士班、財金,淡江大學財務金融學系全球財務管理全英語學士班(01416),5,1,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01416.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1302?t=2
產業經濟學系,淡江大學產業經濟學系(01417),9,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01417.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1290?t=2
國際企業學系經貿管理組、國企,淡江大學國際企業學系經貿管理組(01418),40,3,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01418.htm?v=1.0,https://www.unews.com.tw/School/Department/53/3549?t=2
風險管理與保險學系,淡江大學風險管理與保險學系(01419),10,5,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01419.htm?v=1.0,https://www.unews.com.tw/School/Info/53
經濟學系,淡江大學經濟學系(01420),26,8,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01420.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1289?t=2
會計學系、會計,淡江大學會計學系(01421),42,2,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01421.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1297?t=2
企業管理學系、企管,淡江大學企業管理學系(01422),45,6,第一類學群,29,28,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01422.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1298?t=2
統計學系,淡江大學統計學系(01423),20,無,第一類學群,29,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01423.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1312?t=2
