搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
大學醫務管理學系,臺北醫學大學醫務管理學系(10901),10,3,第一類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10901.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2015?t=2
大學藥學系藥學組,臺北醫學大學藥學系藥學組(10902),16,1,第三類學群,7,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10902.htm?v=1.0,https://www.unews.com.tw/School/Department/76/3582?t=2
大學藥學系藥學組、英文,臺北醫學大學藥學系藥學組(英語組)(10903),4,無,第三類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10903.htm?v=1.0,https://www.unews.com.tw/School/Department/76/3582?t=2
大學藥學系臨床藥學組,臺北醫學大學藥學系臨床藥學組(10904),9,無,第三類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10904.htm?v=1.0,https://www.unews.com.tw/School/Department/76/3582?t=2
大學醫學檢驗暨生物技術學系、醫檢,臺北醫學大學醫學檢驗暨生物技術學系(10905),10,無,第三類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10905.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2024?t=2
大學護理學系,臺北醫學大學護理學系(10906),7,無,第三類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10906.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2022?t=2
大學保健營養學系,臺北醫學大學保健營養學系(10907),7,1,第三類學群,7,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10907.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2021?t=2
大學公共衛生學系、公衛,臺北醫學大學公共衛生學系(10908),9,1,第三類學群,7,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10908.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2018?t=2
大學呼吸治療學系,臺北醫學大學呼吸治療學系(10909),7,1,第三類學群,7,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10909.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2023?t=2
大學高齡健康暨長期照護學系,臺北醫學大學高齡健康暨長期照護學系(10910),10,無,第三類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10910.htm?v=1.0,https://www.unews.com.tw/School/Info/76
大學牙體技術學系,臺北醫學大學牙體技術學系(10911),7,1,第三類學群,7,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10911.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2026?t=2
大學口腔衛生學系,臺北醫學大學口腔衛生學系(10912),6,2,第三類學群,7,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10912.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2027?t=2
大學生物醫學工程學系、生醫,臺北醫學大學生物醫學工程學系(10913),7,1,第三類學群,7,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10913.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2016?t=2
大學食品安全學系,臺北醫學大學食品安全學系(10914),6,1,第三類學群,7,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10914.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2029?t=2
大學醫學系,臺北醫學大學醫學系(10915),31,無,第八類學群,2,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10915.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2017?t=2
大學牙醫學系,臺北醫學大學牙醫學系(10916),7,無,第八類學群,2,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_10916.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2017?t=2
