搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
傳統音樂學系南管樂,國立臺北藝術大學傳統音樂學系南管樂(02801),1,無,第一類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02801.htm?v=1.0,https://www.unews.com.tw/School/Department/26/757?t=2
傳統音樂學系北管樂,國立臺北藝術大學傳統音樂學系北管樂(02802),1,無,第一類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02802.htm?v=1.0,https://www.unews.com.tw/School/Department/26/757?t=2
傳統音樂學系音樂理論,國立臺北藝術大學傳統音樂學系音樂理論(02803),1,無,第一類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02803.htm?v=1.0,https://www.unews.com.tw/School/Department/26/757?t=2
美術學系藝術理論與視覺研究組,國立臺北藝術大學美術學系藝術理論與視覺研究組(02804),2,無,第一類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02804.htm?v=1.0,https://www.unews.com.tw/School/Department/26/755?t=2
戲劇學系,國立臺北藝術大學戲劇學系(02805),4,無,第一類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02805.htm?v=1.0,https://www.unews.com.tw/School/Department/26/761?t=2
電影創作學系,國立臺北藝術大學電影創作學系(02806),4,1,第一類學群,3,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02806.htm?v=1.0,https://www.unews.com.tw/School/Department/26/764?t=2
劇場設計學系,國立臺北藝術大學劇場設計學系(02807),2,無,第二類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02807.htm?v=1.0,https://www.unews.com.tw/School/Department/26/762?t=2
新媒體藝術學系,國立臺北藝術大學新媒體藝術學系(02808),3,無,第二類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02808.htm?v=1.0,https://www.unews.com.tw/School/Department/26/766?t=2
音樂學系,國立臺北藝術大學音樂學系(02809),4,無,第四類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02809.htm?v=1.0,https://www.unews.com.tw/School/Department/26/756?t=2
音樂與影像跨域學士學位學程,國立臺北藝術大學音樂與影像跨域學士學位學程(02810),2,無,第四類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02810.htm?v=1.0,https://www.unews.com.tw/School/Department/26/3702?t=2
美術學系創作組,國立臺北藝術大學美術學系創作組(02811),4,無,第五類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02811.htm?v=1.0,https://www.unews.com.tw/School/Department/26/755?t=2
動畫學系,國立臺北藝術大學動畫學系(02812),3,無,第五類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02812.htm?v=1.0,https://www.unews.com.tw/School/Department/26/765?t=2
