搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
事業經營學系,大同大學事業經營學系(01901),13,1,第一類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01901.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1881?t=2
資訊經營學系,大同大學資訊經營學系(01902),8,1,第一類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01902.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1880?t=2
媒體設計學系互動媒體設計組,大同大學媒體設計學系互動媒體設計組(01903),8,1,第一類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01903.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3575?t=2
媒體設計學系數位遊戲設計組,大同大學媒體設計學系數位遊戲設計組(01904),8,1,第一類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01904.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3575?t=2
應用外語學系、應外,大同大學應用外語學系(01905),8,1,第一類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01905.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1876?t=2
機械與材料工程學系、材料,大同大學機械與材料工程學系(01906),14,1,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01906.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3700?t=2
電機工程學系、電機,大同大學電機工程學系(01907),18,1,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01907.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1882?t=2
工業設計學系,大同大學工業設計學系(01908),13,1,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01908.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1879?t=2
資訊工程學系、資工,大同大學資訊工程學系(01909),18,1,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01909.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1885?t=2
工程學院學士班,大同大學工程學院學士班(01910),8,1,第二類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01910.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3622?t=2
化學工程與生物科技學系、化工,大同大學化學工程與生物科技學系(01911),13,1,第三類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01911.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3426?t=2
