搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
社會工作學系、社工,實踐大學社會工作學系(臺北校區)(05001),27,5,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05001.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1767?t=2
家庭研究與兒童發展學系,實踐大學家庭研究與兒童發展學系(臺北校區)(05002),7,2,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05002.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1768?t=2
餐飲管理學系廚藝組,實踐大學餐飲管理學系廚藝組(臺北校區)(05003),5,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05003.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1769?t=2
餐飲管理學系餐旅組,實踐大學餐飲管理學系餐旅組(臺北校區)(05004),5,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05004.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1769?t=2
法律學系,實踐大學法律學系(臺北校區)(05005),12,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05005.htm?v=1.0,https://www.unews.com.tw/School/Info/65
服裝設計學系,實踐大學服裝設計學系(臺北校區)(05006),4,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05006.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1772?t=2
媒體傳達設計學系數位3D動畫設計組,實踐大學媒體傳達設計學系數位3D動畫設計組(臺北校區)(05007),3,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05007.htm?v=1.0,https://www.unews.com.tw/School/Department/65/3569?t=2
媒體傳達設計學系創意媒體設計組,實踐大學媒體傳達設計學系創意媒體設計組(臺北校區)(05008),3,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05008.htm?v=1.0,https://www.unews.com.tw/School/Department/65/3569?t=2
工業產品設計學系、工設,實踐大學工業產品設計學系(臺北校區)(05009),6,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05009.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1749?t=2
建築設計學系,實踐大學建築設計學系(臺北校區)(05010),7,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05010.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1765?t=2
會計學系、會計,實踐大學會計學系(臺北校區)(05011),19,3,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05011.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1750?t=2
國際經營與貿易學系,實踐大學國際經營與貿易學系(臺北校區)(05012),22,4,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05012.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1756?t=2
企業管理學系、企管,實踐大學企業管理學系(臺北校區)(05013),19,4,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05013.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1752?t=2
財務金融學系、財金,實踐大學財務金融學系(臺北校區)(05014),16,4,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05014.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1757?t=2
風險管理與保險學系,實踐大學風險管理與保險學系(臺北校區)(05015),16,4,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05015.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1759?t=2
應用外語學系、應外,實踐大學應用外語學系(臺北校區)(05016),14,2,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05016.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1743?t=2
應用外語學系數位應用組、應外,實踐大學應用外語學系數位應用組(臺北校區)(05017),2,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05017.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1743?t=2
資訊科技與管理學系,實踐大學資訊科技與管理學系(臺北校區)(05018),16,3,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05018.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1761?t=2
國際企業英語學士學位學程、國企,實踐大學國際企業英語學士學位學程(臺北校區)(05019),4,2,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05019.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1754?t=2
智慧服務管理英語學士學位學程、英文,實踐大學智慧服務管理英語學士學位學程(臺北校區)(05020),3,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05020.htm?v=1.0,https://www.unews.com.tw/School/Department/65/3625?t=2
東南亞智慧商務學士學位學程語言文化組,實踐大學東南亞智慧商務學士學位學程語言文化組(高雄校區)(05021),2,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05021.htm?v=1.0,https://www.unews.com.tw/School/Info/65
東南亞智慧商務學士學位學程流通管理組,實踐大學東南亞智慧商務學士學位學程流通管理組(高雄校區)(05022),3,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05022.htm?v=1.0,https://www.unews.com.tw/School/Info/65
行銷管理學系電商百貨管理組,實踐大學行銷管理學系電商百貨管理組(高雄校區)(05023),1,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05023.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1760?t=2
會計暨稅務學系經濟犯罪暨洗錢防制組,實踐大學會計暨稅務學系經濟犯罪暨洗錢防制組(高雄校區)(05024),1,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05024.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1751?t=2
會計暨稅務學系財務金融組、財金,實踐大學會計暨稅務學系財務金融組(高雄校區)(05025),1,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05025.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1751?t=2
會計暨稅務學系財富管理組,實踐大學會計暨稅務學系財富管理組(高雄校區)(05026),1,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05026.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1751?t=2
國際企業管理學系日韓商務行銷組、企管,實踐大學國際企業管理學系日韓商務行銷組(高雄校區)(05027),2,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05027.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1753?t=2
國際企業管理學系兩岸工商管理組、企管,實踐大學國際企業管理學系兩岸工商管理組(高雄校區)(05028),2,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05028.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1753?t=2
國際企業管理學系德國商務與投資組、企管,實踐大學國際企業管理學系德國商務與投資組(高雄校區)(05029),2,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05029.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1753?t=2
金融管理學系金融實務組,實踐大學金融管理學系金融實務組(高雄校區)(05030),8,2,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05030.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1758?t=2
資訊管理學系資訊安全管理組、資管,實踐大學資訊管理學系資訊安全管理組(高雄校區)(05031),3,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05031.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1762?t=2
資訊模擬與設計學系數位3D動畫設計組,實踐大學資訊模擬與設計學系數位3D動畫設計組(高雄校區)(05032),2,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05032.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1763?t=2
電腦動畫學士學位學程3D組,實踐大學電腦動畫學士學位學程3D組(高雄校區)(05033),1,無,第一類學群,37,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05033.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1774?t=2
服飾設計與經營學系,實踐大學服飾設計與經營學系(高雄校區)(05034),3,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05034.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1773?t=2
時尚設計學系,實踐大學時尚設計學系(高雄校區)(05035),5,2,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05035.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1746?t=2
休閒產業管理學系休閒文創暨精品咖啡經營組,實踐大學休閒產業管理學系休閒文創暨精品咖啡經營組(高雄校區)(05036),1,1,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05036.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1771?t=2
應用日文學系,實踐大學應用日文學系(高雄校區)(05037),5,3,第一類學群,37,27,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05037.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1745?t=2
東南亞智慧商務學士學位學程雲端商務組,實踐大學東南亞智慧商務學士學位學程雲端商務組(高雄校區)(05038),3,1,第二類學群,12,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05038.htm?v=1.0,https://www.unews.com.tw/School/Info/65
行銷管理學系數位行銷與市調組,實踐大學行銷管理學系數位行銷與市調組(高雄校區)(05039),1,無,第二類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05039.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1760?t=2
會計暨稅務學系會計AI組,實踐大學會計暨稅務學系會計AI組(高雄校區)(05040),2,1,第二類學群,12,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05040.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1751?t=2
國際企業管理學系外匯數位金融組、企管,實踐大學國際企業管理學系外匯數位金融組(高雄校區)(05041),3,無,第二類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05041.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1753?t=2
金融管理學系投資策略組,實踐大學金融管理學系投資策略組(高雄校區)(05042),8,1,第二類學群,12,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05042.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1758?t=2
資訊管理學系物聯網應用組、資管,實踐大學資訊管理學系物聯網應用組(高雄校區)(05043),4,1,第二類學群,12,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05043.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1762?t=2
資訊科技與通訊學系人工智慧與大數據組,實踐大學資訊科技與通訊學系人工智慧與大數據組(高雄校區)(05044),4,1,第二類學群,12,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05044.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1764?t=2
資訊科技與通訊學系機器人與無人機應用組,實踐大學資訊科技與通訊學系機器人與無人機應用組(高雄校區)(05045),2,1,第二類學群,12,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05045.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1764?t=2
資訊模擬與設計學系互動遊戲設計組,實踐大學資訊模擬與設計學系互動遊戲設計組(高雄校區)(05046),3,3,第二類學群,12,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05046.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1763?t=2
資訊模擬與設計學系AR/VR體感科技組,實踐大學資訊模擬與設計學系AR/VR體感科技組(高雄校區)(05047),1,無,第二類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05047.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1763?t=2
服飾設計與經營學系數位設計應用組,實踐大學服飾設計與經營學系數位設計應用組(高雄校區)(05048),3,2,第二類學群,12,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05048.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1773?t=2
觀光管理學系運動觀光暨自然旅遊組,實踐大學觀光管理學系運動觀光暨自然旅遊組(高雄校區)(05049),2,3,第二類學群,12,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05049.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1770?t=2
食品營養與保健生技學系,實踐大學食品營養與保健生技學系(臺北校區)(05050),22,4,第三類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05050.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1766?t=2
音樂學系,實踐大學音樂學系(臺北校區)(05051),2,2,第四類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05051.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1741?t=2
資訊模擬與設計學系遊戲美術設計組,實踐大學資訊模擬與設計學系遊戲美術設計組(高雄校區)(05052),2,無,第五類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05052.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1763?t=2
電腦動畫學士學位學程2D組,實踐大學電腦動畫學士學位學程2D組(高雄校區)(05053),3,1,第五類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05053.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1774?t=2
電腦動畫學士學位學程2D3D通修組,實踐大學電腦動畫學士學位學程2D3D通修組(高雄校區)(05054),2,無,第五類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05054.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1774?t=2
服飾設計與經營學系美術組,實踐大學服飾設計與經營學系美術組(高雄校區)(05055),2,1,第五類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05055.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1773?t=2
時尚設計學系藝術創作組,實踐大學時尚設計學系藝術創作組(高雄校區)(05056),2,1,第五類學群,5,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05056.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1746?t=2
時尚設計學系舞蹈組,實踐大學時尚設計學系舞蹈組(高雄校區)(05057),2,1,第六類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05057.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1746?t=2
休閒產業管理學系遊憩運動企劃組,實踐大學休閒產業管理學系遊憩運動企劃組(高雄校區)(05058),1,1,第七類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05058.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1771?t=2
