搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
教育學系,臺北市立大學教育學系(03501),12,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03501.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3274?t=2
特殊教育學系,臺北市立大學特殊教育學系(03502),9,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03502.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3278?t=2
幼兒教育學系、幼教,臺北市立大學幼兒教育學系(03503),18,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03503.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3277?t=2
心理與諮商學系,臺北市立大學心理與諮商學系(03504),15,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03504.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3285?t=2
學習與媒材設計學系,臺北市立大學學習與媒材設計學系(03505),8,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03505.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3279?t=2
中國語文學系,臺北市立大學中國語文學系(03506),10,6,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03506.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3283?t=2
英語教學系、英文,臺北市立大學英語教學系(03507),6,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03507.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3275?t=2
社會暨公共事務學系,臺北市立大學社會暨公共事務學系(03508),6,2,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03508.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3286?t=2
歷史與地理學系,臺北市立大學歷史與地理學系(03509),23,3,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03509.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3284?t=2
城市發展學系,臺北市立大學城市發展學系(03510),8,無,第一類學群,12,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03510.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3292?t=2
都會產業經營與行銷學系,臺北市立大學都會產業經營與行銷學系(03511),9,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03511.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3287?t=2
視覺藝術學系,臺北市立大學視覺藝術學系(03512),8,1,第一類學群,12,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03512.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3282?t=2
地球環境暨生物資源學系,臺北市立大學地球環境暨生物資源學系(03513),10,2,第二類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03513.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3289?t=2
應用物理暨化學系電子物理組,臺北市立大學應用物理暨化學系電子物理組(03514),3,2,第二類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03514.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3288?t=2
應用物理暨化學系應用化學組,臺北市立大學應用物理暨化學系應用化學組(03515),3,2,第二類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03515.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3288?t=2
數學系,臺北市立大學數學系(03516),7,5,第二類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03516.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3290?t=2
資訊科學系、資科,臺北市立大學資訊科學系(03517),7,1,第二類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03517.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3291?t=2
休閒運動管理學系,臺北市立大學休閒運動管理學系(03518),6,2,第二類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03518.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3299?t=2
運動健康科學系,臺北市立大學運動健康科學系(03519),13,2,第二類學群,7,7,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03519.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3298?t=2
衛生福利學系,臺北市立大學衛生福利學系(03520),6,1,第三類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03520.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3293?t=2
