搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
管理學院學士班,元智大學管理學院學士班(主修：數位行銷與人力資源)(04001),15,5,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04001.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504?t=2
管理學院學士班、財金,元智大學管理學院學士班(主修：財務金融)(04002),15,5,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04002.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504?t=2
管理學院學士班、企管,元智大學管理學院學士班(主修：國際企業管理)(04003),15,5,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04003.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504?t=2
管理學院學士班,元智大學管理學院學士班(主修：會計)(04004),9,5,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04004.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504?t=2
管理學院學士班、英文,元智大學管理學院學士班(英語專班)(04005),7,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04005.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504?t=2
應用外語學系、應外,元智大學應用外語學系(04006),6,1,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04006.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1499?t=2
中國語文學系,元智大學中國語文學系(04007),8,2,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04007.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1498?t=2
社會暨政策科學學系,元智大學社會暨政策科學學系(04008),8,2,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04008.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1500?t=2
藝術與設計學系,元智大學藝術與設計學系(04009),7,2,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04009.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1497?t=2
人文社會學院英語學士班、人社,元智大學人文社會學院英語學士班(04010),4,無,第一類學群,13,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04010.htm?v=1.0,https://www.unews.com.tw/School/Info/58
資訊管理學系、資管,元智大學資訊管理學系(04011),19,2,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04011.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1505?t=2
資訊傳播學系科技組,元智大學資訊傳播學系科技組(04012),8,2,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04012.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1501?t=2
資訊傳播學系設計組,元智大學資訊傳播學系設計組(04013),9,2,第一類學群,13,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04013.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1501?t=2
資訊工程學系、資工,元智大學資訊工程學系(04014),20,3,第二類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04014.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1508?t=2
資訊學院英語學士班、英文,元智大學資訊學院英語學士班(04015),4,1,第二類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04015.htm?v=1.0,https://www.unews.com.tw/School/Info/58
機械工程學系、機械,元智大學機械工程學系(04016),17,2,第二類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04016.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1510?t=2
化學工程與材料科學學系、化工,元智大學化學工程與材料科學學系(04017),17,3,第二類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04017.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1511?t=2
工業工程與管理學系、工工,元智大學工業工程與管理學系(04018),18,3,第二類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04018.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1512?t=2
工程學院英語學士班、英文,元智大學工程學院英語學士班(04019),4,2,第二類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04019.htm?v=1.0,https://www.unews.com.tw/School/Info/58
電機工程學系、電機,元智大學電機工程學系(甲組)(04020),18,3,第二類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04020.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1506?t=2
電機工程學系、電機,元智大學電機工程學系(乙組)(04021),14,無,第二類學群,10,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04021.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1506?t=2
電機工程學系、電機,元智大學電機工程學系(丙組)(04022),9,6,第二類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04022.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1506?t=2
電機通訊學院英語學士班、英文,元智大學電機通訊學院英語學士班(04023),4,1,第二類學群,10,9,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04023.htm?v=1.0,https://www.unews.com.tw/School/Info/58
