搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
外國語文學系、外文,亞洲大學外國語文學系,13401,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=13401,https://www.com.tw/exam/university_134_111.html
資訊傳播學系(新媒體傳播內容組,亞洲大學資訊傳播學系(新媒體傳播內容組),13402,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB(%E6%96%B0%E5%AA%92%E9%AB%94%E5%82%B3%E6%92%AD%E5%85%A7%E5%AE%B9%E7%B5%84)&id=13402,https://www.com.tw/exam/university_134_111.html
食品營養與保健生技學系(食品營養組,亞洲大學食品營養與保健生技學系(食品營養組),13403,生物(分科)x2.00,化學(分科)x2.00,英文(學測)x2.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E9%A3%9F%E5%93%81%E7%87%9F%E9%A4%8A%E8%88%87%E4%BF%9D%E5%81%A5%E7%94%9F%E6%8A%80%E5%AD%B8%E7%B3%BB(%E9%A3%9F%E5%93%81%E7%87%9F%E9%A4%8A%E7%B5%84)&id=13403,https://www.com.tw/exam/university_134_111.html
休閒與遊憩管理學系,亞洲大學休閒與遊憩管理學系,13404,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E4%BC%91%E9%96%92%E8%88%87%E9%81%8A%E6%86%A9%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=13404,https://www.com.tw/exam/university_134_111.html
物理治療學系,亞洲大學物理治療學系,13405,英文(學測)x2.00,生物(分科)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E6%B2%BB%E7%99%82%E5%AD%B8%E7%B3%BB&id=13405,https://www.com.tw/exam/university_134_111.html
會計與資訊學系、會計,亞洲大學會計與資訊學系,13406,國文(學測)x2.00,公民與社會(分科)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E8%88%87%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB&id=13406,https://www.com.tw/exam/university_134_111.html
財務金融學系(投資理財組、財金,亞洲大學財務金融學系(投資理財組),13407,國文(學測)x1.00,公民與社會(分科)x2.00,數學B(學測)x1.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB(%E6%8A%95%E8%B3%87%E7%90%86%E8%B2%A1%E7%B5%84)&id=13407,https://www.com.tw/exam/university_134_111.html
財經法律學系,亞洲大學財經法律學系,13408,公民與社會(分科)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%B2%A1%E7%B6%93%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB&id=13408,https://www.com.tw/exam/university_134_111.html
視覺傳達設計學系、視傳,亞洲大學視覺傳達設計學系,13409,國文(學測)x1.00,公民與社會(分科)x1.00,地理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%A6%96%E8%A6%BA%E5%82%B3%E9%81%94%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=13409,https://www.com.tw/exam/university_134_111.html
行動商務與多媒體應用學系(多媒體應用組,亞洲大學行動商務與多媒體應用學系(多媒體應用組),13410,英文(學測)x1.00,國文(學測)x2.00,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%A1%8C%E5%8B%95%E5%95%86%E5%8B%99%E8%88%87%E5%A4%9A%E5%AA%92%E9%AB%94%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB(%E5%A4%9A%E5%AA%92%E9%AB%94%E6%87%89%E7%94%A8%E7%B5%84)&id=13410,https://www.com.tw/exam/university_134_111.html
數位媒體設計學系,亞洲大學數位媒體設計學系,13411,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E6%95%B8%E4%BD%8D%E5%AA%92%E9%AB%94%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=13411,https://www.com.tw/exam/university_134_111.html
資訊工程學系(人工智慧組、資工,亞洲大學資訊工程學系(人工智慧組),13412,國文(學測)x2.00,英文(學測)x1.00,數學B(學測)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E7%B5%84)&id=13412,https://www.com.tw/exam/university_134_111.html
健康產業管理學系(健康產業管理組,亞洲大學健康產業管理學系(健康產業管理組),13413,國文(學測)x2.00,公民與社會(分科)x2.00,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E5%81%A5%E5%BA%B7%E7%94%A2%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E5%81%A5%E5%BA%B7%E7%94%A2%E6%A5%AD%E7%AE%A1%E7%90%86%E7%B5%84)&id=13413,https://www.com.tw/exam/university_134_111.html
心理學系(諮商與臨床心理組,亞洲大學心理學系(諮商與臨床心理組),13414,英文(學測)x2.00,國文(學測)x2.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB(%E8%AB%AE%E5%95%86%E8%88%87%E8%87%A8%E5%BA%8A%E5%BF%83%E7%90%86%E7%B5%84)&id=13414,https://www.com.tw/exam/university_134_111.html
資訊工程學系(智慧電子組、資工,亞洲大學資訊工程學系(智慧電子組),13415,英文(學測)x1.00,數學B(學測)x1.00,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E6%99%BA%E6%85%A7%E9%9B%BB%E5%AD%90%E7%B5%84)&id=13415,https://www.com.tw/exam/university_134_111.html
資訊傳播學系(智慧傳播應用組,亞洲大學資訊傳播學系(智慧傳播應用組),13416,國文(學測)x2.00,英文(學測)x1.00,地理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB(%E6%99%BA%E6%85%A7%E5%82%B3%E6%92%AD%E6%87%89%E7%94%A8%E7%B5%84)&id=13416,https://www.com.tw/exam/university_134_111.html
