搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
英美語文學系,真理大學英美語文學系,7901,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%8B%B1%E7%BE%8E%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=07901,https://www.com.tw/exam/university_079_111.html
音樂應用學系-演奏教學B組,真理大學音樂應用學系-演奏教學B組,7902,英文(學測)x1.50,國文(學測)x2.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB-%E6%BC%94%E5%A5%8F%E6%95%99%E5%AD%B8B%E7%B5%84&id=07902,https://www.com.tw/exam/university_079_111.html
音樂應用學系-演奏教學A組,真理大學音樂應用學系-演奏教學A組,7903,音樂(術科)x2.00,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB-%E6%BC%94%E5%A5%8F%E6%95%99%E5%AD%B8A%E7%B5%84&id=07903,https://www.com.tw/exam/university_079_111.html
應用日語學系、日文,真理大學應用日語學系,7904,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%97%A5%E8%AA%9E%E5%AD%B8%E7%B3%BB&id=07904,https://www.com.tw/exam/university_079_111.html
工業管理與經營資訊學系,真理大學工業管理與經營資訊學系,7905,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E7%AE%A1%E7%90%86%E8%88%87%E7%B6%93%E7%87%9F%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB&id=07905,https://www.com.tw/exam/university_079_111.html
觀光數位知識學系旅運科技組,真理大學觀光數位知識學系旅運科技組,7906,國文(學測)x2.00,歷史(分科)x1.50,地理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E6%95%B8%E4%BD%8D%E7%9F%A5%E8%AD%98%E5%AD%B8%E7%B3%BB%E6%97%85%E9%81%8B%E7%A7%91%E6%8A%80%E7%B5%84&id=07906,https://www.com.tw/exam/university_079_111.html
企業管理學系、企管,真理大學企業管理學系,7907,國文(學測)x2.00,公民與社會(分科)x1.75,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=07907,https://www.com.tw/exam/university_079_111.html
理財與稅務規劃學系,真理大學理財與稅務規劃學系,7908,社會(學測)x2.00,國文(學測)x1.75,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E7%90%86%E8%B2%A1%E8%88%87%E7%A8%85%E5%8B%99%E8%A6%8F%E5%8A%83%E5%AD%B8%E7%B3%BB&id=07908,https://www.com.tw/exam/university_079_111.html
財務金融學系、財金,真理大學財務金融學系,7909,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=07909,https://www.com.tw/exam/university_079_111.html
國際企業與貿易學系、國企,真理大學國際企業與貿易學系,7910,英文(學測)x2.00,社會(學測)x2.00,地理(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E4%BC%81%E6%A5%AD%E8%88%87%E8%B2%BF%E6%98%93%E5%AD%B8%E7%B3%BB&id=07910,https://www.com.tw/exam/university_079_111.html
會計資訊學系、會計,真理大學會計資訊學系,7911,英文(學測)x1.00,國文(學測)x2.00,歷史(分科)x2.00,地理(分科)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB&id=07911,https://www.com.tw/exam/university_079_111.html
