搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學系、中文,國立中正大學中國文學系,4101,國文(學測)x2.00,英文(學測)x1.25,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=04101,https://www.com.tw/exam/university_041_111.html
傳播學系,國立中正大學傳播學系,4102,公民與社會(分科)x1.00,歷史(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=04102,https://www.com.tw/exam/university_041_111.html
社會福利學系,國立中正大學社會福利學系,4103,英文(學測)x1.50,數學B(學測)x1.50,公民與社會(分科)x1.50,國文(學測)x1.00,--,英文(後標)數學B(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E7%A6%8F%E5%88%A9%E5%AD%B8%E7%B3%BB&id=04103,https://www.com.tw/exam/university_041_111.html
政治學系,國立中正大學政治學系,4104,英文(學測)x2.00,社會(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E6%94%BF%E6%B2%BB%E5%AD%B8%E7%B3%BB&id=04104,https://www.com.tw/exam/university_041_111.html
機械工程學系機械工程組、機械,國立中正大學機械工程學系機械工程組,4105,數學甲(分科)x2.00,物理(分科)x2.00,英文(學測)x1.50,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E7%B5%84&id=04105,https://www.com.tw/exam/university_041_111.html
化學暨生物化學系,國立中正大學化學暨生物化學系,4106,化學(分科)x2.00,物理(分科)x1.00,數學甲(分科)x1.25,英文(學測)x1.25,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E6%9A%A8%E7%94%9F%E7%89%A9%E5%8C%96%E5%AD%B8%E7%B3%BB&id=04106,https://www.com.tw/exam/university_041_111.html
數學系,國立中正大學數學系,4107,數學甲(分科)x2.00,英文(學測)x1.25,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=04107,https://www.com.tw/exam/university_041_111.html
地球與環境科學系,國立中正大學地球與環境科學系,4108,數學甲(分科)x1.50,物理(分科)x1.50,化學(分科)x1.50,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E5%9C%B0%E7%90%83%E8%88%87%E7%92%B0%E5%A2%83%E7%A7%91%E5%AD%B8%E7%B3%BB&id=04108,https://www.com.tw/exam/university_041_111.html
外國語文學系、外文,國立中正大學外國語文學系,4109,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=04109,https://www.com.tw/exam/university_041_111.html
成人及繼續教育學系,國立中正大學成人及繼續教育學系,4110,英文(學測)x1.50,國文(學測)x1.00,公民與社會(分科)x1.50,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E6%88%90%E4%BA%BA%E5%8F%8A%E7%B9%BC%E7%BA%8C%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=04110,https://www.com.tw/exam/university_041_111.html
哲學系,國立中正大學哲學系,4111,英文(學測)x2.00,數學B(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E5%93%B2%E5%AD%B8%E7%B3%BB&id=04111,https://www.com.tw/exam/university_041_111.html
歷史學系,國立中正大學歷史學系,4112,歷史(分科)x2.00,國文(學測)x1.50,英文(學測)x1.50,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=04112,https://www.com.tw/exam/university_041_111.html
犯罪防治學系,國立中正大學犯罪防治學系,4113,英文(學測)x1.50,國文(學測)x1.25,公民與社會(分科)x1.50,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E7%8A%AF%E7%BD%AA%E9%98%B2%E6%B2%BB%E5%AD%B8%E7%B3%BB&id=04113,https://www.com.tw/exam/university_041_111.html
