搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
工業設計學系,長庚大學工業設計學系,3001,英文(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,數學A(後標)或數學B(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=03001,https://www.com.tw/exam/university_030_111.html
工商管理學系(數智商務組、工管,長庚大學工商管理學系(數智商務組),3002,英文(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,數學A(後標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E5%B7%A5%E5%95%86%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E6%95%B8%E6%99%BA%E5%95%86%E5%8B%99%E7%B5%84)&id=03002,https://www.com.tw/exam/university_030_111.html
醫務管理學系,長庚大學醫務管理學系,3003,英文(學測)x1.50,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%8B%99%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=03003,https://www.com.tw/exam/university_030_111.html
生物醫學工程學系、生醫,長庚大學生物醫學工程學系,3004,數學甲(分科)x1.25,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=03004,https://www.com.tw/exam/university_030_111.html
資訊管理學系、資管,長庚大學資訊管理學系,3005,英文(學測)x1.50,國文(學測)x1.25,公民與社會(分科)x1.00,--,---,數學A(後標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=03005,https://www.com.tw/exam/university_030_111.html
護理學系,長庚大學護理學系,3006,英文(學測)x1.50,生物(分科)x1.50,國文(學測)x1.00,化學(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB&id=03006,https://www.com.tw/exam/university_030_111.html
人工智慧學系,長庚大學人工智慧學系,3007,數學甲(分科)x1.50,英文(學測)x1.00,物理(分科)x1.25,化學(分科)x1.00,--,英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E5%AD%B8%E7%B3%BB&id=03007,https://www.com.tw/exam/university_030_111.html
電機工程學系、電機,長庚大學電機工程學系,3008,物理(分科)x1.50,數學甲(分科)x1.50,英文(學測)x1.25,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=03008,https://www.com.tw/exam/university_030_111.html
機械工程學系、機械,長庚大學機械工程學系,3009,物理(分科)x1.25,數學甲(分科)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=03009,https://www.com.tw/exam/university_030_111.html
化工與材料工程學系、材料,長庚大學化工與材料工程學系,3010,數學甲(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,物理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E5%BA%9A%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%B7%A5%E8%88%87%E6%9D%90%E6%96%99%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=03010,https://www.com.tw/exam/university_030_111.html
