搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
應用日語學系、日文,中華大學應用日語學系,4302,國文(學測)x2.00,歷史(分科)x2.00,地理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%97%A5%E8%AA%9E%E5%AD%B8%E7%B3%BB&id=04302,https://www.com.tw/exam/university_043_111.html
行政管理學系,中華大學行政管理學系,4303,公民與社會(分科)x2.00,歷史(分科)x2.00,地理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%A1%8C%E6%94%BF%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=04303,https://www.com.tw/exam/university_043_111.html
工業管理學系(半導體產業組,中華大學工業管理學系(半導體產業組),4304,物理(分科)x2.00,化學(分科)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E5%8D%8A%E5%B0%8E%E9%AB%94%E7%94%A2%E6%A5%AD%E7%B5%84)&id=04304,https://www.com.tw/exam/university_043_111.html
機械工程學系、機械,中華大學機械工程學系,4305,物理(分科)x2.00,英文(學測)x2.00,數學A(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04305,https://www.com.tw/exam/university_043_111.html
景觀建築學系景觀設計組,中華大學景觀建築學系景觀設計組,4306,國文(學測)x2.00,地理(分科)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%99%AF%E8%A7%80%E5%BB%BA%E7%AF%89%E5%AD%B8%E7%B3%BB%E6%99%AF%E8%A7%80%E8%A8%AD%E8%A8%88%E7%B5%84&id=04306,https://www.com.tw/exam/university_043_111.html
企業管理學系企業管理組、企管,中華大學企業管理學系企業管理組,4307,地理(分科)x2.00,公民與社會(分科)x2.00,歷史(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E7%B5%84&id=04307,https://www.com.tw/exam/university_043_111.html
財務管理學系財務金融管理組、財金,中華大學財務管理學系財務金融管理組,4308,歷史(分科)x2.00,國文(學測)x2.00,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E7%AE%A1%E7%90%86%E7%B5%84&id=04308,https://www.com.tw/exam/university_043_111.html
建築與都市計畫學系(第二類組,中華大學建築與都市計畫學系(第二類組),4310,國文(學測)x2.00,英文(學測)x1.00,物理(分科)x2.00,--,---,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%BB%BA%E7%AF%89%E8%88%87%E9%83%BD%E5%B8%82%E8%A8%88%E7%95%AB%E5%AD%B8%E7%B3%BB(%E7%AC%AC%E4%BA%8C%E9%A1%9E%E7%B5%84)&id=04310,https://www.com.tw/exam/university_043_111.html
資訊管理學系(資訊管理應用組、資管,中華大學資訊管理學系(資訊管理應用組),4311,公民與社會(分科)x2.00,歷史(分科)x2.00,國文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E6%87%89%E7%94%A8%E7%B5%84)&id=04311,https://www.com.tw/exam/university_043_111.html
企業管理學系智慧運輸與物流組、企管,中華大學企業管理學系智慧運輸與物流組,4312,地理(分科)x2.00,歷史(分科)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E8%8F%AF%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E6%99%BA%E6%85%A7%E9%81%8B%E8%BC%B8%E8%88%87%E7%89%A9%E6%B5%81%E7%B5%84&id=04312,https://www.com.tw/exam/university_043_111.html
