搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
社會工作學系、社工,長榮大學社會工作學系,5101,國文(學測)x2.00,公民與社會(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB&id=05101,https://www.com.tw/exam/university_051_111.html
土地管理與開發學系,長榮大學土地管理與開發學系,5102,公民與社會(分科)x1.00,國文(學測)x2.00,地理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E5%9C%9F%E5%9C%B0%E7%AE%A1%E7%90%86%E8%88%87%E9%96%8B%E7%99%BC%E5%AD%B8%E7%B3%BB&id=05102,https://www.com.tw/exam/university_051_111.html
財務金融學系、財金,長榮大學財務金融學系,5103,國文(學測)x2.00,公民與社會(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=05103,https://www.com.tw/exam/university_051_111.html
國際企業學系、國企,長榮大學國際企業學系,5104,英文(學測)x1.00,國文(學測)x2.00,地理(分科)x2.00,歷史(分科)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E4%BC%81%E6%A5%AD%E5%AD%B8%E7%B3%BB&id=05104,https://www.com.tw/exam/university_051_111.html
會計資訊學系、會計,長榮大學會計資訊學系,5106,公民與社會(分科)x2.00,國文(學測)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB&id=05106,https://www.com.tw/exam/university_051_111.html
應用哲學系(公共參與組,長榮大學應用哲學系(公共參與組),5107,國文(學測)x2.00,公民與社會(分科)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E5%93%B2%E5%AD%B8%E7%B3%BB(%E5%85%AC%E5%85%B1%E5%8F%83%E8%88%87%E7%B5%84)&id=05107,https://www.com.tw/exam/university_051_111.html
觀光與餐飲管理學系,長榮大學觀光與餐飲管理學系,5108,公民與社會(分科)x2.00,國文(學測)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E8%88%87%E9%A4%90%E9%A3%B2%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=05108,https://www.com.tw/exam/university_051_111.html
職業安全與衛生學系(社會組,長榮大學職業安全與衛生學系(社會組),5111,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E8%81%B7%E6%A5%AD%E5%AE%89%E5%85%A8%E8%88%87%E8%A1%9B%E7%94%9F%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=05111,https://www.com.tw/exam/university_051_111.html
職業安全與衛生學系(自然組,長榮大學職業安全與衛生學系(自然組),5112,國文(學測)x2.00,英文(學測)x1.50,化學(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E8%81%B7%E6%A5%AD%E5%AE%89%E5%85%A8%E8%88%87%E8%A1%9B%E7%94%9F%E5%AD%B8%E7%B3%BB(%E8%87%AA%E7%84%B6%E7%B5%84)&id=05112,https://www.com.tw/exam/university_051_111.html
護理學系,長榮大學護理學系,5113,英文(學測)x2.00,生物(分科)x2.00,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB&id=05113,https://www.com.tw/exam/university_051_111.html
運動競技學系,長榮大學運動競技學系,5114,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E7%AB%B6%E6%8A%80%E5%AD%B8%E7%B3%BB&id=05114,https://www.com.tw/exam/university_051_111.html
醫務管理學系(健康大數據組,長榮大學醫務管理學系(健康大數據組),5115,英文(學測)x1.50,國文(學測)x1.50,公民與社會(分科)x2.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%8B%99%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E5%81%A5%E5%BA%B7%E5%A4%A7%E6%95%B8%E6%93%9A%E7%B5%84)&id=05115,https://www.com.tw/exam/university_051_111.html
企業管理學系、企管,長榮大學企業管理學系,5116,英文(學測)x1.00,歷史(分科)x2.00,地理(分科)x2.00,國文(學測)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=05116,https://www.com.tw/exam/university_051_111.html
綠能與環境資源學系(自然組,長榮大學綠能與環境資源學系(自然組),5117,國文(學測)x1.00,物理(分科)x2.00,化學(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E7%B6%A0%E8%83%BD%E8%88%87%E7%92%B0%E5%A2%83%E8%B3%87%E6%BA%90%E5%AD%B8%E7%B3%BB(%E8%87%AA%E7%84%B6%E7%B5%84)&id=05117,https://www.com.tw/exam/university_051_111.html
大眾傳播學系、大傳,長榮大學大眾傳播學系,5118,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E5%A4%A7%E7%9C%BE%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=05118,https://www.com.tw/exam/university_051_111.html
數位媒體設計學系,長榮大學數位媒體設計學系,5119,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E6%95%B8%E4%BD%8D%E5%AA%92%E9%AB%94%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=05119,https://www.com.tw/exam/university_051_111.html
翻譯學系,長榮大學翻譯學系,5120,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E7%BF%BB%E8%AD%AF%E5%AD%B8%E7%B3%BB&id=05120,https://www.com.tw/exam/university_051_111.html
航運管理學系,長榮大學航運管理學系,5121,英文(學測)x2.00,地理(分科)x2.00,國文(學測)x2.00,數學B(學測)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E8%88%AA%E9%81%8B%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=05121,https://www.com.tw/exam/university_051_111.html
應用日語學系、日文,長榮大學應用日語學系,5122,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%97%A5%E8%AA%9E%E5%AD%B8%E7%B3%BB&id=05122,https://www.com.tw/exam/university_051_111.html
資訊工程學系、資工,長榮大學資訊工程學系,5126,數學B(學測)x1.00,國文(學測)x2.00,英文(學測)x1.50,物理(分科)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=05126,https://www.com.tw/exam/university_051_111.html
保健營養學系,長榮大學保健營養學系,5127,生物(分科)x1.25,化學(分科)x1.25,國文(學測)x2.00,英文(學測)x1.00,公民與社會(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E4%BF%9D%E5%81%A5%E7%87%9F%E9%A4%8A%E5%AD%B8%E7%B3%BB&id=05127,https://www.com.tw/exam/university_051_111.html
健康心理學系,長榮大學健康心理學系,5128,英文(學測)x2.00,生物(分科)x2.00,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E5%81%A5%E5%BA%B7%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB&id=05128,https://www.com.tw/exam/university_051_111.html
醫藥科學產業學系,長榮大學醫藥科學產業學系,5131,國文(學測)x2.00,英文(學測)x1.00,生物(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E9%86%AB%E8%97%A5%E7%A7%91%E5%AD%B8%E7%94%A2%E6%A5%AD%E5%AD%B8%E7%B3%BB&id=05131,https://www.com.tw/exam/university_051_111.html
無人機應用學士學位學程,長榮大學無人機應用學士學位學程,5133,國文(學測)x2.00,物理(分科)x1.50,英文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E7%84%A1%E4%BA%BA%E6%A9%9F%E6%87%89%E7%94%A8%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=05133,https://www.com.tw/exam/university_051_111.html
綠能與環境資源學系(社會組,長榮大學綠能與環境資源學系(社會組),5134,國文(學測)x1.00,地理(分科)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8%E7%B6%A0%E8%83%BD%E8%88%87%E7%92%B0%E5%A2%83%E8%B3%87%E6%BA%90%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=05134,https://www.com.tw/exam/university_051_111.html
