搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
物理治療學系,中山醫學大學物理治療學系,2601,英文(學測)x1.50,生物(分科)x1.50,國文(學測)x1.50,物理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E6%B2%BB%E7%99%82%E5%AD%B8%E7%B3%BB&id=02601,https://www.com.tw/exam/university_026_111.html
營養學系,中山醫學大學營養學系,2602,生物(分科)x2.00,化學(分科)x2.00,國文(學測)x2.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E7%87%9F%E9%A4%8A%E5%AD%B8%E7%B3%BB&id=02602,https://www.com.tw/exam/university_026_111.html
公共衛生學系(A組、公衛,中山醫學大學公共衛生學系(A組),2604,國文(學測)x2.00,英文(學測)x2.00,化學(分科)x1.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E8%A1%9B%E7%94%9F%E5%AD%B8%E7%B3%BB(A%E7%B5%84)&id=02604,https://www.com.tw/exam/university_026_111.html
公共衛生學系(B組、公衛,中山醫學大學公共衛生學系(B組),2605,歷史(分科)x1.00,國文(學測)x2.00,英文(學測)x2.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E8%A1%9B%E7%94%9F%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=02605,https://www.com.tw/exam/university_026_111.html
職能治療學系、職治,中山醫學大學職能治療學系,2606,英文(學測)x1.50,國文(學測)x1.25,生物(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E8%81%B7%E8%83%BD%E6%B2%BB%E7%99%82%E5%AD%B8%E7%B3%BB&id=02606,https://www.com.tw/exam/university_026_111.html
語言治療與聽力學系語言治療組,中山醫學大學語言治療與聽力學系語言治療組,2607,英文(學測)x2.00,生物(分科)x1.50,國文(學測)x1.50,物理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E8%AA%9E%E8%A8%80%E6%B2%BB%E7%99%82%E8%88%87%E8%81%BD%E5%8A%9B%E5%AD%B8%E7%B3%BB%E8%AA%9E%E8%A8%80%E6%B2%BB%E7%99%82%E7%B5%84&id=02607,https://www.com.tw/exam/university_026_111.html
生物醫學科學學系、生醫,中山醫學大學生物醫學科學學系,2608,生物(分科)x2.00,英文(學測)x1.00,化學(分科)x1.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%AD%B8%E7%B3%BB&id=02608,https://www.com.tw/exam/university_026_111.html
視光學系,中山醫學大學視光學系,2609,生物(分科)x1.50,英文(學測)x1.00,物理(分科)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E8%A6%96%E5%85%89%E5%AD%B8%E7%B3%BB&id=02609,https://www.com.tw/exam/university_026_111.html
醫療產業科技管理學系,中山醫學大學醫療產業科技管理學系,2610,英文(學測)x1.50,國文(學測)x1.00,地理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%86%AB%E7%99%82%E7%94%A2%E6%A5%AD%E7%A7%91%E6%8A%80%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=02610,https://www.com.tw/exam/university_026_111.html
醫學應用化學系,中山醫學大學醫學應用化學系,2611,化學(分科)x2.00,數學甲(分科)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E6%87%89%E7%94%A8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=02611,https://www.com.tw/exam/university_026_111.html
醫學影像暨放射科學系、醫影,中山醫學大學醫學影像暨放射科學系,2612,物理(分科)x2.00,生物(分科)x1.50,數學甲(分科)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E5%BD%B1%E5%83%8F%E6%9A%A8%E6%94%BE%E5%B0%84%E7%A7%91%E5%AD%B8%E7%B3%BB&id=02612,https://www.com.tw/exam/university_026_111.html
心理學系,中山醫學大學心理學系,2613,英文(學測)x2.00,國文(學測)x1.50,數學甲(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%B1%B1%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB&id=02613,https://www.com.tw/exam/university_026_111.html
