搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
室內設計學系,中原大學室內設計學系,801,國文(學測)x2.00,歷史(分科)x2.00,地理(分科)x1.50,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E5%AE%A4%E5%85%A7%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=00801,https://www.com.tw/exam/university_008_111.html
特殊教育學系,中原大學特殊教育學系,802,國文(學測)x1.50,英文(學測)x1.50,數學B(學測)x1.00,公民與社會(分科)x1.00,--,國文(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=00802,https://www.com.tw/exam/university_008_111.html
商業設計學系商業設計組,中原大學商業設計學系商業設計組,803,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.50,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E5%95%86%E6%A5%AD%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB%E5%95%86%E6%A5%AD%E8%A8%AD%E8%A8%88%E7%B5%84&id=00803,https://www.com.tw/exam/university_008_111.html
應用外國語文學系、外文,中原大學應用外國語文學系,804,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00804,https://www.com.tw/exam/university_008_111.html
財經法律學系科技法組,中原大學財經法律學系科技法組,805,英文(學測)x1.75,國文(學測)x1.50,公民與社會(分科)x1.25,數學B(學測)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E8%B2%A1%E7%B6%93%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB%E7%A7%91%E6%8A%80%E6%B3%95%E7%B5%84&id=00805,https://www.com.tw/exam/university_008_111.html
國際經營與貿易學系,中原大學國際經營與貿易學系,806,英文(學測)x2.00,國文(學測)x1.75,公民與社會(分科)x1.00,--,---,數學A(底標)或數學B(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E7%B6%93%E7%87%9F%E8%88%87%E8%B2%BF%E6%98%93%E5%AD%B8%E7%B3%BB&id=00806,https://www.com.tw/exam/university_008_111.html
會計學系、會計,中原大學會計學系,807,國文(學測)x1.00,英文(學測)x1.00,公民與社會(分科)x1.00,歷史(分科)x1.00,地理(分科)x1.00,數學A(底標)或數學B(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E5%AD%B8%E7%B3%BB&id=00807,https://www.com.tw/exam/university_008_111.html
工業與系統工程學系工程組,中原大學工業與系統工程學系工程組,808,數學甲(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E8%88%87%E7%B3%BB%E7%B5%B1%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E5%B7%A5%E7%A8%8B%E7%B5%84&id=00808,https://www.com.tw/exam/university_008_111.html
建築學系,中原大學建築學系,809,數學甲(分科)x2.00,英文(學測)x1.75,國文(學測)x1.75,物理(分科)x1.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E5%BB%BA%E7%AF%89%E5%AD%B8%E7%B3%BB&id=00809,https://www.com.tw/exam/university_008_111.html
物理學系物理組,中原大學物理學系物理組,810,物理(分科)x2.00,數學甲(分科)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB%E7%89%A9%E7%90%86%E7%B5%84&id=00810,https://www.com.tw/exam/university_008_111.html
