搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
視覺傳達設計學系、視傳,大葉大學視覺傳達設計學系,4201,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E8%A6%96%E8%A6%BA%E5%82%B3%E9%81%94%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=04201,https://www.com.tw/exam/university_042_111.html
造形藝術學系,大葉大學造形藝術學系,4202,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E9%80%A0%E5%BD%A2%E8%97%9D%E8%A1%93%E5%AD%B8%E7%B3%BB&id=04202,https://www.com.tw/exam/university_042_111.html
空間設計學系(建築組,大葉大學空間設計學系(建築組),4203,英文(學測)x1.00,國文(學測)x2.00,地理(分科)x2.00,歷史(分科)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E7%A9%BA%E9%96%93%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E5%BB%BA%E7%AF%89%E7%B5%84)&id=04203,https://www.com.tw/exam/university_042_111.html
企業管理學系(經營管理組、企管,大葉大學企業管理學系(經營管理組),4204,國文(學測)x2.00,英文(學測)x1.75,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E7%B6%93%E7%87%9F%E7%AE%A1%E7%90%86%E7%B5%84)&id=04204,https://www.com.tw/exam/university_042_111.html
資訊管理學系、資管,大葉大學資訊管理學系,4205,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=04205,https://www.com.tw/exam/university_042_111.html
英語學系、英文,大葉大學英語學系,4206,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E8%8B%B1%E8%AA%9E%E5%AD%B8%E7%B3%BB&id=04206,https://www.com.tw/exam/university_042_111.html
應用日語學系(商務貿易組、日文,大葉大學應用日語學系(商務貿易組),4207,國文(學測)x2.00,社會(學測)x1.00,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%97%A5%E8%AA%9E%E5%AD%B8%E7%B3%BB(%E5%95%86%E5%8B%99%E8%B2%BF%E6%98%93%E7%B5%84)&id=04207,https://www.com.tw/exam/university_042_111.html
藥用植物與食品保健學系(中藥保健組,大葉大學藥用植物與食品保健學系(中藥保健組),4209,英文(學測)x2.00,國文(學測)x1.75,化學(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E8%97%A5%E7%94%A8%E6%A4%8D%E7%89%A9%E8%88%87%E9%A3%9F%E5%93%81%E4%BF%9D%E5%81%A5%E5%AD%B8%E7%B3%BB(%E4%B8%AD%E8%97%A5%E4%BF%9D%E5%81%A5%E7%B5%84)&id=04209,https://www.com.tw/exam/university_042_111.html
工業設計學系,大葉大學工業設計學系,4210,國文(學測)x2.00,歷史(分科)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=04210,https://www.com.tw/exam/university_042_111.html
企業管理學系(數位行銷組、企管,大葉大學企業管理學系(數位行銷組),4211,國文(學測)x2.00,英文(學測)x1.75,地理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E6%95%B8%E4%BD%8D%E8%A1%8C%E9%8A%B7%E7%B5%84)&id=04211,https://www.com.tw/exam/university_042_111.html
醫學工程學系,大葉大學醫學工程學系,4212,英文(學測)x2.00,數學甲(分科)x2.00,國文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04212,https://www.com.tw/exam/university_042_111.html
多媒體數位內容學士學位學程(遊戲與互動設計組,大葉大學多媒體數位內容學士學位學程(遊戲與互動設計組),4213,國文(學測)x2.00,英文(學測)x1.75,地理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E5%A4%9A%E5%AA%92%E9%AB%94%E6%95%B8%E4%BD%8D%E5%85%A7%E5%AE%B9%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B(%E9%81%8A%E6%88%B2%E8%88%87%E4%BA%92%E5%8B%95%E8%A8%AD%E8%A8%88%E7%B5%84)&id=04213,https://www.com.tw/exam/university_042_111.html
藥用植物與食品保健學系(食品科學組,大葉大學藥用植物與食品保健學系(食品科學組),4215,國文(學測)x2.00,英文(學測)x1.75,生物(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E8%97%A5%E7%94%A8%E6%A4%8D%E7%89%A9%E8%88%87%E9%A3%9F%E5%93%81%E4%BF%9D%E5%81%A5%E5%AD%B8%E7%B3%BB(%E9%A3%9F%E5%93%81%E7%A7%91%E5%AD%B8%E7%B5%84)&id=04215,https://www.com.tw/exam/university_042_111.html
烘焙暨飲料調製學士學位學程,大葉大學烘焙暨飲料調製學士學位學程,4216,國文(學測)x2.00,地理(分科)x2.00,英文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E8%91%89%E5%A4%A7%E5%AD%B8%E7%83%98%E7%84%99%E6%9A%A8%E9%A3%B2%E6%96%99%E8%AA%BF%E8%A3%BD%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=04216,https://www.com.tw/exam/university_042_111.html
