搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學系、中文,逢甲大學中國文學系,1501,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=01501,https://www.com.tw/exam/university_015_111.html
財稅學系,逢甲大學財稅學系,1502,英文(學測)x1.50,數學B(學測)x1.50,國文(學測)x1.25,歷史(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E8%B2%A1%E7%A8%85%E5%AD%B8%E7%B3%BB&id=01502,https://www.com.tw/exam/university_015_111.html
土地管理學系,逢甲大學土地管理學系,1503,國文(學測)x1.50,地理(分科)x1.50,英文(學測)x1.00,歷史(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E5%9C%9F%E5%9C%B0%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=01503,https://www.com.tw/exam/university_015_111.html
企業管理學系、企管,逢甲大學企業管理學系,1504,英文(學測)x2.00,國文(學測)x2.00,數學B(學測)x1.75,地理(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=01504,https://www.com.tw/exam/university_015_111.html
合作經濟暨社會事業經營學系,逢甲大學合作經濟暨社會事業經營學系,1505,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E5%90%88%E4%BD%9C%E7%B6%93%E6%BF%9F%E6%9A%A8%E7%A4%BE%E6%9C%83%E4%BA%8B%E6%A5%AD%E7%B6%93%E7%87%9F%E5%AD%B8%E7%B3%BB&id=01505,https://www.com.tw/exam/university_015_111.html
風險管理與保險學系,逢甲大學風險管理與保險學系,1506,國文(學測)x2.00,地理(分科)x1.50,英文(學測)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E9%A2%A8%E9%9A%AA%E7%AE%A1%E7%90%86%E8%88%87%E4%BF%9D%E9%9A%AA%E5%AD%B8%E7%B3%BB&id=01506,https://www.com.tw/exam/university_015_111.html
財務金融學系、財金,逢甲大學財務金融學系,1507,英文(學測)x1.50,數學B(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=01507,https://www.com.tw/exam/university_015_111.html
國際經營與貿易學系,逢甲大學國際經營與貿易學系,1508,英文(學測)x1.25,數學B(學測)x1.00,國文(學測)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E7%B6%93%E7%87%9F%E8%88%87%E8%B2%BF%E6%98%93%E5%AD%B8%E7%B3%BB&id=01508,https://www.com.tw/exam/university_015_111.html
統計學系商業大數據組,逢甲大學統計學系商業大數據組,1509,數學B(學測)x2.00,英文(學測)x1.50,國文(學測)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E7%B5%B1%E8%A8%88%E5%AD%B8%E7%B3%BB%E5%95%86%E6%A5%AD%E5%A4%A7%E6%95%B8%E6%93%9A%E7%B5%84&id=01509,https://www.com.tw/exam/university_015_111.html
會計學系、會計,逢甲大學會計學系,1510,英文(學測)x1.50,國文(學測)x1.50,數學B(學測)x1.25,地理(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E5%AD%B8%E7%B3%BB&id=01510,https://www.com.tw/exam/university_015_111.html
經濟學系,逢甲大學經濟學系,1511,數學B(學測)x1.50,英文(學測)x1.50,公民與社會(分科)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BB&id=01511,https://www.com.tw/exam/university_015_111.html
土木工程學系、土木,逢甲大學土木工程學系,1512,國文(學測)x2.00,數學甲(分科)x1.50,物理(分科)x2.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01512,https://www.com.tw/exam/university_015_111.html
工業工程與系統管理學系A組、工工,逢甲大學工業工程與系統管理學系A組,1513,國文(學測)x2.00,英文(學測)x2.00,數學甲(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E5%B7%A5%E7%A8%8B%E8%88%87%E7%B3%BB%E7%B5%B1%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=01513,https://www.com.tw/exam/university_015_111.html
水利工程與資源保育學系,逢甲大學水利工程與資源保育學系,1514,數學甲(分科)x1.00,英文(學測)x2.00,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E6%B0%B4%E5%88%A9%E5%B7%A5%E7%A8%8B%E8%88%87%E8%B3%87%E6%BA%90%E4%BF%9D%E8%82%B2%E5%AD%B8%E7%B3%BB&id=01514,https://www.com.tw/exam/university_015_111.html
運輸與物流學系,逢甲大學運輸與物流學系,1515,英文(學測)x2.00,國文(學測)x2.00,數學B(學測)x1.75,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E9%81%8B%E8%BC%B8%E8%88%87%E7%89%A9%E6%B5%81%E5%AD%B8%E7%B3%BB&id=01515,https://www.com.tw/exam/university_015_111.html
航太與系統工程學系,逢甲大學航太與系統工程學系,1517,數學A(學測)x1.50,物理(分科)x1.75,英文(學測)x1.00,國文(學測)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E8%88%AA%E5%A4%AA%E8%88%87%E7%B3%BB%E7%B5%B1%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01517,https://www.com.tw/exam/university_015_111.html
都市計畫與空間資訊學系,逢甲大學都市計畫與空間資訊學系,1518,國文(學測)x2.00,地理(分科)x2.00,英文(學測)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E9%83%BD%E5%B8%82%E8%A8%88%E7%95%AB%E8%88%87%E7%A9%BA%E9%96%93%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB&id=01518,https://www.com.tw/exam/university_015_111.html
機械與電腦輔助工程學系,逢甲大學機械與電腦輔助工程學系,1519,數學甲(分科)x1.50,物理(分科)x1.50,國文(學測)x2.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E8%88%87%E9%9B%BB%E8%85%A6%E8%BC%94%E5%8A%A9%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01519,https://www.com.tw/exam/university_015_111.html
材料科學與工程學系,逢甲大學材料科學與工程學系,1520,化學(分科)x2.00,英文(學測)x2.00,數學甲(分科)x1.00,物理(分科)x1.50,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E8%88%87%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01520,https://www.com.tw/exam/university_015_111.html
應用數學系A組、應數,逢甲大學應用數學系A組,1521,數學甲(分科)x2.00,英文(學測)x1.75,國文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=01521,https://www.com.tw/exam/university_015_111.html
自動控制工程學系,逢甲大學自動控制工程學系,1522,數學甲(分科)x1.50,物理(分科)x1.50,國文(學測)x1.50,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E8%87%AA%E5%8B%95%E6%8E%A7%E5%88%B6%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01522,https://www.com.tw/exam/university_015_111.html
資訊工程學系、資工,逢甲大學資訊工程學系,1523,數學甲(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01523,https://www.com.tw/exam/university_015_111.html
電子工程學系,逢甲大學電子工程學系,1524,數學甲(分科)x1.75,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%80%A2%E7%94%B2%E5%A4%A7%E5%AD%B8%E9%9B%BB%E5%AD%90%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01524,https://www.com.tw/exam/university_015_111.html
