搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學與應用學系、中文,佛光大學中國文學與應用學系,13001,國文(學測)x2.00,歷史(分科)x2.00,地理(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E8%88%87%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB&id=13001,https://www.com.tw/exam/university_130_111.html
文化資產與創意學系,佛光大學文化資產與創意學系,13002,歷史(分科)x2.00,國文(學測)x1.75,地理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E6%96%87%E5%8C%96%E8%B3%87%E7%94%A2%E8%88%87%E5%89%B5%E6%84%8F%E5%AD%B8%E7%B3%BB&id=13002,https://www.com.tw/exam/university_130_111.html
傳播學系(廣告公關組,佛光大學傳播學系(廣告公關組),13003,國文(學測)x2.00,社會(學測)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB(%E5%BB%A3%E5%91%8A%E5%85%AC%E9%97%9C%E7%B5%84)&id=13003,https://www.com.tw/exam/university_130_111.html
應用經濟學系(財務金融組、財金,佛光大學應用經濟學系(財務金融組),13004,公民與社會(分科)x2.00,國文(學測)x2.00,社會(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BB(%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E7%B5%84)&id=13004,https://www.com.tw/exam/university_130_111.html
公共事務學系(國際與兩岸事務組,佛光大學公共事務學系(國際與兩岸事務組),13005,國文(學測)x2.00,歷史(分科)x2.00,社會(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E4%BA%8B%E5%8B%99%E5%AD%B8%E7%B3%BB(%E5%9C%8B%E9%9A%9B%E8%88%87%E5%85%A9%E5%B2%B8%E4%BA%8B%E5%8B%99%E7%B5%84)&id=13005,https://www.com.tw/exam/university_130_111.html
未來與樂活產業學系,佛光大學未來與樂活產業學系,13007,國文(學測)x2.00,社會(學測)x2.00,地理(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E6%9C%AA%E4%BE%86%E8%88%87%E6%A8%82%E6%B4%BB%E7%94%A2%E6%A5%AD%E5%AD%B8%E7%B3%BB&id=13007,https://www.com.tw/exam/university_130_111.html
資訊應用學系(數位遊戲開發組,佛光大學資訊應用學系(數位遊戲開發組),13008,國文(學測)x2.00,社會(學測)x1.75,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB(%E6%95%B8%E4%BD%8D%E9%81%8A%E6%88%B2%E9%96%8B%E7%99%BC%E7%B5%84)&id=13008,https://www.com.tw/exam/university_130_111.html
社會學暨社會工作學系、社工,佛光大學社會學暨社會工作學系,13009,國文(學測)x2.00,歷史(分科)x2.00,社會(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%AD%B8%E6%9A%A8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB&id=13009,https://www.com.tw/exam/university_130_111.html
公共事務學系(行政管理組,佛光大學公共事務學系(行政管理組),13010,國文(學測)x2.00,社會(學測)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E4%BA%8B%E5%8B%99%E5%AD%B8%E7%B3%BB(%E8%A1%8C%E6%94%BF%E7%AE%A1%E7%90%86%E7%B5%84)&id=13010,https://www.com.tw/exam/university_130_111.html
歷史學系(B組,佛光大學歷史學系(B組),13011,歷史(分科)x2.00,國文(學測)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BD%9B%E5%85%89%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=13011,https://www.com.tw/exam/university_130_111.html
