搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
日本語文學系,輔仁大學日本語文學系,2001,國文(學測)x1.50,英文(學測)x1.50,歷史(分科)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=02001,https://www.com.tw/exam/university_020_111.html
法國語文學系,輔仁大學法國語文學系,2002,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=02002,https://www.com.tw/exam/university_020_111.html
英國語文學系,輔仁大學英國語文學系,2003,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E8%8B%B1%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=02003,https://www.com.tw/exam/university_020_111.html
義大利語文學系,輔仁大學義大利語文學系,2004,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E7%BE%A9%E5%A4%A7%E5%88%A9%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=02004,https://www.com.tw/exam/university_020_111.html
音樂學系,輔仁大學音樂學系,2005,音樂(術科)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=02005,https://www.com.tw/exam/university_020_111.html
社會工作學系、社工,輔仁大學社會工作學系,2006,國文(學測)x1.50,地理(分科)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB&id=02006,https://www.com.tw/exam/university_020_111.html
企業管理學系、企管,輔仁大學企業管理學系,2007,數學B(學測)x1.00,英文(學測)x2.00,公民與社會(分科)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=02007,https://www.com.tw/exam/university_020_111.html
統計資訊學系,輔仁大學統計資訊學系,2008,數學B(學測)x2.00,英文(學測)x2.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E7%B5%B1%E8%A8%88%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB&id=02008,https://www.com.tw/exam/university_020_111.html
會計學系、會計,輔仁大學會計學系,2009,英文(學測)x1.50,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E5%AD%B8%E7%B3%BB&id=02009,https://www.com.tw/exam/university_020_111.html
資訊管理學系、資管,輔仁大學資訊管理學系,2010,數學B(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=02010,https://www.com.tw/exam/university_020_111.html
數學系資訊數學組,輔仁大學數學系資訊數學組,2011,數學甲(分科)x2.00,英文(學測)x1.25,國文(學測)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E7%B3%BB%E8%B3%87%E8%A8%8A%E6%95%B8%E5%AD%B8%E7%B5%84&id=02011,https://www.com.tw/exam/university_020_111.html
數學系應用數學組、應數,輔仁大學數學系應用數學組,2012,數學甲(分科)x2.00,英文(學測)x1.25,國文(學測)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E7%B3%BB%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B5%84&id=02012,https://www.com.tw/exam/university_020_111.html
食品科學系,輔仁大學食品科學系,2013,化學(分科)x2.00,數學A(學測)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E9%A3%9F%E5%93%81%E7%A7%91%E5%AD%B8%E7%B3%BB&id=02013,https://www.com.tw/exam/university_020_111.html
營養科學系,輔仁大學營養科學系,2014,英文(學測)x2.00,化學(分科)x2.00,生物(分科)x2.00,國文(學測)x1.00,--,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E7%87%9F%E9%A4%8A%E7%A7%91%E5%AD%B8%E7%B3%BB&id=02014,https://www.com.tw/exam/university_020_111.html
心理學系,輔仁大學心理學系,2015,英文(學測)x1.00,國文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB&id=02015,https://www.com.tw/exam/university_020_111.html
西班牙語文學系,輔仁大學西班牙語文學系,2016,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%BC%94%E4%BB%81%E5%A4%A7%E5%AD%B8%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=02016,https://www.com.tw/exam/university_020_111.html
