搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
電機工程學系、電機,義守大學電機工程學系,4501,數學甲(分科)x2.00,國文(學測)x2.00,英文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04501,https://www.com.tw/exam/university_045_111.html
資訊工程學系資訊工程組、資工,義守大學資訊工程學系資訊工程組,4502,數學甲(分科)x2.00,國文(學測)x2.00,英文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E7%B5%84&id=04502,https://www.com.tw/exam/university_045_111.html
資訊管理學系人工智慧與電子商務組、資管,義守大學資訊管理學系人工智慧與電子商務組,4503,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E8%88%87%E9%9B%BB%E5%AD%90%E5%95%86%E5%8B%99%E7%B5%84&id=04503,https://www.com.tw/exam/university_045_111.html
智慧網路科技學系智慧軟體應用組,義守大學智慧網路科技學系智慧軟體應用組,4504,國文(學測)x2.00,歷史(分科)x1.00,英文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E6%99%BA%E6%85%A7%E7%B6%B2%E8%B7%AF%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB%E6%99%BA%E6%85%A7%E8%BB%9F%E9%AB%94%E6%87%89%E7%94%A8%E7%B5%84&id=04504,https://www.com.tw/exam/university_045_111.html
機械與自動化工程學系,義守大學機械與自動化工程學系,4505,物理(分科)x2.00,國文(學測)x2.00,英文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E8%88%87%E8%87%AA%E5%8B%95%E5%8C%96%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04505,https://www.com.tw/exam/university_045_111.html
材料科學與工程學系甲組,義守大學材料科學與工程學系甲組,4506,英文(學測)x2.00,國文(學測)x2.00,數學甲(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E8%88%87%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84&id=04506,https://www.com.tw/exam/university_045_111.html
財務金融管理學系、財金,義守大學財務金融管理學系,4507,歷史(分科)x2.00,國文(學測)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=04507,https://www.com.tw/exam/university_045_111.html
生物醫學工程學系、生醫,義守大學生物醫學工程學系,4508,國文(學測)x2.00,化學(分科)x2.00,物理(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04508,https://www.com.tw/exam/university_045_111.html
護理學系,義守大學護理學系,4509,英文(學測)x2.00,國文(學測)x2.00,化學(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB&id=04509,https://www.com.tw/exam/university_045_111.html
醫學影像暨放射科學系、醫影,義守大學醫學影像暨放射科學系,4510,自然(學測)x2.00,生物(分科)x2.00,國文(學測)x2.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%BE%A9%E5%AE%88%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E5%BD%B1%E5%83%8F%E6%9A%A8%E6%94%BE%E5%B0%84%E7%A7%91%E5%AD%B8%E7%B3%BB&id=04510,https://www.com.tw/exam/university_045_111.html
