搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
心理學系,高雄醫學大學心理學系,701,英文(學測)x2.00,生物(分科)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB&id=00701,https://www.com.tw/exam/university_007_111.html
生物醫學暨環境生物學系、生醫,高雄醫學大學生物醫學暨環境生物學系,702,生物(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,化學(分科)x1.25,數學甲(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E6%9A%A8%E7%92%B0%E5%A2%83%E7%94%9F%E7%89%A9%E5%AD%B8%E7%B3%BB&id=00702,https://www.com.tw/exam/university_007_111.html
藥學系,高雄醫學大學藥學系,703,化學(分科)x1.25,生物(分科)x1.25,物理(分科)x1.00,國文(學測)x1.00,英文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E8%97%A5%E5%AD%B8%E7%B3%BB&id=00703,https://www.com.tw/exam/university_007_111.html
護理學系,高雄醫學大學護理學系,704,生物(分科)x2.00,英文(學測)x2.00,國文(學測)x1.25,數學A(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB&id=00704,https://www.com.tw/exam/university_007_111.html
醫學檢驗生物技術學系,高雄醫學大學醫學檢驗生物技術學系,705,化學(分科)x1.00,生物(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E6%AA%A2%E9%A9%97%E7%94%9F%E7%89%A9%E6%8A%80%E8%A1%93%E5%AD%B8%E7%B3%BB&id=00705,https://www.com.tw/exam/university_007_111.html
物理治療學系,高雄醫學大學物理治療學系,706,英文(學測)x2.00,數學甲(分科)x1.50,生物(分科)x1.50,物理(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E6%B2%BB%E7%99%82%E5%AD%B8%E7%B3%BB&id=00706,https://www.com.tw/exam/university_007_111.html
職能治療學系、職治,高雄醫學大學職能治療學系,707,英文(學測)x1.50,國文(學測)x1.50,生物(分科)x1.50,物理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E8%81%B7%E8%83%BD%E6%B2%BB%E7%99%82%E5%AD%B8%E7%B3%BB&id=00707,https://www.com.tw/exam/university_007_111.html
醫學社會學與社會工作學系、社工,高雄醫學大學醫學社會學與社會工作學系,708,國文(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%AD%B8%E8%88%87%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB&id=00708,https://www.com.tw/exam/university_007_111.html
醫藥暨應用化學系醫藥化學組,高雄醫學大學醫藥暨應用化學系醫藥化學組,709,化學(分科)x1.50,數學甲(分科)x1.50,英文(學測)x1.50,生物(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%86%AB%E8%97%A5%E6%9A%A8%E6%87%89%E7%94%A8%E5%8C%96%E5%AD%B8%E7%B3%BB%E9%86%AB%E8%97%A5%E5%8C%96%E5%AD%B8%E7%B5%84&id=00709,https://www.com.tw/exam/university_007_111.html
生物科技學系,高雄醫學大學生物科技學系,710,生物(分科)x1.75,英文(學測)x1.25,化學(分科)x1.25,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%AB%98%E9%9B%84%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB&id=00710,https://www.com.tw/exam/university_007_111.html
