搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
人工智慧應用學系(桃園校區),銘傳大學人工智慧應用學系(桃園校區),4601,數學甲(分科)x1.50,國文(學測)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB(%E6%A1%83%E5%9C%92%E6%A0%A1%E5%8D%80)&id=04601,https://www.com.tw/exam/university_046_111.html
新媒體暨傳播管理學系(台北校區),銘傳大學新媒體暨傳播管理學系(台北校區),4602,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E6%96%B0%E5%AA%92%E9%AB%94%E6%9A%A8%E5%82%B3%E6%92%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E5%8F%B0%E5%8C%97%E6%A0%A1%E5%8D%80)&id=04602,https://www.com.tw/exam/university_046_111.html
應用統計與資料科學學系應用統計組,銘傳大學應用統計與資料科學學系應用統計組(桃園校區),4603,國文(學測)x1.50,數學B(學測)x1.50,公民與社會(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%B5%B1%E8%A8%88%E8%88%87%E8%B3%87%E6%96%99%E7%A7%91%E5%AD%B8%E5%AD%B8%E7%B3%BB%E6%87%89%E7%94%A8%E7%B5%B1%E8%A8%88%E7%B5%84(%E6%A1%83%E5%9C%92%E6%A0%A1%E5%8D%80)&id=04603,https://www.com.tw/exam/university_046_111.html
應用中國文學系(桃園校區)、中文,銘傳大學應用中國文學系(桃園校區),4604,國文(學測)x2.00,歷史(分科)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB(%E6%A1%83%E5%9C%92%E6%A0%A1%E5%8D%80)&id=04604,https://www.com.tw/exam/university_046_111.html
應用日語學系(桃園校區)、日文,銘傳大學應用日語學系(桃園校區),4605,歷史(分科)x1.50,公民與社會(分科)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%97%A5%E8%AA%9E%E5%AD%B8%E7%B3%BB(%E6%A1%83%E5%9C%92%E6%A0%A1%E5%8D%80)&id=04605,https://www.com.tw/exam/university_046_111.html
應用英語學系(桃園校區)、英文,銘傳大學應用英語學系(桃園校區),4606,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E8%8B%B1%E8%AA%9E%E5%AD%B8%E7%B3%BB(%E6%A1%83%E5%9C%92%E6%A0%A1%E5%8D%80)&id=04606,https://www.com.tw/exam/university_046_111.html
法律學系(台北校區),銘傳大學法律學系(台北校區),4607,國文(學測)x2.00,公民與社會(分科)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB(%E5%8F%B0%E5%8C%97%E6%A0%A1%E5%8D%80)&id=04607,https://www.com.tw/exam/university_046_111.html
企業管理學系品牌行銷組、企管,銘傳大學企業管理學系品牌行銷組(台北校區),4608,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E5%93%81%E7%89%8C%E8%A1%8C%E9%8A%B7%E7%B5%84(%E5%8F%B0%E5%8C%97%E6%A0%A1%E5%8D%80)&id=04608,https://www.com.tw/exam/university_046_111.html
犯罪防治學系(桃園校區),銘傳大學犯罪防治學系(桃園校區),4609,公民與社會(分科)x2.00,國文(學測)x2.00,英文(學測)x1.00,--,---,國文(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E7%8A%AF%E7%BD%AA%E9%98%B2%E6%B2%BB%E5%AD%B8%E7%B3%BB(%E6%A1%83%E5%9C%92%E6%A0%A1%E5%8D%80)&id=04609,https://www.com.tw/exam/university_046_111.html
風險管理與保險學系保險金融與行銷組,銘傳大學風險管理與保險學系保險金融與行銷組(台北校區),4610,國文(學測)x1.00,公民與社會(分科)x1.25,社會(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E9%A2%A8%E9%9A%AA%E7%AE%A1%E7%90%86%E8%88%87%E4%BF%9D%E9%9A%AA%E5%AD%B8%E7%B3%BB%E4%BF%9D%E9%9A%AA%E9%87%91%E8%9E%8D%E8%88%87%E8%A1%8C%E9%8A%B7%E7%B5%84(%E5%8F%B0%E5%8C%97%E6%A0%A1%E5%8D%80)&id=04610,https://www.com.tw/exam/university_046_111.html
