搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
土耳其語文學系,國立政治大學土耳其語文學系,601,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.50,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E5%9C%9F%E8%80%B3%E5%85%B6%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00601,https://www.com.tw/exam/university_006_111.html
外交學系,國立政治大學外交學系,602,英文(學測)x1.75,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,公民與社會(分科)x1.00,數學A(均標)或數學B(均標),英聽(Ａ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E5%A4%96%E4%BA%A4%E5%AD%B8%E7%B3%BB&id=00602,https://www.com.tw/exam/university_006_111.html
財政學系(B組、財政,國立政治大學財政學系(B組),603,數學甲(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E8%B2%A1%E6%94%BF%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=00603,https://www.com.tw/exam/university_006_111.html
心理學系,國立政治大學心理學系,604,英文(學測)x1.25,數學甲(分科)x1.00,國文(學測)x1.00,--,---,數學A(均標)自然(均標),英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB&id=00604,https://www.com.tw/exam/university_006_111.html
韓國語文學系,國立政治大學韓國語文學系,605,國文(學測)x1.50,英文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E9%9F%93%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00605,https://www.com.tw/exam/university_006_111.html
中國文學系、中文,國立政治大學中國文學系,606,國文(學測)x1.50,英文(學測)x1.25,歷史(分科)x1.00,地理(分科)x1.00,--,國文(前標)數學B(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=00606,https://www.com.tw/exam/university_006_111.html
日本語文學系,國立政治大學日本語文學系,607,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00607,https://www.com.tw/exam/university_006_111.html
阿拉伯語文學系,國立政治大學阿拉伯語文學系,608,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.25,地理(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E9%98%BF%E6%8B%89%E4%BC%AF%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00608,https://www.com.tw/exam/university_006_111.html
斯拉夫語文學系,國立政治大學斯拉夫語文學系,609,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,--,國文(前標)英文(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E6%96%AF%E6%8B%89%E5%A4%AB%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00609,https://www.com.tw/exam/university_006_111.html
哲學系,國立政治大學哲學系,610,國文(學測)x1.25,英文(學測)x1.25,公民與社會(分科)x1.25,歷史(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E5%93%B2%E5%AD%B8%E7%B3%BB&id=00610,https://www.com.tw/exam/university_006_111.html
東南亞語言與文化學士學位學程越文組,國立政治大學東南亞語言與文化學士學位學程越文組,611,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.00,公民與社會(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E6%9D%B1%E5%8D%97%E4%BA%9E%E8%AA%9E%E8%A8%80%E8%88%87%E6%96%87%E5%8C%96%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B%E8%B6%8A%E6%96%87%E7%B5%84&id=00611,https://www.com.tw/exam/university_006_111.html
