搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學系、中文,國立中興大學中國文學系,301,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x1.25,--,---,---,英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=00301,https://www.com.tw/exam/university_003_111.html
外國語文學系、外文,國立中興大學外國語文學系,302,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,英聽(Ａ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00302,https://www.com.tw/exam/university_003_111.html
財務金融學系、財金,國立中興大學財務金融學系,303,英文(學測)x2.00,數學甲(分科)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=00303,https://www.com.tw/exam/university_003_111.html
企業管理學系、企管,國立中興大學企業管理學系,304,英文(學測)x2.00,數學B(學測)x2.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,英文(均標)數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=00304,https://www.com.tw/exam/university_003_111.html
法律學系,國立中興大學法律學系,305,國文(學測)x1.50,英文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.50,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB&id=00305,https://www.com.tw/exam/university_003_111.html
園藝學系,國立中興大學園藝學系,306,生物(分科)x2.00,化學(分科)x1.50,英文(學測)x1.50,數學B(學測)x1.00,國文(學測)x1.00,---,英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E5%9C%92%E8%97%9D%E5%AD%B8%E7%B3%BB&id=00306,https://www.com.tw/exam/university_003_111.html
歷史學系,國立中興大學歷史學系,307,歷史(分科)x1.50,國文(學測)x1.00,英文(學測)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=00307,https://www.com.tw/exam/university_003_111.html
物理學系一般物理組,國立中興大學物理學系一般物理組,308,物理(分科)x1.50,數學甲(分科)x1.50,英文(學測)x1.50,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB%E4%B8%80%E8%88%AC%E7%89%A9%E7%90%86%E7%B5%84&id=00308,https://www.com.tw/exam/university_003_111.html
資訊工程學系、資工,國立中興大學資訊工程學系,309,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.50,國文(學測)x1.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00309,https://www.com.tw/exam/university_003_111.html
機械工程學系、機械,國立中興大學機械工程學系,310,數學甲(分科)x2.00,物理(分科)x2.00,英文(學測)x1.50,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00310,https://www.com.tw/exam/university_003_111.html
土木工程學系、土木,國立中興大學土木工程學系,311,數學A(學測)x2.00,物理(分科)x2.00,英文(學測)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00311,https://www.com.tw/exam/university_003_111.html
環境工程學系、環工,國立中興大學環境工程學系,312,化學(分科)x1.50,數學甲(分科)x1.50,物理(分科)x1.50,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E7%92%B0%E5%A2%83%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00312,https://www.com.tw/exam/university_003_111.html
電機工程學系甲組、電機,國立中興大學電機工程學系甲組,313,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,國文(學測)x1.00,國文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84&id=00313,https://www.com.tw/exam/university_003_111.html
農藝學系,國立中興大學農藝學系,314,英文(學測)x1.50,生物(分科)x1.50,化學(分科)x1.50,數學B(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E8%BE%B2%E8%97%9D%E5%AD%B8%E7%B3%BB&id=00314,https://www.com.tw/exam/university_003_111.html
應用經濟學系,國立中興大學應用經濟學系,315,英文(學測)x2.00,數學甲(分科)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BB&id=00315,https://www.com.tw/exam/university_003_111.html
植物病理學系,國立中興大學植物病理學系,316,生物(分科)x1.50,化學(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,數學A(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E6%A4%8D%E7%89%A9%E7%97%85%E7%90%86%E5%AD%B8%E7%B3%BB&id=00316,https://www.com.tw/exam/university_003_111.html
昆蟲學系,國立中興大學昆蟲學系,317,生物(分科)x1.50,化學(分科)x1.50,英文(學測)x1.50,數學A(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E6%98%86%E8%9F%B2%E5%AD%B8%E7%B3%BB&id=00317,https://www.com.tw/exam/university_003_111.html
動物科學系、動科,國立中興大學動物科學系,318,生物(分科)x1.50,化學(分科)x1.50,英文(學測)x1.50,數學A(學測)x1.00,國文(學測)x1.00,---,英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E5%8B%95%E7%89%A9%E7%A7%91%E5%AD%B8%E7%B3%BB&id=00318,https://www.com.tw/exam/university_003_111.html
水土保持學系,國立中興大學水土保持學系,319,數學甲(分科)x2.00,物理(分科)x2.00,英文(學測)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E6%B0%B4%E5%9C%9F%E4%BF%9D%E6%8C%81%E5%AD%B8%E7%B3%BB&id=00319,https://www.com.tw/exam/university_003_111.html
行銷學系,國立中興大學行銷學系,320,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,--,數學A(均標)或數學B(前標),英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E8%A1%8C%E9%8A%B7%E5%AD%B8%E7%B3%BB&id=00320,https://www.com.tw/exam/university_003_111.html
化學系,國立中興大學化學系,321,化學(分科)x2.00,數學甲(分科)x2.00,英文(學測)x1.50,物理(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E8%88%88%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=00321,https://www.com.tw/exam/university_003_111.html
