搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
數學系,國立成功大學數學系,401,數學甲(分科)x2.00,物理(分科)x1.50,英文(學測)x1.50,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=00401,https://www.com.tw/exam/university_004_111.html
化學系,國立成功大學化學系,402,化學(分科)x1.50,數學甲(分科)x1.25,物理(分科)x1.25,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=00402,https://www.com.tw/exam/university_004_111.html
地球科學系,國立成功大學地球科學系,403,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E5%9C%B0%E7%90%83%E7%A7%91%E5%AD%B8%E7%B3%BB&id=00403,https://www.com.tw/exam/university_004_111.html
土木工程學系、土木,國立成功大學土木工程學系,404,數學A(學測)x1.00,物理(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00404,https://www.com.tw/exam/university_004_111.html
水利及海洋工程學系,國立成功大學水利及海洋工程學系,405,數學甲(分科)x1.75,物理(分科)x1.50,英文(學測)x1.25,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E6%B0%B4%E5%88%A9%E5%8F%8A%E6%B5%B7%E6%B4%8B%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00405,https://www.com.tw/exam/university_004_111.html
工業設計學系,國立成功大學工業設計學系,406,英文(學測)x1.50,物理(分科)x1.50,數學甲(分科)x1.00,國文(學測)x1.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=00406,https://www.com.tw/exam/university_004_111.html
環境工程學系、環工,國立成功大學環境工程學系,407,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E7%92%B0%E5%A2%83%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00407,https://www.com.tw/exam/university_004_111.html
測量及空間資訊學系,國立成功大學測量及空間資訊學系,408,數學甲(分科)x2.00,物理(分科)x2.00,英文(學測)x2.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E6%B8%AC%E9%87%8F%E5%8F%8A%E7%A9%BA%E9%96%93%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB&id=00408,https://www.com.tw/exam/university_004_111.html
生命科學系、生科,國立成功大學生命科學系,409,生物(分科)x1.50,化學(分科)x1.50,英文(學測)x1.25,數學A(學測)x1.00,物理(分科)x1.00,國文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%B8%E7%B3%BB&id=00409,https://www.com.tw/exam/university_004_111.html
醫學檢驗生物技術學系,國立成功大學醫學檢驗生物技術學系,410,英文(學測)x1.25,化學(分科)x1.25,生物(分科)x1.25,數學甲(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E6%AA%A2%E9%A9%97%E7%94%9F%E7%89%A9%E6%8A%80%E8%A1%93%E5%AD%B8%E7%B3%BB&id=00410,https://www.com.tw/exam/university_004_111.html
